term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,AIS,100B,AIS 100B,COMPOSITION II,3,GE: 1A (A2),02,9249,Spring_2026|AIS 100B|02|9249,FALSE,\N,310,SEM,TuTh,2-3:15PM,,LA5-355,Gregor T,Class instruction is: Face to Face - On Campus.
Spring_2026,AIS,101,AIS 101,INTRO NATIVE AMERICAN PEOPLE,3,GE: 4C (D3),01,7973,Spring_2026|AIS 101|01|7973,FALSE,\N,306,LEC,TuTh,12:30-1:45PM,,ONLINE-ONLY,Reed T,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AIS,106,AIS 106,AMER INDIAN HISTORY POST 1871,3,GE: 4C (D3),01,4740,Spring_2026|AIS 106|01|4740,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Bollelli D,Class instruction is: Asynch. Online-No Meet Times.Class offered with HIST-106-01
Spring_2026,AIS,119,AIS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),01,5835,Spring_2026|AIS 119|01|5835,TRUE,\N,306,LEC,MW,2-3:15PM,,ONLINE-ONLY,Arredondo A,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AIS,119,AIS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),02,5836,Spring_2026|AIS 119|02|5836,FALSE,\N,306,LEC,TuTh,2-3:15PM,,ONLINE-ONLY,Reed T,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AIS,119,AIS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),03,6259,Spring_2026|AIS 119|03|6259,FALSE,\N,310,LEC,MW,2-3:15PM,,LAB-206,Worthington L,Class instruction is: Face to Face - On Campus.
Spring_2026,AIS,119,AIS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),04,6260,Spring_2026|AIS 119|04|6260,TRUE,\N,306,LEC,MW,3:30-4:45PM,,ONLINE-ONLY,Arredondo A,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AIS,119,AIS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),05,6760,Spring_2026|AIS 119|05|6760,FALSE,\N,306,LEC,MW,11-12:15PM,,ONLINE-ONLY,Ferris F,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AIS,119,AIS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),07,6261,Spring_2026|AIS 119|07|6261,FALSE,\N,306,LEC,Tu,5-7:45PM,,ONLINE-ONLY,Hale K,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AIS,119,AIS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),08,6761,Spring_2026|AIS 119|08|6761,FALSE,\N,306,LEC,TuTh,9:30-10:45AM,,ONLINE-ONLY,Gregor T,Class instruction is: Synch. Online - Meet Times.
