term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ANTH,110,ANTH 110,INTRO TO PHYSICAL ANTHROPOLOGY,3,GE: 5B-NL (B2),03,10910,Spring_2026|ANTH 110|03|10910,FALSE,\N,306,LEC,MW,9:30-10:45AM,,ONLINE-ONLY,Tabencki M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ANTH,110,ANTH 110,INTRO TO PHYSICAL ANTHROPOLOGY,3,GE: 5B-NL (B2),04,10911,Spring_2026|ANTH 110|04|10911,FALSE,\N,306,LEC,TuTh,8-9:15AM,,ONLINE-ONLY,Rashidi J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ANTH,120,ANTH 120,INTRO TO CULTURAL ANTHROPOLOGY,3,GE: 4C (D3),01,9031,Spring_2026|ANTH 120|01|9031,FALSE,\N,310,LEC,MW,11-12:15PM,,LA5-165,Wrapp M,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,120,ANTH 120,INTRO TO CULTURAL ANTHROPOLOGY,3,GE: 4C (D3),02,3161,Spring_2026|ANTH 120|02|3161,FALSE,\N,310,LEC,TuTh,11-12:15PM,available,FCS-008,Rousso-Schindler S,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,120,ANTH 120,INTRO TO CULTURAL ANTHROPOLOGY,3,GE: 4C (D3),05,10802,Spring_2026|ANTH 120|05|10802,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Paley V,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ANTH,120,ANTH 120,INTRO TO CULTURAL ANTHROPOLOGY,3,GE: 4C (D3),07,11243,Spring_2026|ANTH 120|07|11243,FALSE,\N,306,LEC,TuTh,9:30-10:45AM,,ONLINE-ONLY,Paley V,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ANTH,120,ANTH 120,INTRO TO CULTURAL ANTHROPOLOGY,3,GE: 4C (D3),08,12278,Spring_2026|ANTH 120|08|12278,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA5-151,Patterson K,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,140,ANTH 140,INTRODUCTION TO ARCHAEOLOGY,3,GE: 4C (D3),01,3356,Spring_2026|ANTH 140|01|3356,FALSE,\N,310,LEC,TuTh,3:30-4:45PM,available,LA5-165,Patterson K,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ the Beach student
Spring_2026,ANTH,140,ANTH 140,INTRODUCTION TO ARCHAEOLOGY,3,GE: 4C (D3),03,12245,Spring_2026|ANTH 140|03|12245,FALSE,\N,306,LEC,MW,12:30-1:45PM,,ONLINE-ONLY,de Carteret A,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ANTH,155,ANTH 155,MEDICAL TECH & HUMAN BODIES,3,,01,6122,Spring_2026|ANTH 155|01|6122,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,available,LA5-165,Patterson K,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ the Beach student
Spring_2026,ANTH,170,ANTH 170,INTRO TO LINGUISTICS,3,GE: 4C (D3),01,3129,Spring_2026|ANTH 170|01|3129,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,available,LA5-165,Naqvi S,Class instruction is: Face to Face - On Campus.Class offered with LING-170-01
Spring_2026,ANTH,170,ANTH 170,INTRO TO LINGUISTICS,3,GE: 4C (D3),02,3263,Spring_2026|ANTH 170|02|3263,FALSE,\N,310,LEC,TuTh,11-12:15PM,available,LA5-165,LeMaster B,Class instruction is: Face to Face - On Campus.Class offered with LING-170-02
Spring_2026,ANTH,305,ANTH 305,RADICAL SOCIAL ANALYSIS,3,GE: 4UD (UDD),02,7945,Spring_2026|ANTH 305|02|7945,FALSE,\N,306,SEM,MW,9:30-10:45AM,,ONLINE-ONLY,Loewe R,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ANTH,307,ANTH 307,MODERNIZATN GLOBAL PERSPECTIVE,3,GE: 4UD (UDD),01,8717,Spring_2026|ANTH 307|01|8717,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Miller K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ANTH,313,ANTH 313,WORLD PREHISTORY,3,GE: 4UD (UDD),01,3480,Spring_2026|ANTH 313|01|3480,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA3-120,Sakai S,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,314,ANTH 314,GLOBAL ETHNOGRAPHY,3,GE: 4UD (UDD),01,3162,Spring_2026|ANTH 314|01|3162,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Patterson K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ANTH,315,ANTH 315,HUMAN VARIATION,3,,02,10915,Spring_2026|ANTH 315|02|10915,FALSE,\N,306,LEC,TuTh,9:30-10:45AM,,ONLINE-ONLY,Tabencki M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ANTH,321,ANTH 321,NORTH AMERICAN INDIANS,3,,01,3763,Spring_2026|ANTH 321|01|3763,FALSE,\N,310,LEC,MW,3:30-4:45PM,available,LA3-120,Alvitre C,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,329,ANTH 329,CULTURAL DIVERSITY IN CALIF,3,GE: 4UD (UDD); GWAR: WI,01,3695,Spring_2026|ANTH 329|01|3695,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA3-120,Pandya M,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,329,ANTH 329,CULTURAL DIVERSITY IN CALIF,3,GE: 4UD (UDD); GWAR: WI,02,6125,Spring_2026|ANTH 329|02|6125,FALSE,\N,310,LEC,MW,11-12:15PM,available,LA3-120,Pandya M,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,329,ANTH 329,CULTURAL DIVERSITY IN CALIF,3,GE: 4UD (UDD); GWAR: WI,03,8702,Spring_2026|ANTH 329|03|8702,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Quintiliani K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ANTH,353,ANTH 353,HEALTH & HEALING,3,,01,2665,Spring_2026|ANTH 353|01|2665,FALSE,\N,306,LEC,TuTh,11-12:15PM,available,ONLINE-ONLY,Miller K,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ANTH,401,ANTH 401,FOUNDATIONS OF ANTHROPOLOGY,3,,01,2318,Spring_2026|ANTH 401|01|2318,FALSE,\N,310,LEC,M,4-6:45PM,available,LA5-165,Patterson K,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,412,ANTH 412,CULTURE & COMMUNICATION,3,GE: 4UD (UDD),01,1015,Spring_2026|ANTH 412|01|1015,FALSE,\N,310,SEM,MW,2-3:15PM,,LA3-120,Naqvi S,Class instruction is: Face to Face - On Campus.
Spring_2026,ANTH,413,ANTH 413,LANGUAGE & CULTURE,3,,02,9480,Spring_2026|ANTH 413|02|9480,FALSE,\N,306,SEM,TuTh,11-12:15PM,available,ONLINE-ONLY,Naqvi S,Class instruction is: Synch. Online - Meet Times.Class offered with LING-413-02
Spring_2026,ANTH,421,ANTH 421,EDUCATION ACROSS CULTURES,3,GE: 4UD (UDD),01,2996,Spring_2026|ANTH 421|01|2996,FALSE,\N,310,SEM,MW,3:30-4:45PM,available,LA5-248,Sharifi A,Class instruction is: Face to Face - On Campus.Class offered with LING-425-01
