term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ASAM,100B,ASAM 100B,COMPOSITION II,3,GE: 1A (A2),01,3133,Spring_2026|ASAM 100B|01|3133,FALSE,\N,310,SEM,MW,9:30-10:45AM,available,VEC-322,Hays T,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,100B,ASAM 100B,COMPOSITION II,3,GE: 1A (A2),02,3351,Spring_2026|ASAM 100B|02|3351,FALSE,\N,310,SEM,MW,11-12:15PM,,SPA-105,Hays T,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),01,5984,Spring_2026|ASAM 119|01|5984,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,,HC-120,Tran A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),02,5985,Spring_2026|ASAM 119|02|5985,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Park C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),03,5986,Spring_2026|ASAM 119|03|5986,FALSE,\N,310,LEC,MW,2-3:15PM,,LA3-106,de Borja T,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),04,7461,Spring_2026|ASAM 119|04|7461,FALSE,\N,310,LEC,MW,3:30-4:45PM,available,LA1-302,de Borja T,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),05,5987,Spring_2026|ASAM 119|05|5987,FALSE,\N,310,LEC,TuTh,11-12:15PM,,HHS1-104,de Borja T,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),06,5988,Spring_2026|ASAM 119|06|5988,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,,LA3-106,Fermin J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),07,5989,Spring_2026|ASAM 119|07|5989,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA3-106,Nguyen L,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),08,6746,Spring_2026|ASAM 119|08|6746,FALSE,\N,310,LEC,TuTh,11-12:15PM,,LA3-106,Lin M,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),09,6747,Spring_2026|ASAM 119|09|6747,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Seng S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),10,6748,Spring_2026|ASAM 119|10|6748,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Nettles J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),11,6792,Spring_2026|ASAM 119|11|6792,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Nettles J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),12,6963,Spring_2026|ASAM 119|12|6963,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Duong P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),13,7045,Spring_2026|ASAM 119|13|7045,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Luu D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),14,8705,Spring_2026|ASAM 119|14|8705,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Nettles J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),15,9634,Spring_2026|ASAM 119|15|9634,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Duong P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),16,11170,Spring_2026|ASAM 119|16|11170,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA5-148,Fermin J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),18,12677,Spring_2026|ASAM 119|18|12677,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Park C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),19,12762,Spring_2026|ASAM 119|19|12762,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Nettles J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),20,12767,Spring_2026|ASAM 119|20|12767,FALSE,\N,310,LEC,TuTh,11-12:15PM,,PSY-200,Nguyen L,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,120,ASAM 120,ASIAN AMERICAN HISTORY,3,GE: 4C (D3),01,2497,Spring_2026|ASAM 120|01|2497,FALSE,\N,310,LEC,TuTh,11-12:15PM,available,LA2-100,Hashima L,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,319,ASAM 319,RACIAL & ETHNIC EXPERIENCE US,3,"GE: 4UD (UDD), 6 (F-ES)",01,5862,Spring_2026|ASAM 319|01|5862,FALSE,\N,310,LEC,TuTh,2-3:15PM,,LH-150,Hashima L,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,341,ASAM 341,ASIAN AMER CHICANO LAT CINEMA,3,GE: 3UD (UDC),01,7015,Spring_2026|ASAM 341|01|7015,FALSE,\N,310,LEC,Tu,5-7:45PM,available,LA3-106,Hashima L,Class instruction is: Face to Face - On Campus.
Spring_2026,ASAM,490,ASAM 490,S TOPICS ASIAN AMERICAN STUDY,1,,03,11129,Spring_2026|ASAM 490|03|11129,FALSE,\N,307,SEM,M,5-7:45PM,available,LA5-359,Lin M,Instructor Consent RequiredClass instruction is: Hybrid(Face to Face & Async).
Spring_2026,ASAM,490,ASAM 490,S TOPICS ASIAN AMERICAN STUDY,1,,03,\N,Spring_2026|ASAM 490|03|NOCLASS|65fd622fe16b6fb8,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Lin M,additional meeting detail
Spring_2026,ASAM,499,ASAM 499,DIRECTED STUDIES,1,,01,4072,Spring_2026|ASAM 499|01|4072,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Seng S,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASAM,499,ASAM 499,DIRECTED STUDIES,1,,02,5234,Spring_2026|ASAM 499|02|5234,FALSE,\N,,SUP,TBA,NA,available,ONLINE-ONLY,Lin M,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
