term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),01,6865,Spring_2026|ASLD 101|01|6865,FALSE,\N,,SEM,MW,2-3:50PM,available,LA4-100,Castro Osnaya A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),02,4276,Spring_2026|ASLD 101|02|4276,FALSE,\N,,SEM,TuTh,8-9:50AM,,LAB-305,Moges A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),03,4277,Spring_2026|ASLD 101|03|4277,FALSE,\N,,SEM,TuTh,12-1:50PM,,LAB-305,Wu X,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),04,4278,Spring_2026|ASLD 101|04|4278,FALSE,\N,307,SEM,Tu,11-12:50PM,,LA4-100,Gough T,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),04,\N,Spring_2026|ASLD 101|04|NOCLASS|d49ee495457f9bf0,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),05,4641,Spring_2026|ASLD 101|05|4641,FALSE,\N,,SEM,MW,12-1:50PM,available,LA4-100,Perez N,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),06,6552,Spring_2026|ASLD 101|06|6552,FALSE,\N,,SEM,TuTh,4-5:50PM,available,SPA-104,Wu X,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),07,7596,Spring_2026|ASLD 101|07|7596,FALSE,\N,,SEM,MW,8-9:50AM,,LA4-100,Moges A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),08,9589,Spring_2026|ASLD 101|08|9589,FALSE,\N,,SEM,TuTh,2-3:50PM,,LAB-305,Wu X,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,101,ASLD 101,AMERICAN SIGN LANGUAGE 1,4,GE: 3B (C2),09,12628,Spring_2026|ASLD 101|09|12628,FALSE,\N,310,SEM,MW,4-5:50PM,available,LA1-314,Augustus B,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,102,ASLD 102,AMERICAN SIGN LANGUAGE 2,4,GE: 3B (C2),01,7598,Spring_2026|ASLD 102|01|7598,FALSE,\N,,SEM,MW,10-11:50AM,available,LA4-100,Moges A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,102,ASLD 102,AMERICAN SIGN LANGUAGE 2,4,GE: 3B (C2),02,7599,Spring_2026|ASLD 102|02|7599,FALSE,\N,,SEM,TuTh,1-2:50PM,available,LA4-100,Perez N,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,124,ASLD 124,AMERICAN DEAF CULTURES,3,,01,4279,Spring_2026|ASLD 124|01|4279,FALSE,\N,,LEC,MW,12:30-1:45PM,available,SPA-109,Moges A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,151,ASLD 151,MEXICAN SIGN LANGUAGE 1,4,GE: 3B (C2),01,7595,Spring_2026|ASLD 151|01|7595,FALSE,\N,,SEM,MW,9-10:50AM,available,LAB-305,Castro Osnaya A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,152,ASLD 152,MEXICAN SIGN LANGUAGE 2,4,GE: 3B (C2),01,10252,Spring_2026|ASLD 152|01|10252,FALSE,\N,,SEM,MW,11-12:50PM,available,LAB-305,Castro Osnaya A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,201,ASLD 201,AMERICAN SIGN LANGUAGE 3,4,,01,4280,Spring_2026|ASLD 201|01|4280,FALSE,\N,307,SEM,Tu,9-10:50AM,available,LA4-100,Gough T,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,ASLD,201,ASLD 201,AMERICAN SIGN LANGUAGE 3,4,,01,\N,Spring_2026|ASLD 201|01|NOCLASS|9e6373c87a991c89,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,ASLD,202,ASLD 202,AMERICAN SIGN LANGUAGE 4,4,,01,4640,Spring_2026|ASLD 202|01|4640,FALSE,\N,,SEM,MW,4-5:50PM,available,SPA-104,Perez N,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,212,ASLD 212,BEG. INTERPRETING & ETHICS 2,3,,01,4684,Spring_2026|ASLD 212|01|4684,FALSE,\N,,LEC,MW,2-3:15PM,available,LA2-106,Narvaez A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,299,ASLD 299,SUPP ASL STUDY,4,,01,8740,Spring_2026|ASLD 299|01|8740,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Moges-Riedel R,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,ASLD,305,ASLD 305,ASL LITERATURE AND POETRY,4,,01,9299,Spring_2026|ASLD 305|01|9299,FALSE,\N,,SEM,MW,1-2:15PM,available,LAB-305,Augustus B,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,305,ASLD 305,ASL LITERATURE AND POETRY,4,,02,9300,Spring_2026|ASLD 305|02|9300,FALSE,\N,,ACT,MW,2:30-3:20PM,available,LAB-305,Augustus B,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,306,ASLD 306,ASL LINGUISTICS,3,,01,5452,Spring_2026|ASLD 306|01|5452,FALSE,\N,,LEC,TuTh,4-5:15PM,available,LA5-167,LeMaster B,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,312,ASLD 312,INT. INTERPRETING & ETHICS 2,4,,01,4622,Spring_2026|ASLD 312|01|4622,FALSE,\N,,SEM,MW,4-5:15PM,available,LAB-305,Rojas C,Class instruction is: Face to Face - On Campus.
Spring_2026,ASLD,312,ASLD 312,INT. INTERPRETING & ETHICS 2,4,,02,4623,Spring_2026|ASLD 312|02|4623,FALSE,\N,,ACT,MW,5:30-6:20PM,available,LAB-305,Rojas C,Class instruction is: Face to Face - On Campus.
