term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,AXST_CLASSES,,A/ST 190,EASTERN WAYS OF THINKING,3,GE: 1B (A3),01,6104,Spring_2026|A/ST 190|01|6104,FALSE,\N,306,LEC,TuTh,11-12:15PM,,ONLINE-ONLY,Zeiser J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AXST_CLASSES,,A/ST 190,EASTERN WAYS OF THINKING,3,GE: 1B (A3),02,6105,Spring_2026|A/ST 190|02|6105,FALSE,\N,306,LEC,TuTh,12:30-1:45PM,,ONLINE-ONLY,Zeiser J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AXST_CLASSES,,A/ST 200,POPULAR CULTURE IN EAST ASIA,3,GE: 4C (D3),01,4380,Spring_2026|A/ST 200|01|4380,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Nettles J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,AXST_CLASSES,,A/ST 299,DIRECTED STUDIES,1,,01,5168,Spring_2026|A/ST 299|01|5168,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Ung D,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,AXST_CLASSES,,A/ST 299,DIRECTED STUDIES,1,,02,12481,Spring_2026|A/ST 299|02|12481,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Park J,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,AXST_CLASSES,,A/ST 306,TRADITIONAL ASIA,3,"GE: 3UD (UDC), 4UD (UDD)",02,10256,Spring_2026|A/ST 306|02|10256,FALSE,\N,310,LEC,MW,11-12:15PM,,LA1-302,Zeiser J,Class instruction is: Face to Face - On Campus.
Spring_2026,AXST_CLASSES,,A/ST 311,STATISTICS AND ASIAN SOCIETIES,3,GE: 2UD/5UD (UDB),01,5980,Spring_2026|A/ST 311|01|5980,FALSE,\N,306,SEM,TuTh,3:30-4:45PM,,ONLINE-ONLY,Zeiser J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,AXST_CLASSES,,A/ST 320,ASIAN FILMS: CULTURE IDENTITY,3,GWAR: WI,01,5981,Spring_2026|A/ST 320|01|5981,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Zimmerman-Liu T,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,AXST_CLASSES,,A/ST 327,SO ASIAN STUDIES: CNTX & CHALL,3,,01,10331,Spring_2026|A/ST 327|01|10331,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,available,SPA-112,Koshy K,Class instruction is: Face to Face - On Campus.Class offered with GLST-327-01
Spring_2026,AXST_CLASSES,,A/ST 336,POLITICS & LIT SOUTHEAST ASIA,3,GE: 3UD (UDC); GWAR: WI,01,8726,Spring_2026|A/ST 336|01|8726,FALSE,\N,310,LEC,MW,12:30-1:45PM,available,PSY-152,Seng S,Class instruction is: Face to Face - On Campus.
Spring_2026,AXST_CLASSES,,A/ST 499,DIRECTED STUDIES,1,,01,1002,Spring_2026|A/ST 499|01|1002,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Ha K,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,AXST_CLASSES,,A/ST 499,DIRECTED STUDIES,1,,02,5169,Spring_2026|A/ST 499|02|5169,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Ung D,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
