term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CHIN,101,CHIN 101,FUNDAMENTALS OF CHINESE,4,GE: 3B (C2),01,3164,Spring_2026|CHIN 101|01|3164,FALSE,\N,307,SEM,MW,12:30-1:45PM,,LA2-204,Ao L,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CHIN,101,CHIN 101,FUNDAMENTALS OF CHINESE,4,GE: 3B (C2),01,\N,Spring_2026|CHIN 101|01|NOCLASS|9cf57485b7d3fa2c,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Ao L,additional meeting detail
Spring_2026,CHIN,101,CHIN 101,FUNDAMENTALS OF CHINESE,4,GE: 3B (C2),02,3354,Spring_2026|CHIN 101|02|3354,FALSE,\N,307,SEM,TuTh,12:30-1:45PM,,LA2-204,Ai R,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CHIN,101,CHIN 101,FUNDAMENTALS OF CHINESE,4,GE: 3B (C2),02,\N,Spring_2026|CHIN 101|02|NOCLASS|0609e52a1524071f,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Ai R,additional meeting detail
Spring_2026,CHIN,101,CHIN 101,FUNDAMENTALS OF CHINESE,4,GE: 3B (C2),03,4741,Spring_2026|CHIN 101|03|4741,FALSE,\N,310,SEM,TuTh,10-11:50AM,available,LA1-302,Wu H,Class instruction is: Face to Face - On Campus.
Spring_2026,CHIN,101,CHIN 101,FUNDAMENTALS OF CHINESE,4,GE: 3B (C2),04,6985,Spring_2026|CHIN 101|04|6985,FALSE,\N,306,SEM,MW,5-6:50PM,available,ONLINE-ONLY,Wu H,Class instruction is: Synch. Online - Meet Times.
Spring_2026,CHIN,102,CHIN 102,FUNDAMENTALS OF CHINESE,4,GE: 3B (C2),01,4931,Spring_2026|CHIN 102|01|4931,FALSE,\N,310,SEM,TuTh,10-11:50AM,available,SPA-208,Wu X,Class instruction is: Face to Face - On Campus.
Spring_2026,CHIN,201,CHIN 201,INTERMEDIATE CHINESE,4,GE: 3B (C2),01,8707,Spring_2026|CHIN 201|01|8707,FALSE,\N,310,SEM,MW,2-3:50PM,available,LA2-204,Ao L,Class instruction is: Face to Face - On Campus.
Spring_2026,CHIN,301,CHIN 301,ADVANCED CHINESE,3,,01,10260,Spring_2026|CHIN 301|01|10260,FALSE,\N,310,SEM,MW,2-3:15PM,available,PSY-152,Wu X,Class instruction is: Face to Face - On Campus.
Spring_2026,CHIN,370,CHIN 370,CHINESE LIT IN ENGL TRANSLATN,3,GE: 3UD (UDC),01,10261,Spring_2026|CHIN 370|01|10261,FALSE,\N,310,SEM,Th,2-4:45PM,available,LA2-204,Wu H,Class instruction is: Face to Face - On Campus.
Spring_2026,CHIN,462,CHIN 462,CONTRAST ANALYSIS CHINESE/ENGL,3,,01,10262,Spring_2026|CHIN 462|01|10262,FALSE,\N,310,SEM,Tu,2-4:45PM,available,LA2-204,Ai R,Class instruction is: Face to Face - On Campus.
Spring_2026,CHIN,499,CHIN 499,DIRECTED STUDIES IN CHINESE,1,,01,1151,Spring_2026|CHIN 499|01|1151,FALSE,\N,"3,305",SUP,TBA,NA,available,ONLINE-ONLY,Ai R,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHIN,499,CHIN 499,DIRECTED STUDIES IN CHINESE,1,,02,3678,Spring_2026|CHIN 499|02|3678,FALSE,\N,"3,305",SUP,TBA,NA,available,ONLINE-ONLY,Wu H,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHIN,562,CHIN 562,CONTRAST ANALYSIS CHINESE/ENGL,3,,01,10263,Spring_2026|CHIN 562|01|10263,FALSE,\N,310,SEM,Tu,2-4:45PM,available,LA2-204,Ai R,Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,CHIN,599,CHIN 599,DIRECTED STUDIES IN CHINESE,1,,01,2262,Spring_2026|CHIN 599|01|2262,FALSE,\N,"3,305",SUP,TBA,NA,available,ONLINE-ONLY,Ai R,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHIN,599,CHIN 599,DIRECTED STUDIES IN CHINESE,1,,02,3987,Spring_2026|CHIN 599|02|3987,FALSE,\N,"3,305",SUP,TBA,NA,available,ONLINE-ONLY,Wu H,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHIN,599,CHIN 599,DIRECTED STUDIES IN CHINESE,1,,03,8141,Spring_2026|CHIN 599|03|8141,FALSE,\N,,SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
