term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CHLS,100,CHLS 100,INTRO CHICANO/LATINO STUDIES,3,GE: 4C (D3),01,3221,Spring_2026|CHLS 100|01|3221,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,,LA1-312,Moreno J,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,100,CHLS 100,INTRO CHICANO/LATINO STUDIES,3,GE: 4C (D3),02,9218,Spring_2026|CHLS 100|02|9218,FALSE,\N,310,LEC,MW,3:30-4:45PM,available,LA5-267,Flores C,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,101,CHLS 101,INTRO CHICANO/A LATINO/A LIFE,3,GE: 4C (D3),01,9944,Spring_2026|CHLS 101|01|9944,FALSE,\N,310,LEC,TuTh,2-3:15PM,,LA5-167,Montes F,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),01,1153,Spring_2026|CHLS 104B|01|1153,FALSE,\N,"310,1",SEM,TuTh,8-9:15AM,,LA1-312,Teran J,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),02,1154,Spring_2026|CHLS 104B|02|1154,FALSE,\N,"1,310",SEM,TuTh,9:30-10:45AM,available,LA5-244,Teran J,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),03,1155,Spring_2026|CHLS 104B|03|1155,FALSE,\N,"1,310",SEM,TuTh,8-9:15AM,available,SPA-210,Shaver V,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),04,2955,Spring_2026|CHLS 104B|04|2955,FALSE,\N,"1,310",SEM,TuTh,11-12:15PM,available,SPA-210,Shaver V,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),05,4176,Spring_2026|CHLS 104B|05|4176,FALSE,\N,"1,310",SEM,TuTh,9:30-10:45AM,available,SPA-210,Shaver V,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),06,4503,Spring_2026|CHLS 104B|06|4503,FALSE,\N,"1,310",SEM,MW,11-12:15PM,,HHS1-100,Teran J,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),07,4607,Spring_2026|CHLS 104B|07|4607,FALSE,\N,"1,310",SEM,MW,12:30-1:45PM,,HHS1-101,Teran J,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),08,4802,Spring_2026|CHLS 104B|08|4802,FALSE,\N,"1,310",SEM,MW,2-3:15PM,,LA1-312,Vasquez W,Class instruction is: Face to Face - On Campus.Reserved seats (25) for Promise to the Beach Program Students only.
Spring_2026,CHLS,104B,CHLS 104B,COMPOSITION II,3,GE: 1A (A2),09,9394,Spring_2026|CHLS 104B|09|9394,FALSE,\N,"310,1",SEM,MW,3:30-4:45PM,,LA1-312,Vasquez W,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,105,CHLS 105,LATINA/O CULTURAL IDENTITY,3,GE: 4C (D3),01,9937,Spring_2026|CHLS 105|01|9937,FALSE,\N,310,LEC,MW,3:30-4:45PM,available,LA5-244,Valles D,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),01,5837,Spring_2026|CHLS 119|01|5837,FALSE,\N,"34,310",LEC,MW,11-12:15PM,,LA5-244,Rosas A,Honors SectionClass instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),02,5838,Spring_2026|CHLS 119|02|5838,FALSE,\N,"305,1",LEC,NA,NA,,ONLINE-ONLY,Ramirez L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),03,6939,Spring_2026|CHLS 119|03|6939,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA5-267,Moreno J,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),04,5904,Spring_2026|CHLS 119|04|5904,FALSE,\N,"310,1",LEC,MW,8-9:15AM,,LA5-267,Ramirez N,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),05,5905,Spring_2026|CHLS 119|05|5905,FALSE,\N,"310,1",LEC,M,7-9:45PM,,LA1-312,Pacho M,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),06,5906,Spring_2026|CHLS 119|06|5906,TRUE,\N,"310,1",LEC,MW,9:30-10:45AM,,LA5-244,Rodriguez L,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),07,5907,Spring_2026|CHLS 119|07|5907,TRUE,\N,"310,1",LEC,MW,2-3:15PM,,LA5-347,Rodriguez L,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),08,5908,Spring_2026|CHLS 119|08|5908,TRUE,\N,"310,1",LEC,MW,12:30-1:45PM,,LA1-312,Rodriguez L,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),09,5909,Spring_2026|CHLS 119|09|5909,FALSE,\N,"305,1",LEC,NA,NA,,ONLINE-ONLY,Montes F,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),10,5910,Spring_2026|CHLS 119|10|5910,FALSE,\N,"305,1",LEC,NA,NA,,ONLINE-ONLY,Rojas M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),11,6797,Spring_2026|CHLS 119|11|6797,FALSE,\N,"305,1",LEC,NA,NA,,ONLINE-ONLY,Lyon J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),12,6800,Spring_2026|CHLS 119|12|6800,FALSE,\N,"310,1",LEC,MW,2-3:15PM,,LA5-267,Lyon J,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),13,6941,Spring_2026|CHLS 119|13|6941,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA5-244,Lyon J,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),14,8375,Spring_2026|CHLS 119|14|8375,FALSE,\N,310,LEC,MW,2-3:15PM,available,LA5-244,Valles D,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),15,9081,Spring_2026|CHLS 119|15|9081,FALSE,\N,310,LEC,MW,9:30-10:45AM,,LA1-312,Pacheco A,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),16,9696,Spring_2026|CHLS 119|16|9696,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Montes F,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),18,12638,Spring_2026|CHLS 119|18|12638,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ruiz R,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),19,12639,Spring_2026|CHLS 119|19|12639,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Rosales J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHLS,119,CHLS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),20,12783,Spring_2026|CHLS 119|20|12783,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Vasquez W,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CHLS,150,CHLS 150,INTRO-CHICANO LITERARY STUDIES,3,GE: 3B (C2),01,9942,Spring_2026|CHLS 150|01|9942,FALSE,\N,310,LEC,MW,9:30-10:45AM,,LA5-267,Rosales C,Class instruction is: Face to Face - On Campus.
Spring_2026,CHLS,300,CHLS 300,CHICANO HISTORY,3,GE: 4UD (UDD),01,3868,Spring_2026|CHLS 300|01|3868,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA1-312,Rosas A,Class instruction is: Face to Face - On Campus.
