term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,AAAS,100,AAAS 100,ASIAN EATS,3,GE: 3B (C2),01,3677,Spring_2026|AAAS 100|01|3677,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Zimmerman-Liu T,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,AAAS,100,AAAS 100,ASIAN EATS,3,GE: 3B (C2),02,4116,Spring_2026|AAAS 100|02|4116,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Zimmerman-Liu T,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,AAAS,100,AAAS 100,ASIAN EATS,3,GE: 3B (C2),03,6767,Spring_2026|AAAS 100|03|6767,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Nguyen J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,AAAS,100,AAAS 100,ASIAN EATS,3,GE: 3B (C2),04,5991,Spring_2026|AAAS 100|04|5991,FALSE,\N,"310,34",LEC,TuTh,2-3:15PM,,HHS1-100,Tran A,Honors SectionClass instruction is: Face to Face - On Campus.
Spring_2026,AAAS,492,AAAS 492,SENIOR RESEARCH SEMINAR,3,,01,4536,Spring_2026|AAAS 492|01|4536,FALSE,\N,310,LEC,MW,12:30-1:45PM,available,LA1-302,Zeiser J,Class instruction is: Face to Face - On Campus.
Spring_2026,AFRS,100B,AFRS 100B,COMPOSITION II,3,GE: 1A (A2),01,2613,Spring_2026|AFRS 100B|01|2613,FALSE,\N,310,SEM,MW,9:30-10:45AM,available,LAB-114,Okafor U,Class instruction is: Face to Face - On Campus.
Spring_2026,AFRS,100B,AFRS 100B,COMPOSITION II,3,GE: 1A (A2),02,2614,Spring_2026|AFRS 100B|02|2614,FALSE,\N,310,SEM,MW,11-12:15PM,,LAB-114,Okafor U,Class instruction is: Face to Face - On Campus.
Spring_2026,AFRS,100B,AFRS 100B,COMPOSITION II,3,GE: 1A (A2),03,3174,Spring_2026|AFRS 100B|03|3174,FALSE,\N,310,SEM,TuTh,9:30-10:45AM,,COB-114,Okafor U,Class instruction is: Face to Face - On Campus.
Spring_2026,AFRS,100B,AFRS 100B,COMPOSITION II,3,GE: 1A (A2),04,3175,Spring_2026|AFRS 100B|04|3175,FALSE,\N,310,SEM,TuTh,11-12:15PM,,COB-114,Okafor U,Class instruction is: Face to Face - On Campus.
Spring_2026,AFRS,100B,AFRS 100B,COMPOSITION II,3,GE: 1A (A2),05,3176,Spring_2026|AFRS 100B|05|3176,FALSE,\N,310,SEM,MW,9:30-10:45AM,available,LA5-247,Turner S,Class instruction is: Face to Face - On Campus.
