term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CLA_CLASSES,,C/LA 390A,"CAREER READINESS, PART A",1,,01,4888,Spring_2026|C/LA 390A|01|4888,FALSE,\N,310,LEC,TuTh,2-3:15PM,,LA5-359,Muller M,"Class meets from 01/20/26 - 02/20/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 390B,"CAREER READINESS, PART B",1,,01,4889,Spring_2026|C/LA 390B|01|4889,FALSE,\N,310,LEC,TuTh,2-3:15PM,,LA5-359,Muller M,"Class meets from 02/23/26 - 03/27/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 390C,"CAREER READINESS, PART C",1,,01,4890,Spring_2026|C/LA 390C|01|4890,FALSE,\N,310,LEC,TuTh,2-3:15PM,,LA5-359,Muller M,"Class meets from 04/06/26 - 05/08/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 392A,GRDTE SCHOOL RDINESS PART A,1,,01,10879,Spring_2026|C/LA 392A|01|10879,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA5-245,Woodward K,"Class meets from 01/20/26 - 02/20/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 392B,"GRADUATE SCHOOL READINESS, PAR",1,,01,10880,Spring_2026|C/LA 392B|01|10880,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA5-245,Woodward K,"Class meets from 02/23/26 - 03/27/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 392C,GRADUATE SCHOOL REDNESS PART C,1,,01,10881,Spring_2026|C/LA 392C|01|10881,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA5-245,Woodward K,"Class meets from 04/06/26 - 05/08/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 394A,"LAW SCHOOL READINESS, PART A",1,,01,8617,Spring_2026|C/LA 394A|01|8617,FALSE,\N,310,LEC,MW,3:30-4:45PM,,SPA-211,Whitehead J,"Class meets from 01/20/26 - 02/20/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 394B,"LAW SCHOOL READINESS, PART B",1,,01,8618,Spring_2026|C/LA 394B|01|8618,FALSE,\N,310,LEC,MW,3:30-4:45PM,,SPA-211,Whitehead J,"Class meets from 02/23/26 - 03/27/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 394C,"LAW SCHOOL READINESS, PART C",1,,01,8619,Spring_2026|C/LA 394C|01|8619,FALSE,\N,310,LEC,MW,3:30-4:45PM,,SPA-211,Whitehead J,"Class meets from 04/06/26 - 05/08/26.Class instruction is: Face to Face - On Campus.Reserved seats for CLA Majors and Minors only, excludes first year students."
Spring_2026,CLA_CLASSES,,C/LA 492,LIBERAL ARTS INTERNSHIP,3,,01,4335,Spring_2026|C/LA 492|01|4335,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,El Ouardani C,Class instruction is: Asynch. Online-No Meet Times.Reserved seats for CLA Upper Division Majors only
Spring_2026,CLA_CLASSES,,C/LA 492,LIBERAL ARTS INTERNSHIP,3,,02,4544,Spring_2026|C/LA 492|02|4544,FALSE,\N,308,ACT,NA,NA,available,OFF-CAMP,El Ouardani C,Class instruction is: Face to Face - Off Campus.Site Activity 6hrs week
