term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CLSC,100,CLSC 100,CLASSICAL WORLD GREECE & ROME,3,GE: 3B (C2),01,2757,Spring_2026|CLSC 100|01|2757,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,ONLINE-ONLY,Meyer N,Class instruction is: Synch. Online - Meet Times.
Spring_2026,CLSC,101,CLSC 101,GREEK MYTHOLOGY,3,GE: 3B (C2),01,1157,Spring_2026|CLSC 101|01|1157,FALSE,\N,,LEC,MW,9:30-10:45AM,,AS-235,Librandi D,Honors SectionClass instruction is: Face to Face - On Campus.Reserved Seats for 1 Study Abroad @ the Beach student/s
Spring_2026,CLSC,101,CLSC 101,GREEK MYTHOLOGY,3,GE: 3B (C2),03,1158,Spring_2026|CLSC 101|03|1158,FALSE,\N,310,LEC,TuTh,11-12:15PM,,LA4-120,Scotton P,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ the Beach Student/s
Spring_2026,CLSC,101,CLSC 101,GREEK MYTHOLOGY,3,GE: 3B (C2),05,1159,Spring_2026|CLSC 101|05|1159,FALSE,\N,,LEC,TuTh,12:30-1:45PM,available,LA3-204,Benton M,Class instruction is: Face to Face - On Campus.
Spring_2026,CLSC,101,CLSC 101,GREEK MYTHOLOGY,3,GE: 3B (C2),06,2849,Spring_2026|CLSC 101|06|2849,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,LA4-120,Sneed D,Class instruction is: Face to Face - On Campus.
Spring_2026,CLSC,101,CLSC 101,GREEK MYTHOLOGY,3,GE: 3B (C2),07,4714,Spring_2026|CLSC 101|07|4714,FALSE,\N,34,LEC,TuTh,9:30-10:45AM,,LA1-307,Scotton P,Honors SectionClass instruction is: Face to Face - On Campus.
Spring_2026,CLSC,101,CLSC 101,GREEK MYTHOLOGY,3,GE: 3B (C2),08,7624,Spring_2026|CLSC 101|08|7624,FALSE,\N,,LEC,MW,11-12:15PM,available,FCS-008,Librandi D,Class instruction is: Face to Face - On Campus.
Spring_2026,CLSC,101,CLSC 101,GREEK MYTHOLOGY,3,GE: 3B (C2),09,10569,Spring_2026|CLSC 101|09|10569,FALSE,\N,,LEC,TuTh,11-12:15PM,,ONLINE-ONLY,Meyer N,Class instruction is: Synch. Online - Meet Times.
Spring_2026,CLSC,101,CLSC 101,GREEK MYTHOLOGY,3,GE: 3B (C2),11,11141,Spring_2026|CLSC 101|11|11141,FALSE,\N,306,LEC,MW,3:30-4:45PM,,ONLINE-ONLY,Meyer N,Class instruction is: Synch. Online - Meet Times.
Spring_2026,CLSC,110,CLSC 110,CLASSICAL ARCHAEOLOGY,3,GE: 4C (D3),02,9230,Spring_2026|CLSC 110|02|9230,FALSE,\N,,LEC,MW,9:30-10:45AM,available,LA2-202,Brooks J,Class instruction is: Face to Face - On Campus.Reserved seats for 2 Study Abroad @ Beach Students
