term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),01,1161,Spring_2026|COMM 110|01|1161,FALSE,\N,"2,27,307",LEC,M,11-12:15PM,,LH-151,Pulido M,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),01,\N,Spring_2026|COMM 110|01|NOCLASS|0f3039d67fc00486,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Pulido M,additional meeting detail
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),03,1163,Spring_2026|COMM 110|03|1163,FALSE,\N,"2,27,307",ACT,W,11-12:15PM,,PSY-234,Leon-Munoz N,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),03,\N,Spring_2026|COMM 110|03|NOCLASS|00dfe27293e5895f,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),04,1164,Spring_2026|COMM 110|04|1164,FALSE,\N,"2,27,307",ACT,W,11-12:15PM,,LA5-359,Contreras J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),04,\N,Spring_2026|COMM 110|04|NOCLASS|2109c9341c6003b1,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),05,1165,Spring_2026|COMM 110|05|1165,FALSE,\N,"2,27,307",ACT,W,11-12:15PM,,LAB-224,Knizewski R,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),05,\N,Spring_2026|COMM 110|05|NOCLASS|4498d2c44c32079c,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),06,1166,Spring_2026|COMM 110|06|1166,FALSE,\N,"2,27,307",ACT,W,11-12:15PM,,PSY-201,Polanco C,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),06,\N,Spring_2026|COMM 110|06|NOCLASS|ce0e35f318d28c2e,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
