term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CWL,100,CWL 100,INTRO TO WORLD LITERATURE,3,GE: 3B (C2),01,1920,Spring_2026|CWL 100|01|1920,FALSE,\N,,LEC,MW,8-9:15AM,available,LA1-312,Parseghian L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,100,CWL 100,INTRO TO WORLD LITERATURE,3,GE: 3B (C2),02,1921,Spring_2026|CWL 100|02|1921,FALSE,\N,,LEC,TuTh,9:30-10:45AM,available,HHS1-104,Parseghian L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,100,CWL 100,INTRO TO WORLD LITERATURE,3,GE: 3B (C2),03,10484,Spring_2026|CWL 100|03|10484,FALSE,\N,,LEC,TuTh,3:30-4:45PM,available,LA5-150,Garcia J,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ the Beach Student/s
Spring_2026,CWL,115,CWL 115,INTRO TO HEALTH HUMANITIES,3,GE: 3B (C2),01,9945,Spring_2026|CWL 115|01|9945,FALSE,\N,,LEC,MW,11-12:15PM,available,DESN-112,Lie C,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,124,CWL 124,INTRO TO WORLD THEATRE & DRAMA,3,GE: 3A (C1),01,3070,Spring_2026|CWL 124|01|3070,FALSE,\N,,LEC,TuTh,8-9:15AM,available,LA3-204,Deon L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,124,CWL 124,INTRO TO WORLD THEATRE & DRAMA,3,GE: 3A (C1),02,3138,Spring_2026|CWL 124|02|3138,FALSE,\N,,LEC,TuTh,11-12:15PM,available,LA5-267,Cooper P,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,124,CWL 124,INTRO TO WORLD THEATRE & DRAMA,3,GE: 3A (C1),03,5472,Spring_2026|CWL 124|03|5472,FALSE,\N,,LEC,TuTh,12:30-1:45PM,available,LA5-267,Cooper P,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,132,CWL 132,WORLD MYTHOLOGY,3,GE: 3B (C2),01,2251,Spring_2026|CWL 132|01|2251,FALSE,\N,,LEC,MW,2-3:15PM,,LA2-120,Brooks J,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ Beach Students
Spring_2026,CWL,132,CWL 132,WORLD MYTHOLOGY,3,GE: 3B (C2),02,4379,Spring_2026|CWL 132|02|4379,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Cooper P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CWL,132,CWL 132,WORLD MYTHOLOGY,3,GE: 3B (C2),03,4464,Spring_2026|CWL 132|03|4464,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,McLoone K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CWL,132,CWL 132,WORLD MYTHOLOGY,3,GE: 3B (C2),04,10407,Spring_2026|CWL 132|04|10407,FALSE,\N,,LEC,MW,11-12:15PM,,LA2-100,Odell J,Class instruction is: Face to Face - On Campus.Reserved seats for 2 Study Abroad @ Beach Students
Spring_2026,CWL,161,CWL 161,READING THE WORLD,3,GE: 1B (A3),01,2901,Spring_2026|CWL 161|01|2901,FALSE,\N,,LEC,MW,8-9:15AM,available,LA5-355,Haeussler T,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,161,CWL 161,READING THE WORLD,3,GE: 1B (A3),02,2742,Spring_2026|CWL 161|02|2742,FALSE,\N,,LEC,MW,11-12:15PM,,ONLINE-ONLY,Deon L,Class instruction is: Synch. Online - Meet Times.
Spring_2026,CWL,161,CWL 161,READING THE WORLD,3,GE: 1B (A3),03,2935,Spring_2026|CWL 161|03|2935,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,available,LA3-204,Deon L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,161,CWL 161,READING THE WORLD,3,GE: 1B (A3),04,3799,Spring_2026|CWL 161|04|3799,FALSE,\N,,LEC,MW,9:30-10:45AM,,LA2-100,Parseghian L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,161,CWL 161,READING THE WORLD,3,GE: 1B (A3),05,5049,Spring_2026|CWL 161|05|5049,FALSE,\N,,LEC,TuTh,8-9:15AM,available,LA5-355,Parseghian L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,161,CWL 161,READING THE WORLD,3,GE: 1B (A3),06,6717,Spring_2026|CWL 161|06|6717,FALSE,\N,,LEC,MW,12:30-1:45PM,,LA2-101B,Parseghian L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,161,CWL 161,READING THE WORLD,3,GE: 1B (A3),08,11047,Spring_2026|CWL 161|08|11047,FALSE,\N,310,LEC,TuTh,2-3:15PM,,LA2-106,Bordage N,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,205,CWL 205,DIGITAL NARRATIVE AND CULTURE,3,"GE: 3A (C1), 3B (C2)",01,4027,Spring_2026|CWL 205|01|4027,FALSE,\N,,SEM,TuTh,11-12:15PM,available,LA3-204,Desuza-Riehm A,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,205,CWL 205,DIGITAL NARRATIVE AND CULTURE,3,"GE: 3A (C1), 3B (C2)",02,8526,Spring_2026|CWL 205|02|8526,FALSE,\N,,SEM,TuTh,8-9:15AM,,LA5-267,Lasmana V,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,206,CWL 206,"SCI FICTION, FNTSY, AND HORROR",3,GE: 3B (C2),01,8734,Spring_2026|CWL 206|01|8734,FALSE,\N,,LEC,MW,3:30-4:45PM,,LA2-100,Deon L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,213,CWL 213,COMICS AND GRAPHIC NARRATIVES,3,"GE: 3A (C1), 3B (C2)",01,3529,Spring_2026|CWL 213|01|3529,FALSE,\N,,LEC,TuTh,9:30-10:45AM,available,FCS-126,Desuza-Riehm A,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ Beach Students
Spring_2026,CWL,213,CWL 213,COMICS AND GRAPHIC NARRATIVES,3,"GE: 3A (C1), 3B (C2)",02,5085,Spring_2026|CWL 213|02|5085,FALSE,\N,,LEC,MW,2-3:15PM,,PSY-201,Desuza-Riehm A,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,213,CWL 213,COMICS AND GRAPHIC NARRATIVES,3,"GE: 3A (C1), 3B (C2)",03,5653,Spring_2026|CWL 213|03|5653,FALSE,\N,,LEC,TuTh,2-3:15PM,,LA3-204,Deon L,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,213,CWL 213,COMICS AND GRAPHIC NARRATIVES,3,"GE: 3A (C1), 3B (C2)",04,10414,Spring_2026|CWL 213|04|10414,FALSE,\N,,LEC,TuTh,3:30-4:45PM,available,LA5-247,Arbor P,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,215,CWL 215,FROM CRADLE TO CRYPT,3,"GE: 3A (C1), 3B (C2), E",01,4908,Spring_2026|CWL 215|01|4908,FALSE,\N,,LEC,MW,2-3:15PM,,LA2-100,McLoone K,Class instruction is: Face to Face - On Campus.
Spring_2026,CWL,220,CWL 220,THE IMAGINATION AT PLAY,3,"GE: 3B (C2), E",01,3425,Spring_2026|CWL 220|01|3425,FALSE,\N,,LEC,MW,9:30-10:45AM,,LA5-355,Haeussler T,Class instruction is: Face to Face - On Campus.
