term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ECON,100,ECON 100,PRINCIPLES OF MACROECONOMICS,3,GE: 4C (D3),01,1215,Spring_2026|ECON 100|01|1215,FALSE,\N,"1,310",LEC,MW,11-12:15PM,,ECS-105,Yamarik S,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,100,ECON 100,PRINCIPLES OF MACROECONOMICS,3,GE: 4C (D3),02,1216,Spring_2026|ECON 100|02|1216,FALSE,\N,"1,310",LEC,MW,2-3:15PM,available,ECS-105,Yamashiro G,Class instruction is: Face to Face - On Campus.Reserved seats for 2 Study Abroad @ the Beach Student/s
Spring_2026,ECON,100,ECON 100,PRINCIPLES OF MACROECONOMICS,3,GE: 4C (D3),03,1217,Spring_2026|ECON 100|03|1217,FALSE,\N,"1,310",LEC,TuTh,9:30-10:45AM,,HC-100,Mileva M,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,100,ECON 100,PRINCIPLES OF MACROECONOMICS,3,GE: 4C (D3),04,2176,Spring_2026|ECON 100|04|2176,FALSE,\N,"1,310",LEC,TuTh,12:30-1:45PM,,HC-100,Harrison A,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,100,ECON 100,PRINCIPLES OF MACROECONOMICS,3,GE: 4C (D3),05,3131,Spring_2026|ECON 100|05|3131,FALSE,\N,"1,310",LEC,M,7-9:45PM,,SPA-106,Hotchandani H,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,101,ECON 101,PRINCIPLES OF MICROECONOMICS,3,GE: 4C (D3),01,1218,Spring_2026|ECON 101|01|1218,FALSE,\N,"1,310",LEC,MW,12:30-1:45PM,available,ECS-105,Wong A,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,101,ECON 101,PRINCIPLES OF MICROECONOMICS,3,GE: 4C (D3),02,2362,Spring_2026|ECON 101|02|2362,FALSE,\N,"1,310",LEC,TuTh,11-12:15PM,,ECS-105,Liu X,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,101,ECON 101,PRINCIPLES OF MICROECONOMICS,3,GE: 4C (D3),03,2463,Spring_2026|ECON 101|03|2463,FALSE,\N,"1,310",LEC,TuTh,12:30-1:45PM,available,ECS-105,Saboori A,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,101,ECON 101,PRINCIPLES OF MICROECONOMICS,3,GE: 4C (D3),04,3229,Spring_2026|ECON 101|04|3229,FALSE,\N,"1,310",LEC,TuTh,2-3:15PM,available,ECS-105,Garcia K,Class instruction is: Face to Face - On Campus.Reserved seats for 2 Study Abroad @ the Beach Student/s
Spring_2026,ECON,101,ECON 101,PRINCIPLES OF MICROECONOMICS,3,GE: 4C (D3),05,4957,Spring_2026|ECON 101|05|4957,FALSE,\N,"1,310",LEC,W,7-9:45PM,available,SPA-106,Gurtovoy J,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,300,ECON 300,FUNDAMENTALS OF ECONOMICS,3,"GE: 2UD/5UD (UDB), 4UD (UDD)",01,1936,Spring_2026|ECON 300|01|1936,FALSE,\N,"1,310",LEC,MW,3:30-4:45PM,,COB-139A,Lakpour S,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ the Beach Student/s
Spring_2026,ECON,300,ECON 300,FUNDAMENTALS OF ECONOMICS,3,"GE: 2UD/5UD (UDB), 4UD (UDD)",02,1938,Spring_2026|ECON 300|02|1938,FALSE,\N,"1,310",LEC,MW,9:30-10:45AM,available,SPA-105,Mays A,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,300,ECON 300,FUNDAMENTALS OF ECONOMICS,3,"GE: 2UD/5UD (UDB), 4UD (UDD)",03,5079,Spring_2026|ECON 300|03|5079,FALSE,\N,"1,310",LEC,TuTh,11-12:15PM,available,SPA-204,Mays A,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,300,ECON 300,FUNDAMENTALS OF ECONOMICS,3,"GE: 2UD/5UD (UDB), 4UD (UDD)",04,6348,Spring_2026|ECON 300|04|6348,FALSE,\N,"1,310",LEC,TuTh,12:30-1:45PM,available,SPA-106,Mays A,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ Beach Students
Spring_2026,ECON,300,ECON 300,FUNDAMENTALS OF ECONOMICS,3,"GE: 2UD/5UD (UDB), 4UD (UDD)",05,6781,Spring_2026|ECON 300|05|6781,FALSE,\N,"1,310",LEC,Th,7-9:45PM,available,SPA-107,Lakpour S,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,301,ECON 301,ECONOMICS OF PUBLIC ISSUES,3,GE: 4UD (UDD); GWAR: WI,01,3971,Spring_2026|ECON 301|01|3971,FALSE,\N,"1,310",SEM,MW,11-12:15PM,,SPA-204,Bailly J,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,301,ECON 301,ECONOMICS OF PUBLIC ISSUES,3,GE: 4UD (UDD); GWAR: WI,02,4664,Spring_2026|ECON 301|02|4664,FALSE,\N,"1,310",SEM,MW,12:30-1:45PM,,SPA-106,Bailly J,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,306,ECON 306,ENVIRNMTL ISSUES WORLD ECONOMY,3,GE: 4UD (UDD),01,5119,Spring_2026|ECON 306|01|5119,FALSE,\N,"1,310",SEM,TuTh,12:30-1:45PM,available,SPA-107,Rummel M,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,306,ECON 306,ENVIRNMTL ISSUES WORLD ECONOMY,3,GE: 4UD (UDD),02,5440,Spring_2026|ECON 306|02|5440,FALSE,\N,"1,310",SEM,MW,9:30-10:45AM,available,SPA-107,Rummel M,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,310,ECON 310,MICROECONOMIC THEORY,3,,01,4004,Spring_2026|ECON 310|01|4004,FALSE,\N,"1,217,310",SEM,TuTh,3:30-4:45PM,available,SPA-204,Hou J,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,310,ECON 310,MICROECONOMIC THEORY,3,,02,2391,Spring_2026|ECON 310|02|2391,FALSE,\N,"1,217,310",SEM,MW,5:30-6:45PM,,SPA-106,Wong A,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,310,ECON 310,MICROECONOMIC THEORY,3,,03,3037,Spring_2026|ECON 310|03|3037,FALSE,\N,"1,217,310",SEM,TuTh,9:30-10:45AM,,SPA-204,Liu X,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,310,ECON 310,MICROECONOMIC THEORY,3,,04,4958,Spring_2026|ECON 310|04|4958,FALSE,\N,"1,217,310",SEM,TuTh,11-12:15PM,available,SPA-106,Hou J,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,311,ECON 311,MACROECONOMIC THEORY,3,,01,1219,Spring_2026|ECON 311|01|1219,FALSE,\N,"1,217,310",SEM,MW,12:30-1:45PM,available,SPA-107,Yamashiro G,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ Beach Students
Spring_2026,ECON,311,ECON 311,MACROECONOMIC THEORY,3,,02,1220,Spring_2026|ECON 311|02|1220,FALSE,\N,"1,217,310",SEM,TuTh,9:30-10:45AM,available,SPA-106,Saboori A,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ Beach Students
Spring_2026,ECON,311,ECON 311,MACROECONOMIC THEORY,3,,03,2392,Spring_2026|ECON 311|03|2392,FALSE,\N,"1,217,310",SEM,TuTh,12:30-1:45PM,available,SPA-204,Hotchandani H,Class instruction is: Face to Face - On Campus.
Spring_2026,ECON,311,ECON 311,MACROECONOMIC THEORY,3,,04,3417,Spring_2026|ECON 311|04|3417,FALSE,\N,"1,217,310",SEM,M,7-9:45PM,available,SPA-107,Keskinel M,Class instruction is: Face to Face - On Campus.
