term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ENGL,100A,ENGL 100A,COMPOSITION I,3,,01,4003,Spring_2026|ENGL 100A|01|4003,FALSE,\N,310,SEM,MW,9:30-10:45AM,,LA2-108,Harris E,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100A,ENGL 100A,COMPOSITION I,3,,02,5469,Spring_2026|ENGL 100A|02|5469,FALSE,\N,310,SEM,TuTh,2-3:15PM,,LA3-206,Douglas J,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100A,ENGL 100A,COMPOSITION I,3,,03,6086,Spring_2026|ENGL 100A|03|6086,FALSE,\N,310,SEM,MW,2-3:15PM,,LA2-108,Ahmed Z,Class instruction is: Face to Face - On Campus.Reserved seats for 2 Study Abroad @ the Beach Student/s
Spring_2026,ENGL,100A,ENGL 100A,COMPOSITION I,3,,04,8599,Spring_2026|ENGL 100A|04|8599,FALSE,\N,310,SEM,MW,11-12:15PM,available,LA3-206,Harris E,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),01,10649,Spring_2026|ENGL 100B|01|10649,FALSE,\N,"1,308",SEM,MWF,8-8:50AM,available,PSY-230,Thrasher T,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),02,1277,Spring_2026|ENGL 100B|02|1277,FALSE,\N,310,SEM,MWF,9-9:50AM,available,PSY-230,Thrasher T,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),03,2543,Spring_2026|ENGL 100B|03|2543,FALSE,\N,310,SEM,MWF,9-9:50AM,available,LA1-310,Ruiz R,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),04,1280,Spring_2026|ENGL 100B|04|1280,FALSE,\N,310,SEM,MWF,9-9:50AM,available,LA2-207,Mendoza J,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),05,1278,Spring_2026|ENGL 100B|05|1278,FALSE,\N,310,SEM,MWF,10-10:50AM,,PSY-230,Thrasher T,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),06,2544,Spring_2026|ENGL 100B|06|2544,FALSE,\N,310,SEM,MWF,11-11:50AM,,COB-216,Ruiz R,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),07,1279,Spring_2026|ENGL 100B|07|1279,FALSE,\N,310,SEM,MWF,11-11:50AM,,PSY-230,Thrasher T,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),09,1276,Spring_2026|ENGL 100B|09|1276,FALSE,\N,310,SEM,MW,8-9:15AM,available,LA2-105,Ripley J,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),10,1827,Spring_2026|ENGL 100B|10|1827,FALSE,\N,306,SEM,MW,8-9:15AM,,ONLINE-ONLY,Boyer M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),11,1282,Spring_2026|ENGL 100B|11|1282,FALSE,\N,310,SEM,MW,8-9:15AM,,ED2-216,Journey H,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),12,1283,Spring_2026|ENGL 100B|12|1283,FALSE,\N,310,SEM,MWF,11-11:50AM,available,ED2-216,Eyre K,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),13,1284,Spring_2026|ENGL 100B|13|1284,FALSE,\N,310,SEM,MW,8-9:15AM,,LA2-203,St John S,"Class instruction is: Face to Face - On Campus.Reserved for ENGL Stretch Program Students, Permit Only."
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),14,1285,Spring_2026|ENGL 100B|14|1285,TRUE,\N,310,SEM,TuTh,2-3:15PM,,ED2-160B,Wallace D,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGL,100B,ENGL 100B,COMPOSITION II,3,GE: 1A (A2),15,1286,Spring_2026|ENGL 100B|15|1286,FALSE,\N,310,SEM,TuTh,3:30-4:45PM,,LA3-109,Palomarez M,Class instruction is: Face to Face - On Campus.
