term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ES,P 101,ES P 101,THE GLOBAL ENVIRONMENT,3,GE: 5B-NL (B2),01,4256,Spring_2026|ES P 101|01|4256,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,MM-200,Argandona M,Class instruction is: Face to Face - On Campus.Class offered with GEOG-101-01
Spring_2026,ES,P 200,ES P 200,CALIFORNIA ENVIRONMENTL ISSUES,3,,01,2464,Spring_2026|ES P 200|01|2464,FALSE,\N,310,LEC,TuTh,5-6:15PM,,LA1-304,Van Grootheest C,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,P 300,ES P 300,ENVIRONMENTAL LAW AND POLICY,3,,01,2999,Spring_2026|ES P 300|01|2999,FALSE,\N,310,LEC,MW,11-12:15PM,available,LA1-300,McCarthy M,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,P 330,ES P 330,CALIFORNIA ECOSYSTEMS,3,,01,3989,Spring_2026|ES P 330|01|3989,TRUE,\N,"310,1",LEC,MW,12:30-1:20PM,,PSY-416,Mills M,Class instruction is: Face to Face - On Campus.Class offered with GEOG-330-01
Spring_2026,ES,P 330,ES P 330,CALIFORNIA ECOSYSTEMS,3,,02,4031,Spring_2026|ES P 330|02|4031,FALSE,\N,310,ACT,MW,1:30-2:20PM,,PSY-416,Mills M,Class instruction is: Face to Face - On Campus.Class offered with GEOG-330-02
Spring_2026,ES,P 350,ES P 350,ENVIRONMENTAL POLITICS,3,,01,6341,Spring_2026|ES P 350|01|6341,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA1-304,Argandona M,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,P 392,ES P 392,CLIMAT ACT & SUSTAIN AT CSULB,3,GE: 2UD/5UD (UDB),01,8405,Spring_2026|ES P 392|01|8405,TRUE,\N,310,LEC,TuTh,2-3:15PM,,LA1-300,House Peters L,Class instruction is: Face to Face - On Campus.Class offered with GEOG-392-01
Spring_2026,ES,P 400,ES P 400,ENVIRONMENTAL CAPSTONE PROJECT,3,GWAR: WI,01,3548,Spring_2026|ES P 400|01|3548,TRUE,\N,310,LEC,F,10-11:50AM,available,LA1-300,Mills M,Department Consent RequiredClass instruction is: Face to Face - On Campus.Senior Project Course Contact Department for Permit
Spring_2026,ES,P 400,ES P 400,ENVIRONMENTAL CAPSTONE PROJECT,3,GWAR: WI,02,3549,Spring_2026|ES P 400|02|3549,FALSE,\N,310,LAB,F,12-2:45PM,available,LA1-304,Laris P,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,ES,P 400,ES P 400,ENVIRONMENTAL CAPSTONE PROJECT,3,GWAR: WI,03,3550,Spring_2026|ES P 400|03|3550,FALSE,\N,310,LAB,F,12-2:45PM,available,LA1-300,Hagedorn K,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,ES,P 400,ES P 400,ENVIRONMENTAL CAPSTONE PROJECT,3,GWAR: WI,04,3551,Spring_2026|ES P 400|04|3551,FALSE,\N,310,LAB,F,12-2:45PM,,PSY-416,Mills M,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,ES,P 400,ES P 400,ENVIRONMENTAL CAPSTONE PROJECT,3,GWAR: WI,05,12735,Spring_2026|ES P 400|05|12735,FALSE,\N,310,LAB,F,12-2:45PM,available,LA1-305,Gannon S,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,ES,P 492,ES P 492,APPLIED INTERNSHIP,3,,01,10273,Spring_2026|ES P 492|01|10273,FALSE,\N,305,ACT,NA,NA,available,ONLINE-ONLY,Jocoy C,Class instruction is: Asynch. Online-No Meet Times.Class offered with GEOG-492-01
Spring_2026,ES,P 499,ES P 499,ES&P DIRECTED STUDY,1,,01,2585,Spring_2026|ES P 499|01|2585,TRUE,\N,,SUP,TBA,NA,available,ONLINE-ONLY,Mills M,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
