term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,FREN,100A,FREN 100A,ELEM FREN 1 SPANISH SPEAKERS,4,GE: 3B (C2),01,2987,Spring_2026|FREN 100A|01|2987,FALSE,\N,"1,182,295,310",SEM,TuTh,2-3:50PM,available,AS-241,Salazar D,Class instruction is: Face to Face - On Campus.
Spring_2026,FREN,100B,FREN 100B,ELEM FREN 2 SPANISH SPEAKERS,4,GE: 3B (C2),01,7347,Spring_2026|FREN 100B|01|7347,FALSE,\N,"1,295,182,310",SEM,MW,10-11:50AM,available,LA2-104,Salazar D,Class instruction is: Face to Face - On Campus.
Spring_2026,FREN,101A,FREN 101A,ELEMENTARY FRENCH 1,4,GE: 3B (C2),01,1807,Spring_2026|FREN 101A|01|1807,FALSE,\N,"1,295,306",SEM,MW,5:30-7:20PM,available,ONLINE-ONLY,Vardazaryan A,Class instruction is: Synch. Online - Meet Times.
Spring_2026,FREN,101A,FREN 101A,ELEMENTARY FRENCH 1,4,GE: 3B (C2),02,2357,Spring_2026|FREN 101A|02|2357,FALSE,\N,"1,295,310",SEM,MW,12-1:50PM,available,LA2-106,Kaneyasu-Speck K,Class instruction is: Face to Face - On Campus.
Spring_2026,FREN,101A,FREN 101A,ELEMENTARY FRENCH 1,4,GE: 3B (C2),03,5756,Spring_2026|FREN 101A|03|5756,FALSE,\N,"1,295,310",SEM,TuTh,10-11:50AM,available,AS-240,Bordage N,Class instruction is: Face to Face - On Campus.
Spring_2026,FREN,201,FREN 201,ACCELERATED INTERMEDIATE FREN,6,GE: 3B (C2),01,8424,Spring_2026|FREN 201|01|8424,FALSE,\N,"1,295,307",SEM,TuTh,10-11:50AM,,AS-241,Sanchez-reyes M,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,FREN,201,FREN 201,ACCELERATED INTERMEDIATE FREN,6,GE: 3B (C2),01,\N,Spring_2026|FREN 201|01|NOCLASS|fc7251d633376062,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Sanchez-reyes M,additional meeting detail
Spring_2026,FREN,201,FREN 201,ACCELERATED INTERMEDIATE FREN,6,GE: 3B (C2),02,8806,Spring_2026|FREN 201|02|8806,FALSE,\N,"1,295,312",SEM,TuTh,10-11:50AM,available,ONLINE-ONLY,Sanchez-reyes M,Class instruction is: Online - Mixed Meet Times.
Spring_2026,FREN,201,FREN 201,ACCELERATED INTERMEDIATE FREN,6,GE: 3B (C2),02,\N,Spring_2026|FREN 201|02|NOCLASS|f78944e12ecf43a2,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Sanchez-reyes M,additional meeting detail
Spring_2026,FREN,240,FREN 240,PARIS PAST AND PRESENT,3,GE: 3A (C1),01,9161,Spring_2026|FREN 240|01|9161,FALSE,\N,"1,310",LEC,TuTh,9:30-10:45AM,available,LAB-200,Malandain J,Class instruction is: Face to Face - On Campus.Class is taught in English
Spring_2026,FREN,312,FREN 312,FRENCH COMPOSITION IN CONTEXT,3,,01,7348,Spring_2026|FREN 312|01|7348,FALSE,\N,"1,310",SEM,TuTh,11-12:15PM,available,LA2-104,Malandain J,Class instruction is: Face to Face - On Campus.
Spring_2026,FREN,316,FREN 316,INTRO TO INVER TRNSLT ENG-FREN,3,,01,10191,Spring_2026|FREN 316|01|10191,FALSE,\N,"1,312",LEC,TuTh,12:30-1:45PM,available,LAB-200,Balzani A,Class instruction is: Face to Face - On Campus.
Spring_2026,FREN,316,FREN 316,INTRO TO INVER TRNSLT ENG-FREN,3,,02,10192,Spring_2026|FREN 316|02|10192,FALSE,\N,"1,312",LEC,TuTh,12:30-1:45PM,available,ONLINE-ONLY,Balzani A,Class instruction is: Synch. Online - Meet Times.
Spring_2026,FREN,337,FREN 337,SURVEY OF FRENCH LIT III,3,,01,10195,Spring_2026|FREN 337|01|10195,FALSE,\N,"1,306",SEM,MW,12:30-1:45PM,available,ONLINE-ONLY,Kelman I,Class instruction is: Synch. Online - Meet Times.
Spring_2026,FREN,414,FREN 414,FRENCH PHONETICS,3,,01,10196,Spring_2026|FREN 414|01|10196,FALSE,\N,310,SEM,TuTh,2-3:15PM,available,LA1-314,Sanchez-reyes M,Class instruction is: Face to Face - On Campus.
Spring_2026,FREN,471,FREN 471,FRENCH LITERATURE RENAISSANCE,3,,01,12414,Spring_2026|FREN 471|01|12414,FALSE,\N,"306,1,13",SEM,Tu,5-7:45PM,available,ONLINE-ONLY,Donato C,Class instruction is: Synch. Online - Meet Times.
Spring_2026,FREN,494,FREN 494,INTERNSHIP IN FRENCH,1,,01,2798,Spring_2026|FREN 494|01|2798,FALSE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,FREN,499,FREN 499,DIRECTED STUDIES,1,,01,4782,Spring_2026|FREN 499|01|4782,FALSE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,FREN,571,FREN 571,FRENCH LITERATURE RENAISSANCE,3,,02,10198,Spring_2026|FREN 571|02|10198,FALSE,\N,"1,13,306",SEM,Tu,5-7:45PM,available,ONLINE-ONLY,Donato C,Instructor Consent RequiredClass instruction is: Synch. Online - Meet Times.
Spring_2026,FREN,599,FREN 599,DIRECTED STUDIES,1,,01,3052,Spring_2026|FREN 599|01|3052,FALSE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Nayak A,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,FREN,599,FREN 599,DIRECTED STUDIES,1,,02,12794,Spring_2026|FREN 599|02|12794,FALSE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Donato C,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,FREN,697,FREN 697,DIRECTED RESEARCH,1,,01,1366,Spring_2026|FREN 697|01|1366,FALSE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,FREN,698,FREN 698,THESIS,3,,01,1919,Spring_2026|FREN 698|01|1919,FALSE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
