term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,GEOG,100,GEOG 100,WORLD REGIONAL GEOGRAPHY,3,GE: 4C (D3),01,1367,Spring_2026|GEOG 100|01|1367,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Bairam E,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GEOG,100,GEOG 100,WORLD REGIONAL GEOGRAPHY,3,GE: 4C (D3),02,2250,Spring_2026|GEOG 100|02|2250,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA1-300,Bairam E,Class instruction is: Face to Face - On Campus.
Spring_2026,GEOG,100,GEOG 100,WORLD REGIONAL GEOGRAPHY,3,GE: 4C (D3),03,4255,Spring_2026|GEOG 100|03|4255,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Bairam E,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GEOG,100,GEOG 100,WORLD REGIONAL GEOGRAPHY,3,GE: 4C (D3),04,10317,Spring_2026|GEOG 100|04|10317,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Bairam E,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GEOG,101,GEOG 101,THE GLOBAL ENVIRONMENT,3,GE: 5B-NL (B2),01,3983,Spring_2026|GEOG 101|01|3983,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,available,MM-200,Argandona M,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ Beach StudentsClass offered with ES P-101-01
Spring_2026,GEOG,101,GEOG 101,THE GLOBAL ENVIRONMENT,3,GE: 5B-NL (B2),03,4384,Spring_2026|GEOG 101|03|4384,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Wranic A,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GEOG,130,GEOG 130,GEOGRAPHY OF WEATHER CLIMATE,4,GE: 5A-WL (B1/B3),01,2759,Spring_2026|GEOG 130|01|2759,TRUE,\N,310,LEC,MW,11-12:15PM,available,PH1-223,Pepper D,Class instruction is: Face to Face - On Campus.
Spring_2026,GEOG,130,GEOG 130,GEOGRAPHY OF WEATHER CLIMATE,4,GE: 5A-WL (B1/B3),02,2760,Spring_2026|GEOG 130|02|2760,FALSE,\N,310,ACT,W,9-10:50AM,available,LA1-301,Muschek E,Class instruction is: Face to Face - On Campus.
Spring_2026,GEOG,130,GEOG 130,GEOGRAPHY OF WEATHER CLIMATE,4,GE: 5A-WL (B1/B3),03,3200,Spring_2026|GEOG 130|03|3200,FALSE,\N,310,ACT,M,9-10:50AM,available,LA1-301,Russell A,Class instruction is: Face to Face - On Campus.
Spring_2026,GEOG,130,GEOG 130,GEOGRAPHY OF WEATHER CLIMATE,4,GE: 5A-WL (B1/B3),04,6973,Spring_2026|GEOG 130|04|6973,FALSE,\N,310,ACT,W,1-2:50PM,,LA1-301,King S,Class instruction is: Face to Face - On Campus.
Spring_2026,GEOG,135,GEOG 135,GLOBAL CLIM CRISIS SOL,3,GE: 5A-NL (B1),01,10473,Spring_2026|GEOG 135|01|10473,TRUE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Parker T,Class instruction is: Asynch. Online-No Meet Times.
