term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,GERM,101A,GERM 101A,ELEMENTARY GERMAN 1,3,GE: 3B (C2),01,3457,Spring_2026|GERM 101A|01|3457,TRUE,\N,"1,296,310",SEM,MW,9:30-10:45AM,available,LA1-314,Chavez L,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,101A,GERM 101A,ELEMENTARY GERMAN 1,3,GE: 3B (C2),02,5913,Spring_2026|GERM 101A|02|5913,TRUE,\N,"1,296,310",SEM,TuTh,9:30-10:45AM,available,LA2-104,Hempel-Lamer N,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,101A,GERM 101A,ELEMENTARY GERMAN 1,3,GE: 3B (C2),03,9122,Spring_2026|GERM 101A|03|9122,TRUE,\N,"1,296,306",SEM,TuTh,5:30-6:45PM,,ONLINE-ONLY,Anderson A,Class instruction is: Synch. Online - Meet Times.
Spring_2026,GERM,101B,GERM 101B,ELEMENTARY GERMAN 2,3,GE: 3B (C2),01,5271,Spring_2026|GERM 101B|01|5271,TRUE,\N,"1,296,312",SEM,TuTh,11-12:15PM,available,LA2-101B,Muller M,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,101B,GERM 101B,ELEMENTARY GERMAN 2,3,GE: 3B (C2),02,8530,Spring_2026|GERM 101B|02|8530,TRUE,\N,"1,296,312",SEM,TuTh,11-12:15PM,available,ONLINE-ONLY,Muller M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,GERM,201B,GERM 201B,INTERMEDIATE GERMAN 2,3,GE: 3B (C2),01,7388,Spring_2026|GERM 201B|01|7388,TRUE,\N,"1,296,312",SEM,TuTh,9:30-10:45AM,available,LA2-101B,Muller M,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,201B,GERM 201B,INTERMEDIATE GERMAN 2,3,GE: 3B (C2),02,8531,Spring_2026|GERM 201B|02|8531,TRUE,\N,"1,296,312",SEM,TuTh,9:30-10:45AM,available,ONLINE-ONLY,Muller M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,GERM,397,GERM 397,"MARX, NIETZSCHE, FREUD",3,GE: 3UD (UDC); GWAR: WI,01,5118,Spring_2026|GERM 397|01|5118,TRUE,\N,"1,310",SEM,TuTh,3:30-4:45PM,,LAB-200,Blankenship R,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,401,GERM 401,ADV GERMAN SYNTAX & COMPOSITN,3,,01,10171,Spring_2026|GERM 401|01|10171,TRUE,\N,"1,310",SEM,MW,3:30-4:45PM,available,LA2-101B,Hempel-Lamer N,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,430,GERM 430,GERMAN POETRY,3,,01,10172,Spring_2026|GERM 430|01|10172,TRUE,\N,"1,13,310",SEM,MW,5:30-6:45PM,available,LA2-101B,Hempel-Lamer N,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,440,GERM 440,GERM NOVELLA IN CONTEXT,3,,01,10180,Spring_2026|GERM 440|01|10180,TRUE,\N,"1,13,310",SEM,MW,7-8:15PM,available,LA2-101B,Blankenship R,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,480,GERM 480,GERMAN CINEMA,3,,01,1932,Spring_2026|GERM 480|01|1932,TRUE,\N,"1,29,310",LEC,Th,5-6:50PM,available,LA3-120,Blankenship R,Class instruction is: Face to Face - On Campus.Class offered with CINE-457-01
Spring_2026,GERM,480,GERM 480,GERMAN CINEMA,3,,02,7480,Spring_2026|GERM 480|02|7480,FALSE,\N,"1,29,310",ACT,Th,7-8:50PM,available,LA3-120,Blankenship R,Class instruction is: Face to Face - On Campus.Class offered with CINE-457-02
Spring_2026,GERM,494,GERM 494,INTERNSHIP IN GERMAN,1,,01,2802,Spring_2026|GERM 494|01|2802,TRUE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERM,499,GERM 499,DIRECTED STUDIES,1,,01,3539,Spring_2026|GERM 499|01|3539,TRUE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERM,530,GERM 530,GERMAN POETRY,3,,01,10173,Spring_2026|GERM 530|01|10173,TRUE,\N,"1,13,310",SEM,MW,5:30-6:45PM,available,LA2-101B,Hempel-Lamer N,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,540,GERM 540,GERMAN NOVELLA IN CONTEXT,3,,01,10182,Spring_2026|GERM 540|01|10182,TRUE,\N,"1,13,310",SEM,MW,7-8:15PM,available,LA2-101B,Blankenship R,Class instruction is: Face to Face - On Campus.
Spring_2026,GERM,599,GERM 599,DIRECTED STUDIES,1,,01,3534,Spring_2026|GERM 599|01|3534,TRUE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
