term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),01,3163,Spring_2026|GLST 100|01|3163,FALSE,\N,308,LEC,MW,12:30-1:45PM,,SPA-203,Baker Y,Class instruction is: Face to Face - On Campus.
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),02,5004,Spring_2026|GLST 100|02|5004,FALSE,\N,310,LEC,TuTh,11-12:15PM,,SPA-203,Odell G,Class instruction is: Face to Face - On Campus.
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),03,5005,Spring_2026|GLST 100|03|5005,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ceia L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),04,5006,Spring_2026|GLST 100|04|5006,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ceia L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),05,5609,Spring_2026|GLST 100|05|5609,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Marcus R,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),06,5787,Spring_2026|GLST 100|06|5787,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Marcus R,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),07,6772,Spring_2026|GLST 100|07|6772,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Walters K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),08,6786,Spring_2026|GLST 100|08|6786,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Walters K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GLST,100,GLST 100,GLOBAL CITIZENSHIP,3,GE: 1B (A3),09,10330,Spring_2026|GLST 100|09|10330,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,McCall J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GLST,122,GLST 122,SKILLS METHODS GLOBAL LDRSHP,3,,01,7351,Spring_2026|GLST 122|01|7351,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Odell G,Class instruction is: Asynch. Online-No Meet Times.
