term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,HDEV,90,HDEV 90,FOUNDATIONS STATS IN SOC SCI,1,,01,9926,Spring_2026|HDEV 90|01|9926,FALSE,\N,,ACT,M,2-3:50PM,,LA5-247,Castro L,Class instruction is: Face to Face - On Campus.
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",01,3104,Spring_2026|HDEV 180|01|3104,FALSE,\N,"17,307",LEC,W,9:30-10:45AM,,LA5-167,Rahman S,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",01,\N,Spring_2026|HDEV 180|01|NOCLASS|04d88940d50e55a7,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Rahman S,additional meeting detail
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",02,3430,Spring_2026|HDEV 180|02|3430,FALSE,\N,"310,17",LEC,TuTh,11-12:15PM,,LA5-167,Wendt M,Class instruction is: Face to Face - On Campus.
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",03,6134,Spring_2026|HDEV 180|03|6134,FALSE,\N,"17,305",LEC,NA,NA,,ONLINE-ONLY,Rae-Espinoza H,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",04,8067,Spring_2026|HDEV 180|04|8067,FALSE,\N,"305,17",LEC,NA,NA,,ONLINE-ONLY,Rae-Espinoza H,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",05,8086,Spring_2026|HDEV 180|05|8086,FALSE,\N,"17,305",LEC,NA,NA,,ONLINE-ONLY,Rae-Espinoza H,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",06,8194,Spring_2026|HDEV 180|06|8194,FALSE,\N,"17,305",LEC,NA,NA,,ONLINE-ONLY,Rae-Espinoza H,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",07,8635,Spring_2026|HDEV 180|07|8635,FALSE,\N,"17,305",LEC,NA,NA,,ONLINE-ONLY,Rahman S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HDEV,180,HDEV 180,LIFESPAN HUMAN DEVELOPMENT,3,"GE: 4C (D3), E",08,12586,Spring_2026|HDEV 180|08|12586,TRUE,\N,"17,305",LEC,NA,NA,,ONLINE-ONLY,Smith Di Faustino L,Class instruction is: Asynch. Online-No Meet Times.
