term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ITAL,100A,ITAL 100A,ELEM ITALIAN 1 SPANISH SPEAKER,4,GE: 3B (C2),01,3118,Spring_2026|ITAL 100A|01|3118,FALSE,\N,"1,182,297,310",SEM,TuTh,12-1:50PM,available,AS-241,Taylor J,Class instruction is: Face to Face - On Campus.
Spring_2026,ITAL,100A,ITAL 100A,ELEM ITALIAN 1 SPANISH SPEAKER,4,GE: 3B (C2),02,5530,Spring_2026|ITAL 100A|02|5530,FALSE,\N,"1,182,297,310",SEM,MW,12-1:50PM,available,LA2-101A,Tatro J,Class instruction is: Face to Face - On Campus.
Spring_2026,ITAL,100B,ITAL 100B,ELEM ITALIAN 2 SPANISH SPEAKER,4,GE: 3B (C2),01,7910,Spring_2026|ITAL 100B|01|7910,FALSE,\N,"1,182,297,310",SEM,TuTh,2-3:50PM,available,AS-240,Tatro J,Class instruction is: Face to Face - On Campus.
Spring_2026,ITAL,101A,ITAL 101A,ELEMENTARY ITALIAN 1,4,GE: 3B (C2),01,3570,Spring_2026|ITAL 101A|01|3570,FALSE,\N,"1,297,310",SEM,MW,12-1:50PM,available,AS-240,Chan E,Class instruction is: Face to Face - On Campus.
Spring_2026,ITAL,101A,ITAL 101A,ELEMENTARY ITALIAN 1,4,GE: 3B (C2),02,10204,Spring_2026|ITAL 101A|02|10204,FALSE,\N,"1,297,306",SEM,MW,5:30-7:20PM,available,ONLINE-ONLY,Taylor J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ITAL,101B,ITAL 101B,ELEMENTARY ITALIAN 2,4,GE: 3B (C2),01,6656,Spring_2026|ITAL 101B|01|6656,FALSE,\N,"1,297,310",SEM,MW,10-11:50AM,available,LAB-128,Taylor J,Class instruction is: Face to Face - On Campus.
Spring_2026,ITAL,201,ITAL 201,ACCEL INTERMEDIATE ITALIAN,6,GE: 3B (C2),01,6350,Spring_2026|ITAL 201|01|6350,FALSE,\N,"1,297,307",SEM,MW,10-11:50AM,available,LA2-101B,Chan E,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,ITAL,201,ITAL 201,ACCEL INTERMEDIATE ITALIAN,6,GE: 3B (C2),01,\N,Spring_2026|ITAL 201|01|NOCLASS|4cca26fe7022fdda,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,ITAL,240,ITAL 240,FLORENCE THROUGH THE AGES,3,GE: 3A (C1),01,10208,Spring_2026|ITAL 240|01|10208,TRUE,\N,"1,310",LEC,MW,9:30-10:45AM,available,AS-240,Hopkins S,Class instruction is: Face to Face - On Campus.
Spring_2026,ITAL,300,ITAL 300,ADV. GRAMMAR & COMPOSITION,6,,01,10543,Spring_2026|ITAL 300|01|10543,FALSE,\N,"1,312",SEM,MW,12-1:50PM,available,AS-241,Hopkins S,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,ITAL,300,ITAL 300,ADV. GRAMMAR & COMPOSITION,6,,01,\N,Spring_2026|ITAL 300|01|NOCLASS|7934c108f3ee64c4,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Hopkins S,additional meeting detail
Spring_2026,ITAL,300,ITAL 300,ADV. GRAMMAR & COMPOSITION,6,,02,10544,Spring_2026|ITAL 300|02|10544,FALSE,\N,"1,312",SEM,MW,12-1:50PM,available,ONLINE-ONLY,Hopkins S,Class instruction is: Online - Mixed Meet Times.
Spring_2026,ITAL,300,ITAL 300,ADV. GRAMMAR & COMPOSITION,6,,02,\N,Spring_2026|ITAL 300|02|NOCLASS|cd3d26c7b97f1087,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Hopkins S,additional meeting detail
Spring_2026,ITAL,345,ITAL 345,"MOBSTERS, MAMMAS, MAFIAS AND M",3,GE: 4UD (UDD),01,4434,Spring_2026|ITAL 345|01|4434,FALSE,\N,"1,310",SEM,MW,2-3:15PM,available,AS-241,Hopkins S,Class instruction is: Face to Face - On Campus.
Spring_2026,ITAL,478,ITAL 478,THE ITAL NOVELISTIC TRADITION,3,,01,10200,Spring_2026|ITAL 478|01|10200,FALSE,\N,"1,13,312",SEM,Tu,4-6:45PM,available,LA3-120,Vettore E,Class instruction is: Face to Face - On Campus.
Spring_2026,ITAL,478,ITAL 478,THE ITAL NOVELISTIC TRADITION,3,,02,10201,Spring_2026|ITAL 478|02|10201,FALSE,\N,"1,13,312",SEM,Tu,4-6:45PM,available,ONLINE-ONLY,Vettore E,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ITAL,494,ITAL 494,INTERNSHIP IN ITALIAN,1,,01,2443,Spring_2026|ITAL 494|01|2443,FALSE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,ITAL,499,ITAL 499,DIRECTED STUDIES,1,,01,5179,Spring_2026|ITAL 499|01|5179,FALSE,\N,"1,3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
