term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,JAPN,101,JAPN 101,FUNDAMENTALS OF JAPANESE,4,GE: 3B (C2),01,2879,Spring_2026|JAPN 101|01|2879,FALSE,\N,310,SEM,MTuWTh,8-8:50AM,,LA2-204,Saigusa Y,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,101,JAPN 101,FUNDAMENTALS OF JAPANESE,4,GE: 3B (C2),02,4724,Spring_2026|JAPN 101|02|4724,FALSE,\N,310,SEM,MTuWTh,9-9:50AM,,PSY-152,Lardy A,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,101,JAPN 101,FUNDAMENTALS OF JAPANESE,4,GE: 3B (C2),03,4753,Spring_2026|JAPN 101|03|4753,FALSE,\N,310,SEM,MTuWTh,10-10:50AM,,PSY-152,Lardy A,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,101,JAPN 101,FUNDAMENTALS OF JAPANESE,4,GE: 3B (C2),04,5976,Spring_2026|JAPN 101|04|5976,FALSE,\N,310,SEM,MTuWTh,11-11:50AM,,PSY-152,Chinen K,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,102,JAPN 102,FUNDAMENTALS OF JAPANESE,4,GE: 3B (C2),01,3644,Spring_2026|JAPN 102|01|3644,FALSE,\N,310,SEM,MTuWTh,10-10:50AM,,LA2-204,Suzumura-Smith N,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,102,JAPN 102,FUNDAMENTALS OF JAPANESE,4,GE: 3B (C2),02,4274,Spring_2026|JAPN 102|02|4274,FALSE,\N,310,SEM,MTuWTh,11-11:50AM,,LA2-204,Kitagawa K,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,201,JAPN 201,INTERMEDIATE JAPANESE,4,GE: 3B (C2),01,7729,Spring_2026|JAPN 201|01|7729,FALSE,\N,310,SEM,MTuWTh,9-9:50AM,,LA2-204,Chinen K,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,202,JAPN 202,INTERMEDIATE JAPANESE,4,GE: 3B (C2),01,4725,Spring_2026|JAPN 202|01|4725,FALSE,\N,310,SEM,MTuWTh,9-9:50AM,,LA1-302,Kitagawa K,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,302,JAPN 302,ADVANCED JAPANESE,3,,01,1394,Spring_2026|JAPN 302|01|1394,FALSE,\N,310,SEM,MW,11-12:15PM,,LA2-203,Suzumura-Smith N,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,312,JAPN 312,ADVANCED SPOKEN JAPANESE,3,,01,6436,Spring_2026|JAPN 312|01|6436,FALSE,\N,310,SEM,MW,2-3:15PM,,LA1-302,Kitagawa K,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,350,JAPN 350,JAPN LANG CULTR COMMUNICATION,3,,01,5977,Spring_2026|JAPN 350|01|5977,FALSE,\N,310,SEM,TuTh,2-3:15PM,,LA1-302,Sera A,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,451,JAPN 451,JAPANESE CIVILIZATION,3,,01,8730,Spring_2026|JAPN 451|01|8730,FALSE,\N,310,SEM,TuTh,11-12:15PM,,PSY-148,Douglas M,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,471,JAPN 471,READ MOD & CONTEMP JAPAN LIT,3,,01,10268,Spring_2026|JAPN 471|01|10268,FALSE,\N,310,SEM,TuTh,2-3:15PM,,LA2-202,Chinen K,Class instruction is: Face to Face - On Campus.Contact Department - Permit Only
Spring_2026,JAPN,497,JAPN 497,DIRECTED STUDIES,1,,01,1939,Spring_2026|JAPN 497|01|1939,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Chinen K,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,JAPN,497,JAPN 497,DIRECTED STUDIES,1,,02,8180,Spring_2026|JAPN 497|02|8180,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Suzumura-Smith N,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
