term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,JOUR,104,JOUR 104,SOCIAL MEDIA COMMUNICATION,3,GE: E,01,5394,Spring_2026|JOUR 104|01|5394,FALSE,\N,307,LEC,W,11-12:15PM,,LH-150,Puente T,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,JOUR,104,JOUR 104,SOCIAL MEDIA COMMUNICATION,3,GE: E,01,\N,Spring_2026|JOUR 104|01|NOCLASS|9c7c40bf7811fbea,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Puente T,additional meeting detail
Spring_2026,JOUR,104,JOUR 104,SOCIAL MEDIA COMMUNICATION,3,GE: E,02,8666,Spring_2026|JOUR 104|02|8666,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Kumar S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,JOUR,110,JOUR 110,MASS MEDIA AND SOCIETY,3,"GE: 4C (D3), E",01,5454,Spring_2026|JOUR 110|01|5454,FALSE,\N,307,LEC,M,11-12:15PM,,LH-150,Metzker G,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,JOUR,110,JOUR 110,MASS MEDIA AND SOCIETY,3,"GE: 4C (D3), E",01,\N,Spring_2026|JOUR 110|01|NOCLASS|87faa7451d938fe6,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Metzker G,additional meeting detail
Spring_2026,JOUR,110,JOUR 110,MASS MEDIA AND SOCIETY,3,"GE: 4C (D3), E",02,8668,Spring_2026|JOUR 110|02|8668,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Sanchez E,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,JOUR,120,JOUR 120,NEWS WRITING AND ETHICS,3,,01,6058,Spring_2026|JOUR 120|01|6058,FALSE,\N,310,LEC,MW,8-9:15AM,,LA4-107,Larsen P,Class instruction is: Face to Face - On Campus.
Spring_2026,JOUR,120,JOUR 120,NEWS WRITING AND ETHICS,3,,02,8671,Spring_2026|JOUR 120|02|8671,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA4-102,Sanchez E,Class instruction is: Face to Face - On Campus.
Spring_2026,JOUR,120,JOUR 120,NEWS WRITING AND ETHICS,3,,03,8672,Spring_2026|JOUR 120|03|8672,FALSE,\N,310,LEC,TuTh,3:30-4:45PM,,SPA-206,Sanchez E,Class instruction is: Face to Face - On Campus.
Spring_2026,JOUR,120,JOUR 120,NEWS WRITING AND ETHICS,3,,04,8673,Spring_2026|JOUR 120|04|8673,FALSE,\N,310,LEC,MW,2-3:15PM,available,SPA-207,Washington A,Class instruction is: Face to Face - On Campus.
Spring_2026,JOUR,120,JOUR 120,NEWS WRITING AND ETHICS,3,,05,12434,Spring_2026|JOUR 120|05|12434,FALSE,\N,310,LEC,MW,11-12:15PM,,SPA-206,Washington A,Class instruction is: Face to Face - On Campus.
Spring_2026,JOUR,160,JOUR 160,UNDERSTANDING NEWS MEDIA,3,GE: 1B (A3),01,6111,Spring_2026|JOUR 160|01|6111,FALSE,\N,310,LEC,MW,9:30-10:45AM,available,HC-120,Hopkins A,Class instruction is: Face to Face - On Campus.
Spring_2026,JOUR,160,JOUR 160,UNDERSTANDING NEWS MEDIA,3,GE: 1B (A3),02,8674,Spring_2026|JOUR 160|02|8674,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Jones R,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,JOUR,180,JOUR 180,"AI, ALGORITHMS AND MEDIA",3,GE: 1B (A3),01,10321,Spring_2026|JOUR 180|01|10321,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Moss S,Class instruction is: Asynch. Online-No Meet Times.
