term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),01,3367,Spring_2026|LING 100|01|3367,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,COB-124,Sharifi A,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),02,3713,Spring_2026|LING 100|02|3713,FALSE,\N,,LEC,MW,9:30-10:45AM,,LA3-203,Sharifi A,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),03,7128,Spring_2026|LING 100|03|7128,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,LA5-250,Sandoval Sanchez S,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),04,7613,Spring_2026|LING 100|04|7613,FALSE,\N,,LEC,TuTh,3:30-4:45PM,available,PSY-201,Sharifi A,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),05,6854,Spring_2026|LING 100|05|6854,FALSE,\N,34,LEC,TuTh,11-12:15PM,,LA3-203,Davidson M,Honors SectionClass instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),06,7118,Spring_2026|LING 100|06|7118,FALSE,\N,,LEC,MW,3:30-4:45PM,,LA5-148,Delarosa R,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),07,8581,Spring_2026|LING 100|07|8581,FALSE,\N,,LEC,MW,11-12:15PM,available,LA5-250,Sharifi A,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),08,7583,Spring_2026|LING 100|08|7583,FALSE,\N,,LEC,M,5-7:45PM,available,LA5-148,Delarosa R,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),09,10327,Spring_2026|LING 100|09|10327,FALSE,\N,,LEC,TuTh,2-3:15PM,,PSY-155,Davidson M,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,100,LING 100,THE NATURE OF LANGUAGE,3,GE: 1B (A3),10,10723,Spring_2026|LING 100|10|10723,FALSE,\N,,LEC,NA,NA,available,ONLINE-ONLY,Lott P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,LING,101,LING 101,INTRO TO THE WORLD'S LANGUAGES,3,GE: 4C (D3),01,4654,Spring_2026|LING 101|01|4654,FALSE,\N,,LEC,TuTh,3:30-4:45PM,available,PSY-230,Davidson M,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ the Beach Student/s
Spring_2026,LING,170,LING 170,INTRO TO LINGUISTICS,3,GE: 4C (D3),01,3172,Spring_2026|LING 170|01|3172,FALSE,\N,,LEC,TuTh,9:30-10:45AM,available,LA5-165,Naqvi S,Class instruction is: Face to Face - On Campus.Class offered with ANTH-170-01
Spring_2026,LING,170,LING 170,INTRO TO LINGUISTICS,3,GE: 4C (D3),02,3278,Spring_2026|LING 170|02|3278,FALSE,\N,,LEC,TuTh,11-12:15PM,,LA5-165,LeMaster B,Class instruction is: Face to Face - On Campus.Class offered with ANTH-170-02
Spring_2026,LING,300,LING 300,PROF DEVELOP FOR LINGUISTS,1,,01,6088,Spring_2026|LING 300|01|6088,FALSE,\N,,LEC,M,12:30-1:20PM,available,SPA-108,Ahland M,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,325,LING 325,MODERN ENGLISH GRAMMAR,3,,01,2444,Spring_2026|LING 325|01|2444,FALSE,\N,,SEM,TuTh,2-3:15PM,,LA5-250,Fender M,Class instruction is: Face to Face - On Campus.Reserved Seats Contact Dept Office
Spring_2026,LING,325,LING 325,MODERN ENGLISH GRAMMAR,3,,02,4627,Spring_2026|LING 325|02|4627,FALSE,\N,,SEM,MW,12:30-1:45PM,,LA5-148,Fender M,Class instruction is: Face to Face - On Campus.Reserved Seats Contact Dept Office
Spring_2026,LING,329,LING 329,INTRO TO LANGUAGE ACQUISITION,3,GE: 4UD (UDD),01,10223,Spring_2026|LING 329|01|10223,FALSE,\N,306,LEC,M,9-11:45AM,,ONLINE-ONLY,Hatami S,Class instruction is: Synch. Online - Meet Times.
Spring_2026,LING,329,LING 329,INTRO TO LANGUAGE ACQUISITION,3,GE: 4UD (UDD),02,10224,Spring_2026|LING 329|02|10224,FALSE,\N,306,LEC,M,1-3:45PM,,ONLINE-ONLY,Hatami S,Class instruction is: Synch. Online - Meet Times.
Spring_2026,LING,329,LING 329,INTRO TO LANGUAGE ACQUISITION,3,GE: 4UD (UDD),03,10225,Spring_2026|LING 329|03|10225,FALSE,\N,,LEC,MW,2-3:15PM,,SPA-111,Davidson M,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,329,LING 329,INTRO TO LANGUAGE ACQUISITION,3,GE: 4UD (UDD),04,10226,Spring_2026|LING 329|04|10226,FALSE,\N,,LEC,MW,3:30-4:45PM,available,SPA-111,Davidson M,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,339,LING 339,LINGUISTICS CLAD SECOND SCHOOL,3,,01,3368,Spring_2026|LING 339|01|3368,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,LA5-250,Fender M,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,363,LING 363,IMPLICATIONS OF HUMAN LANGUAGE,3,GE: 4UD (UDD); GWAR: WI,01,10341,Spring_2026|LING 363|01|10341,FALSE,\N,,SEM,TuTh,9:30-10:45AM,,LA3-203,Ahland C,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,375,LING 375,SPANISH IN THE US,3,GE: 4UD (UDD); GWAR: WI,01,10546,Spring_2026|LING 375|01|10546,FALSE,\N,,LEC,TuTh,2-3:15PM,,COB-111,Sandoval Sanchez S,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,379,LING 379,SOCIOLINGUISTICS,3,,01,7339,Spring_2026|LING 379|01|7339,FALSE,\N,,SEM,MW,9:30-10:45AM,available,LA5-250,Bax A,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,413,LING 413,LANGUAGE & CULTURE,3,,02,6256,Spring_2026|LING 413|02|6256,FALSE,\N,,SEM,TuTh,11-12:15PM,available,ONLINE-ONLY,Naqvi S,Class instruction is: Synch. Online - Meet Times.Class offered with ANTH-413-02
Spring_2026,LING,420,LING 420,PHONOLOGY,3,,01,1395,Spring_2026|LING 420|01|1395,FALSE,\N,,SEM,MW,2-3:15PM,,LA3-204,Sandoval Sanchez S,Class instruction is: Face to Face - On Campus.Reserved Seats Contact Dept Office
Spring_2026,LING,421,LING 421,SYNTAX,3,,01,1396,Spring_2026|LING 421|01|1396,FALSE,\N,,SEM,TuTh,12:30-1:45PM,available,SPA-209,Ahland C,Class instruction is: Face to Face - On Campus.
Spring_2026,LING,425,LING 425,EDUCATION ACROSS CULTURES,3,GE: 4UD (UDD),01,2997,Spring_2026|LING 425|01|2997,FALSE,\N,,SEM,MW,3:30-4:45PM,available,LA5-248,Sharifi A,Class instruction is: Face to Face - On Campus.Class offered with ANTH-421-01
Spring_2026,LING,438,LING 438,PSYCHOLINGUISTICS,3,,01,3005,Spring_2026|LING 438|01|3005,FALSE,\N,,SEM,MW,11-12:15PM,,PSY-148,Fender M,Class instruction is: Face to Face - On Campus.Class offered with PSY-438-01
