term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,PHIL,100,PHIL 100,INTRO PHILOSOPHY,3,GE: 3B (C2),01,3069,Spring_2026|PHIL 100|01|3069,FALSE,\N,310,LEC,MW,9:30-10:45AM,,MM-200,Wright W,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,100,PHIL 100,INTRO PHILOSOPHY,3,GE: 3B (C2),02,1812,Spring_2026|PHIL 100|02|1812,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA5-149,Wright C,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,101,PHIL 101,THE MEANING OF LIFE,3,"GE: 3B (C2), E",01,4582,Spring_2026|PHIL 101|01|4582,FALSE,\N,310,LEC,MW,2-3:15PM,available,MM-100,Parris A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,101,PHIL 101,THE MEANING OF LIFE,3,"GE: 3B (C2), E",02,4658,Spring_2026|PHIL 101|02|4658,FALSE,\N,310,LEC,MW,2-3:15PM,,LA5-246,Nolan L,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,101,PHIL 101,THE MEANING OF LIFE,3,"GE: 3B (C2), E",03,6137,Spring_2026|PHIL 101|03|6137,FALSE,\N,310,LEC,MW,9:30-10:45AM,available,LA5-149,Jayasekera M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,101,PHIL 101,THE MEANING OF LIFE,3,"GE: 3B (C2), E",04,7431,Spring_2026|PHIL 101|04|7431,TRUE,\N,310,LEC,MW,11-12:15PM,,LA2-206,Parris A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,101,PHIL 101,THE MEANING OF LIFE,3,"GE: 3B (C2), E",05,8622,Spring_2026|PHIL 101|05|8622,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,available,MM-200,Kaiser K,Class instruction is: Face to Face - On Campus.Reserved seat/s for 1 Study Abroad @ the Beach Students
Spring_2026,PHIL,101,PHIL 101,THE MEANING OF LIFE,3,"GE: 3B (C2), E",06,10052,Spring_2026|PHIL 101|06|10052,FALSE,\N,310,LEC,MW,12:30-1:45PM,available,LA5-149,Nolan L,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,130,PHIL 130,PUZZLES AND PARADOXES,3,GE: 1B (A3),02,11116,Spring_2026|PHIL 130|02|11116,FALSE,\N,310,LEC,TuTh,2-3:15PM,,MM-200,Banick K,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,160,PHIL 160,ETHICS AND SOCIETY,3,GE: 3B (C2),01,3001,Spring_2026|PHIL 160|01|3001,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,available,LA2-206,Rosenkrantz M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,160,PHIL 160,ETHICS AND SOCIETY,3,GE: 3B (C2),02,1626,Spring_2026|PHIL 160|02|1626,FALSE,\N,310,LEC,TuTh,11-12:15PM,available,LA5-246,Milam P,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,160,PHIL 160,ETHICS AND SOCIETY,3,GE: 3B (C2),03,8623,Spring_2026|PHIL 160|03|8623,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,,LA5-246,Milam P,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,160,PHIL 160,ETHICS AND SOCIETY,3,GE: 3B (C2),04,10054,Spring_2026|PHIL 160|04|10054,TRUE,\N,310,LEC,MW,8-9:15AM,,LA2-206,Olander C,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,170,PHIL 170,CRITICAL REASONING,3,GE: 1B (A3),01,1627,Spring_2026|PHIL 170|01|1627,FALSE,\N,307,SEM,Th,2-3:15PM,,CINE-203,Dieveney P,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,PHIL,170,PHIL 170,CRITICAL REASONING,3,GE: 1B (A3),01,\N,Spring_2026|PHIL 170|01|NOCLASS|b01a6cdc43522363,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Dieveney P,additional meeting detail
Spring_2026,PHIL,170,PHIL 170,CRITICAL REASONING,3,GE: 1B (A3),02,1628,Spring_2026|PHIL 170|02|1628,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Wallis C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,PHIL,170,PHIL 170,CRITICAL REASONING,3,GE: 1B (A3),03,10055,Spring_2026|PHIL 170|03|10055,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Wallis C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,PHIL,170,PHIL 170,CRITICAL REASONING,3,GE: 1B (A3),04,10072,Spring_2026|PHIL 170|04|10072,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Wallis C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,PHIL,203,PHIL 203,HIST EARLY WESTERN PHILOSOPHY,3,GE: 3B (C2),01,10073,Spring_2026|PHIL 203|01|10073,FALSE,\N,310,LEC,TuTh,11-12:15PM,available,LA2-206,Rosenkrantz M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,204,PHIL 204,HIST OF MOD WESTERN PHILOSOPHY,3,GE: 3B (C2),01,10074,Spring_2026|PHIL 204|01|10074,FALSE,\N,310,LEC,MW,11-12:15PM,available,LA5-149,Jayasekera M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,330,PHIL 330,PHILOSOPHY OF RELIGION,3,GE: 3UD (UDC),01,10075,Spring_2026|PHIL 330|01|10075,FALSE,\N,310,SEM,TuTh,12:30-1:45PM,,LA5-149,Dieveney P,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,352,PHIL 352,PHILOSOPHY OF LAW,3,"GE: 3UD (UDC), 4UD (UDD); GWAR: WI",01,2345,Spring_2026|PHIL 352|01|2345,FALSE,\N,310,SEM,M,5:30-8:15PM,,LA5-246,Trefethen A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,352,PHIL 352,PHILOSOPHY OF LAW,3,"GE: 3UD (UDC), 4UD (UDD); GWAR: WI",02,12665,Spring_2026|PHIL 352|02|12665,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Wieland N,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,PHIL,352,PHIL 352,PHILOSOPHY OF LAW,3,"GE: 3UD (UDC), 4UD (UDD); GWAR: WI",03,12732,Spring_2026|PHIL 352|03|12732,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Wieland N,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,PHIL,370,PHIL 370,RATIONALITY AND DECISIONS,3,GE: 2UD/5UD (UDB),01,9356,Spring_2026|PHIL 370|01|9356,FALSE,\N,307,LEC,Th,11-12:15PM,,LA5-149,Wright W,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,PHIL,370,PHIL 370,RATIONALITY AND DECISIONS,3,GE: 2UD/5UD (UDB),01,\N,Spring_2026|PHIL 370|01|NOCLASS|5a235f4e90804377,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Wright W,additional meeting detail
Spring_2026,PHIL,400,PHIL 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",01,9006,Spring_2026|PHIL 400|01|9006,FALSE,\N,310,LEC,MW,9:30-10:45AM,available,LA5-246,Vella J,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,400,PHIL 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",02,9007,Spring_2026|PHIL 400|02|9007,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA2-206,Vella J,Class instruction is: Face to Face - On Campus.Reserved seat/s for 1 Study Abroad @ the Beach Students
Spring_2026,PHIL,400,PHIL 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",03,9009,Spring_2026|PHIL 400|03|9009,TRUE,\N,310,LEC,MW,3:30-4:45PM,,LA5-246,Olander C,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,400,PHIL 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",04,9010,Spring_2026|PHIL 400|04|9010,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,LA5-246,Umana A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,400,PHIL 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",05,9011,Spring_2026|PHIL 400|05|9011,FALSE,\N,310,LEC,TuTh,3:30-4:45PM,,LA5-149,Umana A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,400,PHIL 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",06,9012,Spring_2026|PHIL 400|06|9012,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,,LA2-206,Kaiser K,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,400,PHIL 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",07,9013,Spring_2026|PHIL 400|07|9013,FALSE,\N,310,LEC,TuTh,11-12:15PM,,LA5-355,Kaiser K,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,400,PHIL 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",08,12326,Spring_2026|PHIL 400|08|12326,FALSE,\N,310,LEC,Tu,7-9:45PM,,LA5-347,Kassam A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,403,PHIL 403,MEDICAL ETHICS,3,GE: 3UD (UDC); GWAR: WI,01,7851,Spring_2026|PHIL 403|01|7851,FALSE,\N,310,SEM,TuTh,9:30-10:45AM,,LA5-355,Ramirez M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,403,PHIL 403,MEDICAL ETHICS,3,GE: 3UD (UDC); GWAR: WI,02,9443,Spring_2026|PHIL 403|02|9443,FALSE,\N,310,SEM,MW,12:30-1:45PM,,LA5-246,Ramirez M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,403,PHIL 403,MEDICAL ETHICS,3,GE: 3UD (UDC); GWAR: WI,03,10495,Spring_2026|PHIL 403|03|10495,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Dieveney P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,PHIL,403,PHIL 403,MEDICAL ETHICS,3,GE: 3UD (UDC); GWAR: WI,05,12678,Spring_2026|PHIL 403|05|12678,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Ramirez M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,PHIL,404,PHIL 404,ARTIFICIAL INTELLIGENCE&ETHICS,3,,01,10076,Spring_2026|PHIL 404|01|10076,FALSE,\N,310,LEC,TuTh,2-3:15PM,available,LA5-149,Milam P,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,413,PHIL 413,CONTINENTAL RATIONALISM,3,,01,10084,Spring_2026|PHIL 413|01|10084,FALSE,\N,310,SEM,MW,3:30-4:45PM,available,LA5-149,Nolan L,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,415,PHIL 415,MARX,3,,01,10088,Spring_2026|PHIL 415|01|10088,FALSE,\N,310,SEM,TuTh,2-3:15PM,available,LA5-246,Rosenkrantz M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHIL,451,PHIL 451,RACE ETHNICITY GENDER AMER LAW,3,GE: 3UD (UDC),01,3126,Spring_2026|PHIL 451|01|3126,FALSE,\N,310,SEM,Tu,7-9:45PM,available,LA5-246,Trefethen A,Class instruction is: Face to Face - On Campus.
