term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),01,2198,Spring_2026|POSC 100|01|2198,FALSE,\N,310,LEC,MW,11-12:15PM,,COB-140,Wright T,Class instruction is: Face to Face - On Campus.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),02,1663,Spring_2026|POSC 100|02|1663,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ringel L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),03,1664,Spring_2026|POSC 100|03|1664,FALSE,\N,310,LEC,MW,3:30-4:45PM,,COB-140,Haas L,Class instruction is: Face to Face - On Campus.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),04,1665,Spring_2026|POSC 100|04|1665,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Mendez Garcia M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),05,1666,Spring_2026|POSC 100|05|1666,FALSE,\N,310,LEC,MW,9:30-10:45AM,,COB-140,Goldstein C,Class instruction is: Face to Face - On Campus.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),06,2348,Spring_2026|POSC 100|06|2348,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,DeWitt D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),07,1667,Spring_2026|POSC 100|07|1667,FALSE,\N,306,LEC,TuTh,11-12:15PM,,ONLINE-ONLY,Mahoney C,Class instruction is: Synch. Online - Meet Times.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),08,5239,Spring_2026|POSC 100|08|5239,FALSE,\N,310,LEC,TuTh,2-3:15PM,,COB-140A,Haesly R,Class instruction is: Face to Face - On Campus.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),09,1668,Spring_2026|POSC 100|09|1668,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Lesenyie M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),10,5240,Spring_2026|POSC 100|10|5240,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,COB-140,Beamer D,Class instruction is: Face to Face - On Campus.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),11,3127,Spring_2026|POSC 100|11|3127,FALSE,\N,"310,34",LEC,MW,11-12:15PM,,SPA-110,McGarvey M,Honors SectionClass instruction is: Face to Face - On Campus.
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),12,7949,Spring_2026|POSC 100|12|7949,FALSE,\N,307,LEC,Tu,12:30-1:45PM,,COB-140,Rasmussen A,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),12,\N,Spring_2026|POSC 100|12|NOCLASS|77cc0d025539f36b,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Rasmussen A,additional meeting detail
Spring_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),13,12569,Spring_2026|POSC 100|13|12569,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Gonzales S,Class instruction is: Asynch. Online-No Meet Times.
