term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,PSY,100,PSY 100,GENERAL PSYCHOLOGY,3,GE: 4C (D3),01,2343,Spring_2026|PSY 100|01|2343,FALSE,\N,"1,310",LEC,MW,12:30-1:45PM,available,HC-100,Williams K,"Class instruction is: Face to Face - On Campus.Optional Supplemental Instruction course available: SI 60, SECTION #23, CLASS #7857, MW 2:00-3:15 PM"
Spring_2026,PSY,100,PSY 100,GENERAL PSYCHOLOGY,3,GE: 4C (D3),02,2344,Spring_2026|PSY 100|02|2344,FALSE,\N,"1,310",LEC,MW,9:30-10:45AM,,LH-150,Sattari Barabadi N,"Class instruction is: Face to Face - On Campus.Optional Supplemental Instruction course available: SI 60, SECTION #24, CLASS #9416, MW 11:00-12:15 PM"
Spring_2026,PSY,100,PSY 100,GENERAL PSYCHOLOGY,3,GE: 4C (D3),03,1690,Spring_2026|PSY 100|03|1690,FALSE,\N,"1,310",LEC,TuTh,8-9:15AM,available,COB-140,Maldonado H,Class instruction is: Face to Face - On Campus.
Spring_2026,PSY,100,PSY 100,GENERAL PSYCHOLOGY,3,GE: 4C (D3),04,1976,Spring_2026|PSY 100|04|1976,FALSE,\N,"1,310",LEC,TuTh,11-12:15PM,available,LH-151,Wax A,"Class instruction is: Face to Face - On Campus.Optional Supplemental Instruction course available: SI 60, SECTION #25, CLASS #9450, TuTh 12:30-1:45 PM"
Spring_2026,PSY,100,PSY 100,GENERAL PSYCHOLOGY,3,GE: 4C (D3),05,9873,Spring_2026|PSY 100|05|9873,FALSE,\N,310,LEC,MW,2-3:15PM,,PSY-150,Galvez G,"Class instruction is: Face to Face - On Campus.Optional Supplemental Instruction course available: SI 60, SECTION #26, CLASS #9547, MW 3:30-4:45 PM"
Spring_2026,PSY,110,PSY 110,ELEMENTARY STATISTICS,4,GE: 2 (B4),01A,4944,Spring_2026|PSY 110|01A|4944,FALSE,\N,310,SEM,MW,9:30-10:45AM,,PSY-154,Kyle H,Class instruction is: Face to Face - On Campus.
Spring_2026,PSY,110,PSY 110,ELEMENTARY STATISTICS,4,GE: 2 (B4),02A1,4945,Spring_2026|PSY 110|02A1|4945,FALSE,\N,310,ACT,M,11:30-1:20PM,,PSY-300,Kyle H,Class instruction is: Face to Face - On Campus.
Spring_2026,PSY,110,PSY 110,ELEMENTARY STATISTICS,4,GE: 2 (B4),03A2,4946,Spring_2026|PSY 110|03A2|4946,FALSE,\N,310,ACT,W,11:30-1:20PM,,PSY-300,Kyle H,Class instruction is: Face to Face - On Campus.
Spring_2026,PSY,130,PSY 130,CRITICAL THINKING,3,GE: 1B (A3),01,7372,Spring_2026|PSY 130|01|7372,FALSE,\N,"221,310",SEM,MW,8-9:15AM,,PSY-153,Bhagavatula A,Class instruction is: Face to Face - On Campus.
Spring_2026,PSY,220,PSY 220,RESEARCH METHODS,4,,01A,1692,Spring_2026|PSY 220|01A|1692,FALSE,\N,"1,310",LEC,TuTh,12:30-1:45PM,,PSY-154,Miller K,Class instruction is: Face to Face - On Campus.
Spring_2026,PSY,220,PSY 220,RESEARCH METHODS,4,,02A1,1693,Spring_2026|PSY 220|02A1|1693,FALSE,\N,"1,311",LAB,Tu,9:30-10:45AM,,PSY-300,Miller K,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,PSY,220,PSY 220,RESEARCH METHODS,4,,02A1,\N,Spring_2026|PSY 220|02A1|NOCLASS|a1d689bf60930438,FALSE,\N,,,Th,9:30-10:45AM,,ONLINE-ONLY,Miller K,additional meeting detail
Spring_2026,PSY,220,PSY 220,RESEARCH METHODS,4,,03A2,1694,Spring_2026|PSY 220|03A2|1694,FALSE,\N,"1,311",LAB,Tu,11-12:15PM,,PSY-300,Miller K,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,PSY,220,PSY 220,RESEARCH METHODS,4,,03A2,\N,Spring_2026|PSY 220|03A2|NOCLASS|32e0101b1f1f320d,FALSE,\N,,,Th,11-12:15PM,,ONLINE-ONLY,Miller K,additional meeting detail
