term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,RST_CLASSES,,R/ST 100,RELIGIOUS QUEST FOR MEANING,3,GE: 3B (C2),01,1717,Spring_2026|R/ST 100|01|1717,FALSE,\N,306,LEC,TuTh,9:30-10:45AM,,ONLINE-ONLY,Becker J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,RST_CLASSES,,R/ST 100,RELIGIOUS QUEST FOR MEANING,3,GE: 3B (C2),02,6674,Spring_2026|R/ST 100|02|6674,FALSE,\N,306,LEC,TuTh,9:30-10:45AM,available,ONLINE-ONLY,Piar C,Class instruction is: Synch. Online - Meet Times.
Spring_2026,RST_CLASSES,,R/ST 100,RELIGIOUS QUEST FOR MEANING,3,GE: 3B (C2),03,5457,Spring_2026|R/ST 100|03|5457,FALSE,\N,310,LEC,MW,11-12:15PM,available,HC-106,Piar C,Class instruction is: Face to Face - On Campus.
Spring_2026,RST_CLASSES,,R/ST 100,RELIGIOUS QUEST FOR MEANING,3,GE: 3B (C2),05,8693,Spring_2026|R/ST 100|05|8693,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Stringfellow J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,RST_CLASSES,,R/ST 201,INTRO TO ASIAN RELIGIONS,3,GE: 3B (C2),02,11044,Spring_2026|R/ST 201|02|11044,FALSE,\N,306,LEC,MW,12:30-1:45PM,available,ONLINE-ONLY,Stone J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,RST_CLASSES,,R/ST 240,"LOVE, LIFE & THE WORLD",3,"GE: 3B (C2), E",01,8754,Spring_2026|R/ST 240|01|8754,FALSE,\N,310,LEC,TuTh,2-3:15PM,,SPA-104,Stringfellow J,Class instruction is: Face to Face - On Campus.
Spring_2026,RST_CLASSES,,R/ST 242,THE BIBLE AS LITERATURE,3,GE: 3B (C2),01,8958,Spring_2026|R/ST 242|01|8958,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA2-202,Brooks J,"Class instruction is: Face to Face - On Campus.Class offered with CWL-242-01,ENGL-242-01"
Spring_2026,RST_CLASSES,,R/ST 302,FAITH AND RACE IN AMERICA,3,GE: 3UD (UDC),04,10914,Spring_2026|R/ST 302|04|10914,FALSE,\N,"21,310",LEC,TuTh,12:30-1:45PM,,HHS1-200,Stone J,Class instruction is: Face to Face - On Campus.
Spring_2026,RST_CLASSES,,R/ST 302,FAITH AND RACE IN AMERICA,3,GE: 3UD (UDC),05,11011,Spring_2026|R/ST 302|05|11011,FALSE,\N,"21,310",LEC,Tu,7-9:45PM,available,LA2-202,Stone J,Class instruction is: Face to Face - On Campus.
Spring_2026,RST_CLASSES,,R/ST 303,QUEER SPIRIT,3,GE: 3UD (UDC); GWAR: WI,01,8691,Spring_2026|R/ST 303|01|8691,TRUE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Estrada G,Class instruction is: Asynch. Online-No Meet Times.Class offered with WGSS-303-01
