term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,SOC,90,SOC 90,FOUNDATIONS STATS IN SOC SCI,1,,01,8343,Spring_2026|SOC 90|01|8343,FALSE,\N,1,ACT,W,2-3:50PM,available,HC-106,Thompson J,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,100,SOC 100,PRINCIPLES OF SOCIOLOGY,3,GE: 4C (D3),01,2829,Spring_2026|SOC 100|01|2829,TRUE,\N,1,LEC,TuTh,9:30-10:45AM,,LA2-120,Howard R,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,100,SOC 100,PRINCIPLES OF SOCIOLOGY,3,GE: 4C (D3),02,1795,Spring_2026|SOC 100|02|1795,FALSE,\N,1,LEC,TuTh,11-12:15PM,available,MM-100,Barnes M,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,100,SOC 100,PRINCIPLES OF SOCIOLOGY,3,GE: 4C (D3),03,3849,Spring_2026|SOC 100|03|3849,FALSE,\N,1,LEC,MW,9:30-10:45AM,,FCS-008,Wang O,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,100,SOC 100,PRINCIPLES OF SOCIOLOGY,3,GE: 4C (D3),04,6661,Spring_2026|SOC 100|04|6661,FALSE,\N,1,LEC,TuTh,2-3:15PM,available,MM-100,Haldipur J,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,100,SOC 100,PRINCIPLES OF SOCIOLOGY,3,GE: 4C (D3),05,6662,Spring_2026|SOC 100|05|6662,FALSE,\N,1,LEC,MW,2-3:15PM,available,KIN-059,Eaves S,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,100,SOC 100,PRINCIPLES OF SOCIOLOGY,3,GE: 4C (D3),06,7563,Spring_2026|SOC 100|06|7563,FALSE,\N,"1,305",LEC,NA,NA,,ONLINE-ONLY,Griffin N,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,SOC,100,SOC 100,PRINCIPLES OF SOCIOLOGY,3,GE: 4C (D3),07,7663,Spring_2026|SOC 100|07|7663,FALSE,\N,1,LEC,TuTh,12:30-1:45PM,,LA5-152,Barnes M,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,100,SOC 100,PRINCIPLES OF SOCIOLOGY,3,GE: 4C (D3),08,10065,Spring_2026|SOC 100|08|10065,FALSE,\N,34,LEC,NA,NA,,ONLINE-ONLY,Wilson J,Honors SectionClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,SOC,142,SOC 142,SOCIAL TRENDS & PROBLEMS,3,GE: 4C (D3),01,3130,Spring_2026|SOC 142|01|3130,FALSE,\N,1,SEM,MW,12:30-1:45PM,available,LA5-150,H. Marquez A,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,142,SOC 142,SOCIAL TRENDS & PROBLEMS,3,GE: 4C (D3),02,3702,Spring_2026|SOC 142|02|3702,FALSE,\N,1,SEM,TuTh,9:30-10:45AM,available,LA5-150,Eaves S,Class instruction is: Face to Face - On Campus.
Spring_2026,SOC,142,SOC 142,SOCIAL TRENDS & PROBLEMS,3,GE: 4C (D3),03,4249,Spring_2026|SOC 142|03|4249,FALSE,\N,1,SEM,MW,11-12:15PM,available,LA5-152,H. Marquez A,Class instruction is: Face to Face - On Campus.
