term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,SPAN,101A,SPAN 101A,ELEMENTARY SPANISH 1,4,GE: 3B (C2),01,10175,Spring_2026|SPAN 101A|01|10175,FALSE,\N,"1,298,310",SEM,MW,10-11:50AM,,LA2-106,Estupinan Medel R,Class instruction is: Face to Face - On Campus.
Spring_2026,SPAN,101A,SPAN 101A,ELEMENTARY SPANISH 1,4,GE: 3B (C2),02,10176,Spring_2026|SPAN 101A|02|10176,FALSE,\N,"1,298,306",SEM,MW,8-9:50AM,available,ONLINE-ONLY,Goswitz M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,SPAN,101A,SPAN 101A,ELEMENTARY SPANISH 1,4,GE: 3B (C2),03,10177,Spring_2026|SPAN 101A|03|10177,FALSE,\N,"1,298,310",SEM,TuTh,4-5:50PM,available,LA2-106,Becerra Pachon S,Class instruction is: Face to Face - On Campus.
Spring_2026,SPAN,101A,SPAN 101A,ELEMENTARY SPANISH 1,4,GE: 3B (C2),04,10178,Spring_2026|SPAN 101A|04|10178,FALSE,\N,"1,298,310",SEM,MW,12-1:50PM,available,LA1-314,Rojas A,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ Beach Students
Spring_2026,SPAN,101A,SPAN 101A,ELEMENTARY SPANISH 1,4,GE: 3B (C2),05,10179,Spring_2026|SPAN 101A|05|10179,FALSE,\N,"1,298,310",SEM,TuTh,12-1:50PM,available,LA1-314,Garcia Garibay M,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ Beach Students
Spring_2026,SPAN,101A,SPAN 101A,ELEMENTARY SPANISH 1,4,GE: 3B (C2),06,10964,Spring_2026|SPAN 101A|06|10964,FALSE,\N,"1,298,306",SEM,TuTh,5:30-7:20PM,available,ONLINE-ONLY,Amezcua P,Class instruction is: Synch. Online - Meet Times.
Spring_2026,SPAN,101B,SPAN 101B,ELEMENTARY SPANISH 2,4,GE: 3B (C2),01,2699,Spring_2026|SPAN 101B|01|2699,FALSE,\N,"1,298,310",SEM,MW,2-3:50PM,available,LA1-314,Zepeda N,Class instruction is: Face to Face - On Campus.
Spring_2026,SPAN,101B,SPAN 101B,ELEMENTARY SPANISH 2,4,GE: 3B (C2),02,2702,Spring_2026|SPAN 101B|02|2702,FALSE,\N,"1,298,310",SEM,MW,9-10:50AM,available,AS-241,Ochoa L,Class instruction is: Face to Face - On Campus.
Spring_2026,SPAN,101B,SPAN 101B,ELEMENTARY SPANISH 2,4,GE: 3B (C2),03,3930,Spring_2026|SPAN 101B|03|3930,FALSE,\N,"1,298,306",SEM,MW,5:30-7:20PM,available,ONLINE-ONLY,Amezcua P,Class instruction is: Synch. Online - Meet Times.
Spring_2026,SPAN,101B,SPAN 101B,ELEMENTARY SPANISH 2,4,GE: 3B (C2),04,6864,Spring_2026|SPAN 101B|04|6864,FALSE,\N,"1,298,310",SEM,TuTh,12-1:50PM,available,AS-240,Mccarthy V,Class instruction is: Face to Face - On Campus.
