term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,WGSS,101,WGSS 101,"GENDER, RACE, SEX AND THE BODY",3,GE: E,01,2728,Spring_2026|WGSS 101|01|2728,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Reed J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,WGSS,101,WGSS 101,"GENDER, RACE, SEX AND THE BODY",3,GE: E,02,2729,Spring_2026|WGSS 101|02|2729,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Reed J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,WGSS,101,WGSS 101,"GENDER, RACE, SEX AND THE BODY",3,GE: E,03,3143,Spring_2026|WGSS 101|03|3143,FALSE,\N,310,LEC,MW,11-12:15PM,available,LA1-204,Youssef M,Class instruction is: Face to Face - On Campus.
Spring_2026,WGSS,101,WGSS 101,"GENDER, RACE, SEX AND THE BODY",3,GE: E,04,3144,Spring_2026|WGSS 101|04|3144,FALSE,\N,310,LEC,MW,12:30-1:45PM,available,LA1-204,Youssef M,Class instruction is: Face to Face - On Campus.Reserved seats for 1 Study Abroad @ the Beach student/s
Spring_2026,WGSS,102,WGSS 102,GENDER RACE SEX & SOCIETIES,3,GE: 4C (D3),01,2730,Spring_2026|WGSS 102|01|2730,FALSE,\N,310,LEC,MW,2-3:15PM,,LA1-204,Youssef M,Class instruction is: Face to Face - On Campus.Reserved seats for 2 Study Abroad @ Beach Students
Spring_2026,WGSS,102,WGSS 102,GENDER RACE SEX & SOCIETIES,3,GE: 4C (D3),02,6535,Spring_2026|WGSS 102|02|6535,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Youssef M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,WGSS,102,WGSS 102,GENDER RACE SEX & SOCIETIES,3,GE: 4C (D3),03,10267,Spring_2026|WGSS 102|03|10267,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Youssef M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,WGSS,216,WGSS 216,HOLLYWOOD AND BEYOND,3,GE: 4C (D3),01,7437,Spring_2026|WGSS 216|01|7437,FALSE,\N,310,LEC,TuTh,11-12:15PM,,LA1-204,Hidalgo M,Class instruction is: Face to Face - On Campus.
Spring_2026,WGSS,300,WGSS 300,FEMINIST THEORY,3,,01,9201,Spring_2026|WGSS 300|01|9201,FALSE,\N,310,SEM,TuTh,11-12:15PM,available,HC-106,Koshy K,Class instruction is: Face to Face - On Campus.
Spring_2026,WGSS,303,WGSS 303,QUEER SPIRIT,3,GE: 3UD (UDC); GWAR: WI,01,6795,Spring_2026|WGSS 303|01|6795,TRUE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Estrada G,Class instruction is: Asynch. Online-No Meet Times.Class offered with R/ST-303-01
Spring_2026,WGSS,305,WGSS 305,FEMINIST & QUEER ARTS & CULTUR,3,GWAR: WI,01,7438,Spring_2026|WGSS 305|01|7438,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,,LA1-204,Hidalgo M,Class instruction is: Face to Face - On Campus.
Spring_2026,WGSS,307,WGSS 307,US WOMEN & ECON-MONEY SEX PWR,3,GE: 4UD (UDD),01,2731,Spring_2026|WGSS 307|01|2731,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Koshy K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,WGSS,307,WGSS 307,US WOMEN & ECON-MONEY SEX PWR,3,GE: 4UD (UDD),02,2732,Spring_2026|WGSS 307|02|2732,FALSE,\N,306,LEC,MW,11-12:15PM,available,ONLINE-ONLY,Tarrant S,Class instruction is: Synch. Online - Meet Times.
Spring_2026,WGSS,308,WGSS 308,"GENDER, SEX, AND THE LAW",3,,01,7439,Spring_2026|WGSS 308|01|7439,FALSE,\N,306,LEC,MW,9:30-10:45AM,,ONLINE-ONLY,Tarrant S,Class instruction is: Synch. Online - Meet Times.
Spring_2026,WGSS,313,WGSS 313,AMERICAN INDIAN GENDERS,3,GE: 3UD (UDC),02,8025,Spring_2026|WGSS 313|02|8025,FALSE,\N,310,LEC,TuTh,11-12:15PM,,LAB-306,Robertson K,Class instruction is: Face to Face - On Campus.Class offered with AIS-313-02
Spring_2026,WGSS,317,WGSS 317,QUEER LAW,3,,01,10427,Spring_2026|WGSS 317|01|10427,FALSE,\N,310,LEC,MW,9:30-10:45AM,,SPA-211,Maceyko M,Class instruction is: Face to Face - On Campus.Class offered with POSC-317-01
Spring_2026,WGSS,318,WGSS 318,FIERCE STRUGGLE: US WMN OF CLR,3,"GE: 3UD (UDC), 4UD (UDD)",01,2733,Spring_2026|WGSS 318|01|2733,FALSE,\N,"306,1",LEC,NA,NA,available,ONLINE-ONLY,Macias S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,WGSS,318,WGSS 318,FIERCE STRUGGLE: US WMN OF CLR,3,"GE: 3UD (UDC), 4UD (UDD)",02,6362,Spring_2026|WGSS 318|02|6362,FALSE,\N,"1,306",LEC,TuTh,9:30-10:45AM,,ONLINE-ONLY,Woldegaber R,Class instruction is: Synch. Online - Meet Times.
Spring_2026,WGSS,318,WGSS 318,FIERCE STRUGGLE: US WMN OF CLR,3,"GE: 3UD (UDC), 4UD (UDD)",03,8588,Spring_2026|WGSS 318|03|8588,FALSE,\N,"305,1",LEC,NA,NA,,ONLINE-ONLY,Woldegaber R,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,WGSS,318,WGSS 318,FIERCE STRUGGLE: US WMN OF CLR,3,"GE: 3UD (UDC), 4UD (UDD)",04,9200,Spring_2026|WGSS 318|04|9200,FALSE,\N,"306,1",LEC,MW,11-12:15PM,,ONLINE-ONLY,Woldegaber R,Class instruction is: Synch. Online - Meet Times.
