term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,01,9090,Spring_2026|ACCT 201|01|9090,FALSE,\N,,SEM,MW,8-9:15AM,,COB-140,Johnson D,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,04,8601,Spring_2026|ACCT 201|04|8601,FALSE,\N,,SEM,TuTh,11-12:15PM,,COB-217,Zhang I,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,05,7318,Spring_2026|ACCT 201|05|7318,FALSE,\N,,SEM,MW,11-12:15PM,,COB-139,Sinha D,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,08,3683,Spring_2026|ACCT 201|08|3683,FALSE,\N,,SEM,NA,NA,,ONLINE-ONLY,Sinha D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,09,7580,Spring_2026|ACCT 201|09|7580,FALSE,\N,,SEM,TuTh,11-12:15PM,,COB-218,Sundararaman R,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,10,7585,Spring_2026|ACCT 201|10|7585,FALSE,\N,311,SEM,TuTh,8-9:15AM,,COB-122,Johnson D,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,10,\N,Spring_2026|ACCT 201|10|NOCLASS|50f4d127a51894e5,FALSE,\N,,,TuTh,8-9:15AM,,ONLINE-ONLY,Johnson D,additional meeting detail
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,11,7587,Spring_2026|ACCT 201|11|7587,FALSE,\N,,SEM,TuTh,12:30-1:45PM,,COB-122,Zhang I,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,12,8602,Spring_2026|ACCT 201|12|8602,FALSE,\N,,SEM,TuTh,9:30-10:45AM,,COB-122,Zhang I,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,13,8699,Spring_2026|ACCT 201|13|8699,FALSE,\N,311,SEM,MW,8-9:15AM,,COB-122,Mari R,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,13,\N,Spring_2026|ACCT 201|13|NOCLASS|3b1946a8dfdeacf6,FALSE,\N,,,MW,8-9:15AM,,ONLINE-ONLY,Mari R,additional meeting detail
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,14,8700,Spring_2026|ACCT 201|14|8700,FALSE,\N,,SEM,MW,2-3:15PM,,COB-217,Sinha D,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,15,10092,Spring_2026|ACCT 201|15|10092,FALSE,\N,,SEM,TuTh,9:30-10:45AM,,COB-235,Yang Y,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,16,10093,Spring_2026|ACCT 201|16|10093,FALSE,\N,,SEM,TuTh,11-12:15PM,available,COB-227,Yang Y,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,201,ACCT 201,ELEM FINANCIAL ACCOUNTING,3,,17,10094,Spring_2026|ACCT 201|17|10094,FALSE,\N,,SEM,TuTh,12:30-1:45PM,,COB-218,Yang Y,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,01,7319,Spring_2026|ACCT 202|01|7319,FALSE,\N,,SEM,MW,11-12:15PM,,COB-122,Hao P,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,02,3110,Spring_2026|ACCT 202|02|3110,FALSE,\N,310,SEM,TuTh,11-12:15PM,,COB-122,Kabutey M,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,03,3111,Spring_2026|ACCT 202|03|3111,FALSE,\N,,SEM,TuTh,9:30-10:45AM,,COB-218,Kabutey M,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,04,6343,Spring_2026|ACCT 202|04|6343,FALSE,\N,310,SEM,TuTh,2-3:15PM,,COB-235,Kabutey M,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,05,3682,Spring_2026|ACCT 202|05|3682,FALSE,\N,,SEM,NA,NA,,ONLINE-ONLY,Lin P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,06,7588,Spring_2026|ACCT 202|06|7588,FALSE,\N,,SEM,MW,9:30-10:45AM,,COB-228,Hao P,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,07,4649,Spring_2026|ACCT 202|07|4649,FALSE,\N,311,SEM,M,4-6:45PM,available,COB-122,Masterson M,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,07,\N,Spring_2026|ACCT 202|07|NOCLASS|abd0c038dc12227f,FALSE,\N,,,M,4-6:45PM,,ONLINE-ONLY,Masterson M,additional meeting detail
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,08,5640,Spring_2026|ACCT 202|08|5640,FALSE,\N,311,SEM,TuTh,8-9:15AM,,COB-228,Mari R,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,08,\N,Spring_2026|ACCT 202|08|NOCLASS|ca7c0b486404809b,FALSE,\N,,,TuTh,8-9:15AM,,ONLINE-ONLY,Mari R,additional meeting detail
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,09,7728,Spring_2026|ACCT 202|09|7728,FALSE,\N,,SEM,MW,2-3:15PM,available,COB-123,Hao P,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,11,9091,Spring_2026|ACCT 202|11|9091,FALSE,\N,306,SEM,MW,5-6:15PM,,ONLINE-ONLY,Johnson D,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,12,9645,Spring_2026|ACCT 202|12|9645,FALSE,\N,311,SEM,W,4-6:45PM,available,COB-110,Mashintchian J,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,12,\N,Spring_2026|ACCT 202|12|NOCLASS|ee73508182e01a74,FALSE,\N,,,W,4-6:45PM,,ONLINE-ONLY,Mashintchian J,additional meeting detail
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,13,10291,Spring_2026|ACCT 202|13|10291,FALSE,\N,,SEM,MW,11-12:15PM,,CPCE-308,Smith Jones L,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,202,ACCT 202,MANAGERIAL ACCOUNTING,3,,14,10868,Spring_2026|ACCT 202|14|10868,FALSE,\N,,SEM,F,9-11:45AM,available,COB-139A,Masterson M,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,300A,ACCT 300A,INTERMEDIATE ACCOUNTING,4,,01,4690,Spring_2026|ACCT 300A|01|4690,FALSE,\N,311,SEM,M,6-9:50PM,,COB-123,Rivera A,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,ACCT,300A,ACCT 300A,INTERMEDIATE ACCOUNTING,4,,01,\N,Spring_2026|ACCT 300A|01|NOCLASS|3528b62d4692071f,FALSE,\N,,,M,6-9:50PM,,ONLINE-ONLY,Rivera A,additional meeting detail
Spring_2026,ACCT,300A,ACCT 300A,INTERMEDIATE ACCOUNTING,4,,02,3663,Spring_2026|ACCT 300A|02|3663,FALSE,\N,,SEM,MW,12-1:50PM,,COB-123,Wang V,Class instruction is: Face to Face - On Campus.
Spring_2026,ACCT,300A,ACCT 300A,INTERMEDIATE ACCOUNTING,4,,04,5054,Spring_2026|ACCT 300A|04|5054,FALSE,\N,,SEM,MW,10-11:50AM,,COB-218,Lacey J,Class instruction is: Face to Face - On Campus.
