term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,01,1360,Spring_2026|BLAW 220|01|1360,FALSE,\N,,LEC,MW,8-9:15AM,available,COB-139A,Cardinale F,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,02,5849,Spring_2026|BLAW 220|02|5849,FALSE,\N,,LEC,MW,9:30-10:45AM,,COB-110,Cardinale F,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,03,5850,Spring_2026|BLAW 220|03|5850,FALSE,\N,306,LEC,M,7-9:45PM,,ONLINE-ONLY,Trunnel V,Class instruction is: Synch. Online - Meet Times.
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,04,6371,Spring_2026|BLAW 220|04|6371,FALSE,\N,,LEC,TuTh,8-9:15AM,,COB-139,Giannone T,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,05,6991,Spring_2026|BLAW 220|05|6991,FALSE,\N,306,LEC,W,7-9:45PM,,ONLINE-ONLY,Semaan G,Class instruction is: Synch. Online - Meet Times.
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,06,8604,Spring_2026|BLAW 220|06|8604,FALSE,\N,,LEC,MW,2-3:15PM,,COB-112,Cardinale F,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,08,10318,Spring_2026|BLAW 220|08|10318,FALSE,\N,,LEC,MW,2-3:15PM,,CPCE-307,Ahl C,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,09,10319,Spring_2026|BLAW 220|09|10319,FALSE,\N,,LEC,TuTh,11-12:15PM,,CPCE-308,Giannone P,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,220,BLAW 220,INTRO TO LAW & BUSINESS TRANS,3,,10,10871,Spring_2026|BLAW 220|10|10871,FALSE,\N,,LEC,TuTh,2-3:15PM,,COB-228,Giannone P,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,309,BLAW 309,CONSUMER LEGAL & ECON ENVIRON,3,GE: 4UD (UDD),01,3002,Spring_2026|BLAW 309|01|3002,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,COB-110,Giannone T,Class instruction is: Face to Face - On Campus. Class offered with CAFF-309-01
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",01,8223,Spring_2026|BLAW 400|01|8223,FALSE,\N,,LEC,MW,12:30-1:45PM,,COB-236,Betance J,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",02,8224,Spring_2026|BLAW 400|02|8224,FALSE,\N,,LEC,TuTh,11-12:15PM,,COB-216,Butler A,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",03,8225,Spring_2026|BLAW 400|03|8225,FALSE,\N,34,LEC,TuTh,9:30-10:45AM,,COB-110,Giannone T,Honors Section Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",04,8226,Spring_2026|BLAW 400|04|8226,FALSE,\N,,LEC,TuTh,3:30-4:45PM,,COB-110,Kehr D,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",05,8227,Spring_2026|BLAW 400|05|8227,FALSE,\N,,LEC,TuTh,5-6:15PM,,ONLINE-ONLY,Kehr D,Class instruction is: Synch. Online - Meet Times.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",06,8228,Spring_2026|BLAW 400|06|8228,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,COB-112,Butler A,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",07,8229,Spring_2026|BLAW 400|07|8229,FALSE,\N,,LEC,TuTh,3:30-4:45PM,,ONLINE-ONLY,Butler A,Class instruction is: Synch. Online - Meet Times.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",08,8230,Spring_2026|BLAW 400|08|8230,FALSE,\N,,LEC,TuTh,2-3:15PM,,ONLINE-ONLY,Kehr D,Class instruction is: Synch. Online - Meet Times.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",09,8231,Spring_2026|BLAW 400|09|8231,FALSE,\N,,LEC,Th,7-9:45PM,,COB-110,Semaan G,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",10,8232,Spring_2026|BLAW 400|10|8232,FALSE,\N,,LEC,MW,11-12:15PM,,COB-110,Ahl C,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",11,8233,Spring_2026|BLAW 400|11|8233,FALSE,\N,,LEC,MW,9:30-10:45AM,,COB-123,Betance J,Class instruction is: Face to Face - On Campus.
Spring_2026,BLAW,400,BLAW 400,BUSINESS ETHICS,3,"GE: 3UD (UDC), 4UD (UDD)",12,8234,Spring_2026|BLAW 400|12|8234,FALSE,\N,,LEC,M,7-9:45PM,,COB-110,Kassis F,Class instruction is: Face to Face - On Campus.
