term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,GBA,685,GBA 685,INT COLL BUS STRAT COMP,3,,01,3721,Spring_2026|GBA 685|01|3721,FALSE,\N,311,LEC,M,7-9:45PM,,COB-216,Barcon B,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,GBA,685,GBA 685,INT COLL BUS STRAT COMP,3,,01,\N,Spring_2026|GBA 685|01|NOCLASS|81e04b8bbf1b43ac,FALSE,\N,,,M,7-9:45PM,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,GBA,694B,GBA 694B,SHORT-TERM STUDY ABROAD-EUROPE,3,,01,7490,Spring_2026|GBA 694B|01|7490,FALSE,\N,307,SEM,W,6-8:45PM,available,ONLINE-ONLY,Galeas M,Class instruction is: Online - Mixed Meet Times. Please contact Grad Programs to register. cob-gradprograms@csulb.edu Class requires a travel experience.
Spring_2026,GBA,694B,GBA 694B,SHORT-TERM STUDY ABROAD-EUROPE,3,,01,\N,Spring_2026|GBA 694B|01|NOCLASS|13fe59a2e39e944e,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Galeas M,additional meeting detail
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,04,7038,Spring_2026|GBA 699|04|7038,FALSE,\N,311,SEM,Tu,7-9:45PM,,COB-228,Hedger E,Department Consent Required Class instruction is: Face to Face - On Campus.
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,02,9813,Spring_2026|GBA 699|02|9813,FALSE,\N,,SEM,Tu,7-9:45PM,,ONLINE-ONLY,Cummings C,Department Consent Required Class instruction is: Online - Mixed Meet Times. Some seats are reserved for the following group(s): OMBA majors only.
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,02,\N,Spring_2026|GBA 699|02|NOCLASS|554a0a60968d34c4,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,05,9818,Spring_2026|GBA 699|05|9818,FALSE,\N,309,SEM,Th,7-9:45PM,,ONLINE-ONLY,Cummings C,Department Consent Required Class instruction is: Online - Mixed Meet Times. Some seats are reserved for the following group(s): OMBA majors only.
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,05,\N,Spring_2026|GBA 699|05|NOCLASS|212bdd54c2403fab,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Cummings C,additional meeting detail
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,01,9840,Spring_2026|GBA 699|01|9840,FALSE,\N,309,SEM,Th,7-9:45PM,available,ONLINE-ONLY,Cummings C,Department Consent Required Class instruction is: Online - Mixed Meet Times. Some seats are reserved for the following group(s): OMBA majors only.
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,01,\N,Spring_2026|GBA 699|01|NOCLASS|4442a5296fe7984d,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,03,9838,Spring_2026|GBA 699|03|9838,FALSE,\N,,SEM,Tu,7-9:45PM,,ONLINE-ONLY,Cummings C,Department Consent Required Class instruction is: Online - Mixed Meet Times. Some seats are reserved for the following group(s): OMBA majors only.
Spring_2026,GBA,699,GBA 699,INTEGRATED ANALYSIS,3,,03,\N,Spring_2026|GBA 699|03|NOCLASS|1bf5dbec04754099,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
