term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,01,2867,Spring_2026|HRM 360|01|2867,FALSE,\N,,LEC,MW,9:30-10:45AM,,COB-217,Arnold J,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,02,2431,Spring_2026|HRM 360|02|2431,FALSE,\N,,LEC,MW,11-12:15PM,,COB-139A,Arnold J,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,03,7168,Spring_2026|HRM 360|03|7168,FALSE,\N,,LEC,W,7-9:45PM,,COB-113,Olson A,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,04,3140,Spring_2026|HRM 360|04|3140,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,COB-140A,Ekema M,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,05,3907,Spring_2026|HRM 360|05|3907,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,COB-139,Zanhour M,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,06,2596,Spring_2026|HRM 360|06|2596,FALSE,\N,,LEC,Tu,4-6:45PM,,COB-139A,Olson A,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,07,7550,Spring_2026|HRM 360|07|7550,FALSE,\N,,LEC,MW,12:30-1:45PM,,COB-113,Arnold J,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,08,7611,Spring_2026|HRM 360|08|7611,FALSE,\N,310,LEC,Th,4-6:45PM,,COB-229,Stafford C,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,09,9187,Spring_2026|HRM 360|09|9187,FALSE,\N,,LEC,M,4-6:45PM,,FCS-126,Boatman H,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,11,9633,Spring_2026|HRM 360|11|9633,FALSE,\N,310,LEC,Tu,7-9:45PM,,COB-112,Boatman H,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,12,9719,Spring_2026|HRM 360|12|9719,FALSE,\N,310,LEC,W,4-6:45PM,,COB-113,Olson A,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,13,11079,Spring_2026|HRM 360|13|11079,FALSE,\N,310,LEC,F,9-11:45AM,,COB-227,Rinderle S,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,360,HRM 360,ORGANIZATIONAL BEHAVIOR,3,,14,12796,Spring_2026|HRM 360|14|12796,FALSE,\N,310,LEC,TuTh,8-9:15AM,,COB-217,Thompson C,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,361,HRM 361,THE HUMAN RESOURCE FUNCTION,3,,01,1383,Spring_2026|HRM 361|01|1383,FALSE,\N,,LEC,Tu,4-6:45PM,,COB-113,Boatman H,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,361,HRM 361,THE HUMAN RESOURCE FUNCTION,3,,02,3831,Spring_2026|HRM 361|02|3831,FALSE,\N,,LEC,TuTh,11-12:15PM,,COB-113,Thompson C,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,361,HRM 361,THE HUMAN RESOURCE FUNCTION,3,,03,7589,Spring_2026|HRM 361|03|7589,FALSE,\N,,LEC,W,7-9:45PM,,COB-227,Gross C,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,361,HRM 361,THE HUMAN RESOURCE FUNCTION,3,,04,7590,Spring_2026|HRM 361|04|7590,FALSE,\N,310,LEC,Th,4-6:45PM,available,COB-113,Matsumoto E,Class instruction is: Face to Face - On Campus.
Spring_2026,HRM,361,HRM 361,THE HUMAN RESOURCE FUNCTION,3,,05,7911,Spring_2026|HRM 361|05|7911,FALSE,\N,,LEC,M,4-6:45PM,,COB-229,Hoang M,Class instruction is: Face to Face - On Campus.
