term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,I,S 100,I S 100,CRIT THINK INFO TECH LITERACY,3,GE: 1B (A3),01,2993,Spring_2026|I S 100|01|2993,FALSE,\N,,LEC,MW,9:30-10:45AM,,CPCE-307,Thomason A,Class instruction is: Face to Face - On Campus. All seats reserved for Beach XP students only.
Spring_2026,I,S 100,I S 100,CRIT THINK INFO TECH LITERACY,3,GE: 1B (A3),02,5856,Spring_2026|I S 100|02|5856,FALSE,\N,,LEC,MW,2-3:15PM,,COB-111,Thomason A,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 100,I S 100,CRIT THINK INFO TECH LITERACY,3,GE: 1B (A3),03,5857,Spring_2026|I S 100|03|5857,FALSE,\N,,LEC,TuTh,3:30-4:45PM,,COB-111,Foster L,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 100,I S 100,CRIT THINK INFO TECH LITERACY,3,GE: 1B (A3),04,8609,Spring_2026|I S 100|04|8609,FALSE,\N,,LEC,TuTh,2-3:15PM,,CPCE-307,Foster L,Class instruction is: Face to Face - On Campus. All seats reserved for Beach XP students only.
Spring_2026,I,S 100,I S 100,CRIT THINK INFO TECH LITERACY,3,GE: 1B (A3),05,10298,Spring_2026|I S 100|05|10298,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,CPCE-307,Foster L,Class instruction is: Face to Face - On Campus. All seats reserved for Beach XP students only.
Spring_2026,I,S 233,I S 233,INTRO BUS DATA ANLYS & PROG,3,,01,1384,Spring_2026|I S 233|01|1384,FALSE,\N,272,SEM,NA,NA,,ONLINE-ONLY,Kiang M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,I,S 233,I S 233,INTRO BUS DATA ANLYS & PROG,3,,02,5794,Spring_2026|I S 233|02|5794,FALSE,\N,272,SEM,NA,NA,,ONLINE-ONLY,Behzad B,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,I,S 233,I S 233,INTRO BUS DATA ANLYS & PROG,3,,03,6291,Spring_2026|I S 233|03|6291,FALSE,\N,272,SEM,NA,NA,,ONLINE-ONLY,Behzad B,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,I,S 233,I S 233,INTRO BUS DATA ANLYS & PROG,3,,04,7575,Spring_2026|I S 233|04|7575,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Liu Y,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,I,S 233,I S 233,INTRO BUS DATA ANLYS & PROG,3,,05,5103,Spring_2026|I S 233|05|5103,FALSE,\N,,SEM,MW,2-3:15PM,,COB-237B,Xiao D,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,01,8063,Spring_2026|I S 300|01|8063,FALSE,\N,306,LEC,MW,9:30-10:45AM,,ECS-105,Xiao D,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,02,2341,Spring_2026|I S 300|02|2341,FALSE,\N,,LEC,MW,11-12:15PM,,COB-111,Thomason A,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,03,5711,Spring_2026|I S 300|03|5711,FALSE,\N,,LEC,MW,2-3:15PM,,COB-227,Arikenbi T,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,04,4585,Spring_2026|I S 300|04|4585,FALSE,\N,,LEC,MW,3:30-4:45PM,,COB-139,Thomason A,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,05,7606,Spring_2026|I S 300|05|7606,FALSE,\N,,LEC,MW,5-6:15PM,,COB-227,Nguyen S,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,07,10222,Spring_2026|I S 300|07|10222,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,COB-237B,Chi R,Class instruction is: Face to Face - On Campus.
Spring_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,08,5582,Spring_2026|I S 300|08|5582,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,COB-111,Chi R,Class instruction is: Face to Face - On Campus.
