term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,01,2404,Spring_2026|MGMT 300|01|2404,FALSE,\N,,LEC,MW,9:30-10:45AM,,COB-139A,Marino C,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,02,7147,Spring_2026|MGMT 300|02|7147,FALSE,\N,,LEC,MW,2-3:15PM,,COB-140,Klein K,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,03,4192,Spring_2026|MGMT 300|03|4192,FALSE,\N,,LEC,TuTh,8-9:15AM,,COB-139A,Ribadu Jenkins M,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,04,1418,Spring_2026|MGMT 300|04|1418,FALSE,\N,,LEC,TuTh,11-12:15PM,,COB-139A,Su X,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,05,3736,Spring_2026|MGMT 300|05|3736,FALSE,\N,,LEC,TuTh,5:30-6:45PM,,COB-139,Najera C,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,06,4206,Spring_2026|MGMT 300|06|4206,FALSE,\N,,LEC,M,4-6:45PM,,HC-120,Idug Y,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,08,7723,Spring_2026|MGMT 300|08|7723,FALSE,\N,,LEC,M,7-9:45PM,,COB-139A,Washburn M,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,09,8939,Spring_2026|MGMT 300|09|8939,FALSE,\N,,LEC,Tu,7-9:45PM,,COB-230,Tierney J,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,10,12298,Spring_2026|MGMT 300|10|12298,FALSE,\N,310,LEC,W,4-6:45PM,,COB-228,Khan J,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,11,12705,Spring_2026|MGMT 300|11|12705,FALSE,\N,310,LEC,Th,4-6:45PM,,COB-124,Rowe J,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,326,MGMT 326,"MGMT, SUSTAINABILITY & SOCIETY",3,,01,1419,Spring_2026|MGMT 326|01|1419,FALSE,\N,,LEC,TuTh,2-3:15PM,available,COB-110,Gross C,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,326,MGMT 326,"MGMT, SUSTAINABILITY & SOCIETY",3,,02,6358,Spring_2026|MGMT 326|02|6358,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,COB-113,Mills K,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,326,MGMT 326,"MGMT, SUSTAINABILITY & SOCIETY",3,,03,8887,Spring_2026|MGMT 326|03|8887,FALSE,\N,310,LEC,TuTh,8-9:15AM,available,COB-113,Mills K,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,405,MGMT 405,INTERNATIONAL COMPARATIVE MGMT,3,,01,4490,Spring_2026|MGMT 405|01|4490,FALSE,\N,,LEC,MW,9:30-10:45AM,,COB-113,Acc-Nikmehr N,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,405,MGMT 405,INTERNATIONAL COMPARATIVE MGMT,3,,03,11184,Spring_2026|MGMT 405|03|11184,FALSE,\N,310,LEC,W,4-6:45PM,,COB-237A,Young M,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,406,MGMT 406,INTERNATIONAL BUSINESS POLICY,3,,01,1420,Spring_2026|MGMT 406|01|1420,FALSE,\N,,LEC,MW,3:30-4:45PM,available,COB-227,Acc-Nikmehr N,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,406,MGMT 406,INTERNATIONAL BUSINESS POLICY,3,,02,2611,Spring_2026|MGMT 406|02|2611,FALSE,\N,,LEC,Th,4-6:45PM,available,COB-112,Barrulas Yefremian C,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,421,MGMT 421,ENTREPSHIP NEW VENTRE CREATION,3,,01,11073,Spring_2026|MGMT 421|01|11073,FALSE,\N,310,LEC,MW,11-12:15PM,,KIN-063,Khan N,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,421,MGMT 421,ENTREPSHIP NEW VENTRE CREATION,3,,03,10162,Spring_2026|MGMT 421|03|10162,FALSE,\N,,LEC,MW,8-9:15AM,available,COB-240,Khan N,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),01,1428,Spring_2026|MGMT 425|01|1428,FALSE,\N,,LEC,MW,11-12:15PM,,COB-214,Klein K,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),02,4184,Spring_2026|MGMT 425|02|4184,FALSE,\N,,LEC,MW,2-3:15PM,,COB-214,Washburn M,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),03,1422,Spring_2026|MGMT 425|03|1422,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,COB-214,Kavanaugh C,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),04,3675,Spring_2026|MGMT 425|04|3675,FALSE,\N,,LEC,Th,7-9:45PM,,COB-214,Yan J,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),04,\N,Spring_2026|MGMT 425|04|NOCLASS|07faa59987839524,FALSE,\N,,,Th,7-9:45PM,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),05,1423,Spring_2026|MGMT 425|05|1423,FALSE,\N,,LEC,Tu,7-9:45PM,,COB-214,Yan J,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),05,\N,Spring_2026|MGMT 425|05|NOCLASS|5211df380e9e95b2,FALSE,\N,,,Tu,7-9:45PM,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),06,4771,Spring_2026|MGMT 425|06|4771,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,COB-124,Barth S,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),07,5174,Spring_2026|MGMT 425|07|5174,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,COB-113,Shin H,Class instruction is: Face to Face - On Campus.
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),08,2704,Spring_2026|MGMT 425|08|2704,FALSE,\N,,LEC,TuTh,2-3:15PM,,COB-113,Yan J,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),08,\N,Spring_2026|MGMT 425|08|NOCLASS|2f95c2e42bc4304b,FALSE,\N,,,TuTh,2-3:15PM,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),10,1427,Spring_2026|MGMT 425|10|1427,FALSE,\N,,LEC,MW,12:30-1:45PM,,COB-214,Marino C,Class instruction is: Face to Face - On Campus.
