term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,01,3314,Spring_2026|MKTG 300|01|3314,FALSE,\N,"1,15,27",LEC,MW,12:30-1:45PM,,COB-139,Nguyen H,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,02,2989,Spring_2026|MKTG 300|02|2989,FALSE,\N,"1,15,27",LEC,MW,2-3:15PM,available,COB-139,Alberhasky M,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,04,5275,Spring_2026|MKTG 300|04|5275,FALSE,\N,"1,15,27",LEC,TuTh,11-12:15PM,,COB-140A,Min S,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,05,5633,Spring_2026|MKTG 300|05|5633,FALSE,\N,"1,15,27,310",LEC,F,10-12:45PM,,COB-140,Kim S,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,06,6438,Spring_2026|MKTG 300|06|6438,FALSE,\N,"309,1,15,27",LEC,Tu,11-12:15PM,,ONLINE-ONLY,Qiu T,Class instruction is: Online - Mixed Meet Times.
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,06,\N,Spring_2026|MKTG 300|06|NOCLASS|5918363dbad99640,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Qiu T,additional meeting detail
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,07,8372,Spring_2026|MKTG 300|07|8372,FALSE,\N,,LEC,Tu,4-6:45PM,,COB-140,Lee A,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,08,8377,Spring_2026|MKTG 300|08|8377,FALSE,\N,311,LEC,W,4-6:45PM,available,HC-120,Yang B,Class instruction is: Hybrid (Face to Face & Synch). Online synchronous classes with face-to-face final exam. Please see syllabus for exam date.
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,08,\N,Spring_2026|MKTG 300|08|NOCLASS|684b818eca30281f,FALSE,\N,,,W,4-6:45PM,,ONLINE-ONLY,Yang B,additional meeting detail
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,09,9520,Spring_2026|MKTG 300|09|9520,FALSE,\N,34,LEC,M,4-6:45PM,,COB-114,Wang Y,"Honors Section Class instruction is: Face to Face - On Campus. Attendance, on time, at first class meeting is required to avoid being dropped from the class by the instructor."
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,10,10738,Spring_2026|MKTG 300|10|10738,FALSE,\N,"1,15,27,311",LEC,TuTh,2-3:15PM,,COB-139A,Soni P,Class instruction is: Hybrid (Face to Face & Synch). Face-to-face and online synchronous classes; face-to-face exams.
Spring_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,10,\N,Spring_2026|MKTG 300|10|NOCLASS|3d93aa158a51ce40,FALSE,\N,,,TuTh,2-3:15PM,,ONLINE-ONLY,Soni P,additional meeting detail
Spring_2026,MKTG,310,MKTG 310,RETAIL CONCEPTS-POLICIES,3,,01,4240,Spring_2026|MKTG 310|01|4240,FALSE,\N,"1,15,27",LEC,M,2-4:45PM,,COB-140A,Kowsari A,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,330,MKTG 330,ADVERTISING AND PROMOTION I,3,,01,3873,Spring_2026|MKTG 330|01|3873,FALSE,\N,"1,15,27",LEC,TuTh,2-3:15PM,,HC-120,Moisio R,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,340,MKTG 340,INTRO TO PROFESSIONAL SELLING,3,,01,8362,Spring_2026|MKTG 340|01|8362,FALSE,\N,,LEC,MW,11-12:15PM,,COB-237A,Sepulveda A,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,350,MKTG 350,INTRO TO ENTREPRENEURIAL MKTG,3,,01,8363,Spring_2026|MKTG 350|01|8363,FALSE,\N,,LEC,M,4-6:45PM,,COB-230,Min S,Class instruction is: Face to Face - On Campus.
Spring_2026,MKTG,355,MKTG 355,EXPRNTL ENTREPRENEURIAL MKTG,3,,01,7325,Spring_2026|MKTG 355|01|7325,FALSE,\N,27,SEM,Tu,4-6:45PM,available,COB-230,Min S,Instructor Consent Required Class instruction is: Face to Face - On Campus. This is the 2nd part of a two-course entrepreneurial sequence run with Apostle Enterprise Lab (AEL) and requires that students have taken MGMT 355.
Spring_2026,MKTG,405,MKTG 405,GREEN MKTG AND SUSTAINABILITY,3,,01,7052,Spring_2026|MKTG 405|01|7052,FALSE,\N,"1,15,27",SEM,Tu,4-6:45PM,,COB-227,O'Brien D,Class instruction is: Face to Face - On Campus.
