term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CECS,80,CECS 80,FOUNDATIONS FOR DATA COMPUTING,1,,01,9324,Spring_2026|CECS 80|01|9324,FALSE,\N,1,ACT,TuTh,12:30-1:20PM,available,ECS-413,Staff,Class instruction is: Face to Face - On Campus.
Spring_2026,CECS,100,CECS 100,CRIT THINK IN DIGITAL INFO AGE,3,GE: 1B (A3),01,10634,Spring_2026|CECS 100|01|10634,TRUE,\N,,SEM,MW,2-2:50PM,,VEC-418,Golshani F,Class instruction is: Face to Face - On Campus.
Spring_2026,CECS,100,CECS 100,CRIT THINK IN DIGITAL INFO AGE,3,GE: 1B (A3),02,10635,Spring_2026|CECS 100|02|10635,FALSE,\N,,LAB,MW,3-4:15PM,,VEC-418,Golshani F,Class instruction is: Face to Face - On Campus.
Spring_2026,CECS,105,CECS 105,INTRODUCTION TO CECS,1,GE: E,01,7755,Spring_2026|CECS 105|01|7755,TRUE,\N,,SEM,M,1-1:50PM,,DESN-112,Golshani F,Class instruction is: Face to Face - On Campus. Class offered with CECS-105H-01
Spring_2026,CECS,105,CECS 105,INTRODUCTION TO CECS,1,GE: E,02,10636,Spring_2026|CECS 105|02|10636,TRUE,\N,,SEM,W,1-1:50PM,available,DESN-112,Golshani F,Class instruction is: Face to Face - On Campus.
Spring_2026,CECS,105H,CECS 105H,INTRODUCTION TO CECS,1,GE: E,01,9400,Spring_2026|CECS 105H|01|9400,TRUE,\N,1,SEM,M,1-1:50PM,available,DESN-112,Golshani F,Class instruction is: Face to Face - On Campus. Class offered with CECS-105-01
Spring_2026,CECS,174,CECS 174,INTRO PROG & PROBLEM SOLVING,3,,01,1112,Spring_2026|CECS 174|01|1112,FALSE,\N,1,SEM,MW,12-12:50PM,available,ECS-306,Nachawati S,Class instruction is: Face to Face - On Campus.
Spring_2026,CECS,174,CECS 174,INTRO PROG & PROBLEM SOLVING,3,,02,1781,Spring_2026|CECS 174|02|1781,FALSE,\N,1,LAB,MW,1-2:15PM,available,ECS-403,Staff,Class instruction is: Face to Face - On Campus.
Spring_2026,CECS,174,CECS 174,INTRO PROG & PROBLEM SOLVING,3,,03,2504,Spring_2026|CECS 174|03|2504,FALSE,\N,1,LAB,MW,1-2:15PM,available,ECS-413,Staff,Class instruction is: Face to Face - On Campus.
Spring_2026,CECS,180,CECS 180,DATA COMPUTING FOR EVERYONE,3,GE: 2 (B4),01,9336,Spring_2026|CECS 180|01|9336,FALSE,\N,,SEM,TuTh,11-12:15PM,available,ECS-405,Nguyen K,Class instruction is: Face to Face - On Campus.
