term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CH,E 100,CH E 100,INTRO TO CHEMICAL ENGINEERING,1,GE: E,01,2475,Spring_2026|CH E 100|01|2475,FALSE,\N,,SEM,F,1-1:50PM,available,VEC-110,Kang J,Class instruction is: Face to Face - On Campus. Class offered with CH E-100H-01
Spring_2026,CH,E 100H,CH E 100H,INTRO TO CHEMICAL ENGINEERING,1,GE: E,01,5488,Spring_2026|CH E 100H|01|5488,FALSE,\N,,SEM,F,1-1:50PM,available,VEC-110,Kang J,Class instruction is: Face to Face - On Campus. Class offered with CH E-100-01
Spring_2026,CH,E 200,CH E 200,CHEMICAL ENGR FUNDAMENTALS,3,,04,4402,Spring_2026|CH E 200|04|4402,FALSE,\N,,SEM,MW,9:30-10:45AM,available,VEC-115,Wilson J,Class instruction is: Face to Face - On Campus. Class offered with CH E-200H-02
Spring_2026,CH,E 200H,CH E 200H,CHEMICAL ENGR FUNDAMENTALS,3,,02,4401,Spring_2026|CH E 200H|02|4401,FALSE,\N,,SEM,MW,9:30-10:45AM,available,VEC-115,Wilson J,Class instruction is: Face to Face - On Campus. Class offered with CH E-200-04
Spring_2026,CH,E 210,CH E 210,COMPUTER METHODS CHEMICAL ENGR,3,,05,4075,Spring_2026|CH E 210|05|4075,FALSE,\N,,SEM,Tu,5-6:50PM,available,ECS-114,Lee W,Class instruction is: Face to Face - On Campus.
Spring_2026,CH,E 210,CH E 210,COMPUTER METHODS CHEMICAL ENGR,3,,06,4076,Spring_2026|CH E 210|06|4076,FALSE,\N,,LAB,Tu,7-9:45PM,available,ECS-114,Lee W,Class instruction is: Face to Face - On Campus.
Spring_2026,CH,E 220,CH E 220,CHEMICAL ENGR THERMODYNAMICS I,3,,02,3855,Spring_2026|CH E 220|02|3855,FALSE,\N,,SEM,TuTh,11-12:15PM,available,VEC-402,Talebi M,Class instruction is: Face to Face - On Campus.
Spring_2026,CH,E 310,CH E 310,CHEMICAL ENGR THERMODYNMCS II,3,,01,3196,Spring_2026|CH E 310|01|3196,FALSE,\N,,SEM,MW,11-12:15PM,available,VEC-322,Rafique K,Class instruction is: Face to Face - On Campus.
Spring_2026,CH,E 320,CH E 320,FLUIDS,3,,03,3856,Spring_2026|CH E 320|03|3856,FALSE,\N,,SEM,TuTh,9:30-10:45AM,available,VEC-321,Yang Y,Class instruction is: Face to Face - On Campus.
Spring_2026,CH,E 330,CH E 330,SEPARATION PROCESSES,3,,01,3737,Spring_2026|CH E 330|01|3737,FALSE,\N,,SEM,M,8-9:50AM,available,VEC-331,Lee W,Class instruction is: Face to Face - On Campus. Class offered with CH E-330H-01
