term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,C,E 101,C E 101,INTRO TO C E AND CEM,1,GE: E,01,7538,Spring_2026|C E 101|01|7538,FALSE,\N,,SEM,Tu,3:30-4:20PM,,ECS-306,Star L,Class instruction is: Face to Face - On Campus.
Spring_2026,C,E 101,C E 101,INTRO TO C E AND CEM,1,GE: E,03,8416,Spring_2026|C E 101|03|8416,FALSE,\N,,SEM,W,12-12:50PM,,VEC-227,Ko Y,Class instruction is: Face to Face - On Campus.
Spring_2026,C,E 101,C E 101,INTRO TO C E AND CEM,1,GE: E,04,9100,Spring_2026|C E 101|04|9100,FALSE,\N,,SEM,Tu,3:30-4:20PM,,ECS-306,Star L,Class instruction is: Face to Face - On Campus.
Spring_2026,C,E 101,C E 101,INTRO TO C E AND CEM,1,GE: E,05,9373,Spring_2026|C E 101|05|9373,FALSE,\N,,SEM,Tu,11-11:50AM,,VEC-321,Asvapathanagul P,Class instruction is: Face to Face - On Campus. Class offered with C E-101H-02
Spring_2026,C,E 101,C E 101,INTRO TO C E AND CEM,1,GE: E,06,12743,Spring_2026|C E 101|06|12743,FALSE,\N,310,SEM,W,4-4:50PM,available,EN2-105,Asvapathanagul P,Class instruction is: Face to Face - On Campus.
Spring_2026,C,E 101H,C E 101H,INTRO TO C E AND CEM,1,GE: E,02,9374,Spring_2026|C E 101H|02|9374,FALSE,\N,,SEM,Tu,11-11:50AM,,VEC-321,Asvapathanagul P,Class instruction is: Face to Face - On Campus. Class offered with C E-101-05
Spring_2026,C,E 130,C E 130,SURVEYING & MAPPING,1,,01,2658,Spring_2026|C E 130|01|2658,FALSE,\N,,SEM,Th,11-11:50AM,,VEC-518,Tanvir S,Class instruction is: Face to Face - On Campus.
Spring_2026,C,E 130,C E 130,SURVEYING & MAPPING,1,,02,2657,Spring_2026|C E 130|02|2657,FALSE,\N,,SEM,Tu,11-11:50AM,available,VEC-331,Tanvir S,Class instruction is: Face to Face - On Campus.
Spring_2026,C,E 130L,C E 130L,SURVEYING AND MAPPING LAB,1,,02,8446,Spring_2026|C E 130L|02|8446,FALSE,\N,,LAB,Tu,8-10:45AM,,EN3-113,Patel A,Class instruction is: Face to Face - On Campus.
Spring_2026,C,E 130L,C E 130L,SURVEYING AND MAPPING LAB,1,,03,7510,Spring_2026|C E 130L|03|7510,FALSE,\N,,LAB,Tu,12:30-3:15PM,available,VEC-401,Patel A,Class instruction is: Face to Face - On Campus.
