term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ENGR,101,ENGR 101,INTRO ENGINEERING PROFESSION,1,GE: E,01,4727,Spring_2026|ENGR 101|01|4727,FALSE,\N,1,SEM,M,6-6:50PM,,VEC-331,Lackpour M,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGR,101,ENGR 101,INTRO ENGINEERING PROFESSION,1,GE: E,02,4728,Spring_2026|ENGR 101|02|4728,FALSE,\N,1,SEM,M,7-7:50PM,,VEC-331,Lackpour M,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGR,102,ENGR 102,ACADEMIC SUCCESS SKILLS,1,GE: E,01,7166,Spring_2026|ENGR 102|01|7166,FALSE,\N,1,SEM,W,4-4:50PM,,DESN-112,Arellano L,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGR,102,ENGR 102,ACADEMIC SUCCESS SKILLS,1,GE: E,02,2533,Spring_2026|ENGR 102|02|2533,FALSE,\N,1,SEM,W,7-7:50PM,available,ECS-306,Sojobi K,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGR,102,ENGR 102,ACADEMIC SUCCESS SKILLS,1,GE: E,03,2581,Spring_2026|ENGR 102|03|2581,FALSE,\N,"1,311",SEM,Th,5-5:50PM,,ECS-306,Yohannes H,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,ENGR,102,ENGR 102,ACADEMIC SUCCESS SKILLS,1,GE: E,03,\N,Spring_2026|ENGR 102|03|NOCLASS|443d97f33067ff0d,FALSE,\N,,,Th,5-5:50PM,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,ENGR,102,ENGR 102,ACADEMIC SUCCESS SKILLS,1,GE: E,04,3452,Spring_2026|ENGR 102|04|3452,FALSE,\N,1,SEM,Tu,12:30-1:20PM,,CPCE-208,Hernandez V,Class instruction is: Face to Face - On Campus. This section is reserved for COE Beach XP students in Cohort 2
Spring_2026,ENGR,102,ENGR 102,ACADEMIC SUCCESS SKILLS,1,GE: E,05,3453,Spring_2026|ENGR 102|05|3453,FALSE,\N,1,SEM,Th,6-6:50PM,available,ECS-306,Nachawati S,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGR,102,ENGR 102,ACADEMIC SUCCESS SKILLS,1,GE: E,06,4170,Spring_2026|ENGR 102|06|4170,FALSE,\N,1,SEM,F,2-2:50PM,available,ECS-306,Acosta A,Class instruction is: Face to Face - On Campus.
Spring_2026,ENGR,102,ENGR 102,ACADEMIC SUCCESS SKILLS,1,GE: E,07,5389,Spring_2026|ENGR 102|07|5389,FALSE,\N,1,SEM,M,4-4:50PM,,ECS-306,Lackpour M,Class instruction is: Face to Face - On Campus.
