term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,E,T 101,E T 101,INTRO ENGINEERING TECHNOLOGY,1,GE: E,02,10982,Spring_2026|E T 101|02|10982,FALSE,\N,310,SEM,M,1-1:50PM,available,VEC-519,Ghaforyfard P,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 252,E T 252,CIRCUIT ANALYSIS II,2,,02,10983,Spring_2026|E T 252|02|10983,FALSE,\N,310,SEM,MW,10-10:50AM,,ECS-315,Jalali S,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 252L,E T 252L,CIRCUIT ANALYSIS II LABORATORY,1,,02,10984,Spring_2026|E T 252L|02|10984,FALSE,\N,310,LAB,MW,11-12:15PM,,ECS-315,Jalali S,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 255,E T 255,INTRO TO DIGITAL ELECTRONICS,2,,01,6478,Spring_2026|E T 255|01|6478,FALSE,\N,310,SEM,Tu,7-8:50PM,,VEC-325,Sleiman A,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 255L,E T 255L,INTRO DIGITAL ELECTRONICS LAB,1,,01,6479,Spring_2026|E T 255L|01|6479,FALSE,\N,310,LAB,Th,7-9:45PM,,ECS-317,Sleiman A,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 286,E T 286,OBJECT ORIENTED PROGRAMMING,2,,01,6943,Spring_2026|E T 286|01|6943,FALSE,\N,,SEM,M,7-8:50PM,available,ECS-314,Jalali S,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 286L,E T 286L,OBJECT ORIENTED PROGRAMNG LAB,1,,01,6944,Spring_2026|E T 286L|01|6944,FALSE,\N,,LAB,W,7-9:45PM,available,ECS-315,Jalali S,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 312,E T 312,STATISTICAL QUALITY CONTROL,3,,01,6659,Spring_2026|E T 312|01|6659,FALSE,\N,,SEM,Tu,4-6:45PM,available,VEC-110,Shariat P,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 341,E T 341,SOLID STATE ELECTRONICS II,2,,01,7210,Spring_2026|E T 341|01|7210,FALSE,\N,,SEM,F,5-6:50PM,available,ET-113,Lopez W,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 341L,E T 341L,SOLID STATE ELECTRONICS II,1,,01,7211,Spring_2026|E T 341L|01|7211,FALSE,\N,,LAB,F,7-9:45PM,available,ET-113,Lopez W,Class instruction is: Face to Face - On Campus.
Spring_2026,E,T 350,E T 350,MOTORS & GENERATORS,2,,01,2319,Spring_2026|E T 350|01|2319,FALSE,\N,,SEM,M,5-6:50PM,available,ET-113,Lopez W,Class instruction is: Face to Face - On Campus.
