term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,MAE,101A,MAE 101A,INTRO TO AEROSPACE ENGINEERING,1,GE: E,01,5266,Spring_2026|MAE 101A|01|5266,FALSE,\N,1,SEM,W,5-5:50PM,,ECS-105,Rosen K,Class instruction is: Face to Face - On Campus. Class offered with MAE-101AH-01
Spring_2026,MAE,101A,MAE 101A,INTRO TO AEROSPACE ENGINEERING,1,GE: E,02,10988,Spring_2026|MAE 101A|02|10988,FALSE,\N,"1,310",SEM,W,6-6:50PM,available,ECS-306,Rosen K,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,101AH,MAE 101AH,INTRO TO AEROSPACE ENGINEERING,1,GE: E,01,5500,Spring_2026|MAE 101AH|01|5500,FALSE,\N,"1,34",SEM,W,5-5:50PM,,ECS-105,Rosen K,Class instruction is: Face to Face - On Campus. Class offered with MAE-101A-01
Spring_2026,MAE,101B,MAE 101B,INTRO MECHANICAL ENGINEERING,1,GE: E,01,2489,Spring_2026|MAE 101B|01|2489,FALSE,\N,"1,17",SEM,M,4-4:50PM,,KIN-059,Haddadin M,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,101B,MAE 101B,INTRO MECHANICAL ENGINEERING,1,GE: E,02,2816,Spring_2026|MAE 101B|02|2816,FALSE,\N,"1,17",SEM,M,5-5:50PM,,KIN-059,Haddadin M,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,101B,MAE 101B,INTRO MECHANICAL ENGINEERING,1,GE: E,03,9155,Spring_2026|MAE 101B|03|9155,FALSE,\N,1,SEM,Tu,5-5:50PM,,ECS-306,Teagle A,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,101BH,MAE 101BH,INTRO MECHANICAL ENGINEERING,1,GE: E,02,9156,Spring_2026|MAE 101BH|02|9156,FALSE,\N,"1,34",SEM,M,6-6:50PM,available,VEC-201,Momeni A,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,172A,MAE 172A,ENGNRING DSGN GRAPHICS-AUTOCAD,2,,01,4636,Spring_2026|MAE 172A|01|4636,FALSE,\N,1,SEM,M,8-8:50AM,,EN2-200,Green R,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,172A,MAE 172A,ENGNRING DSGN GRAPHICS-AUTOCAD,2,,02,4637,Spring_2026|MAE 172A|02|4637,FALSE,\N,1,LAB,M,9-11:45AM,,EN2-200,Green R,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,172B,MAE 172B,ENGINEERING DESIGN GRAPHICS-SO,2,,01,4628,Spring_2026|MAE 172B|01|4628,FALSE,\N,1,SEM,M,1-1:50PM,,ECS-208,Green R,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,172B,MAE 172B,ENGINEERING DESIGN GRAPHICS-SO,2,,02,4629,Spring_2026|MAE 172B|02|4629,FALSE,\N,1,LAB,M,2-4:45PM,,ECS-208,Green R,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,172C,MAE 172C,ENGINEERING DSGN GRAPHICS-CATI,2,,01,5522,Spring_2026|MAE 172C|01|5522,FALSE,\N,1,SEM,Tu,5-5:50PM,available,ECS-208,Haddadin M,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,172C,MAE 172C,ENGINEERING DSGN GRAPHICS-CATI,2,,02,5523,Spring_2026|MAE 172C|02|5523,FALSE,\N,1,LAB,Tu,6-8:45PM,available,ECS-208,Haddadin M,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,205,MAE 205,COMPUTER METHODS IN MAE,2,,01,3006,Spring_2026|MAE 205|01|3006,FALSE,\N,1,SEM,M,8-8:50AM,,ECS-208,Sandoval L,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,205,MAE 205,COMPUTER METHODS IN MAE,2,,02,3185,Spring_2026|MAE 205|02|3185,FALSE,\N,1,LAB,M,9-11:45AM,,ECS-208,Sandoval L,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,272,MAE 272,INTRO MANUFACTURING PROCESSES,2,,01,1790,Spring_2026|MAE 272|01|1790,FALSE,\N,1,SEM,Tu,8-8:50AM,,ET-019,Staff,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,272,MAE 272,INTRO MANUFACTURING PROCESSES,2,,02,1822,Spring_2026|MAE 272|02|1822,FALSE,\N,1,LAB,Tu,9-11:45AM,,ET-019,Staff,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,300,MAE 300,ENGR INSTRUMENTATN & MEASURMNT,2,,01,4387,Spring_2026|MAE 300|01|4387,FALSE,\N,1,SEM,M,8-8:50AM,,VEC-201,Hoang H,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,300,MAE 300,ENGR INSTRUMENTATN & MEASURMNT,2,,02,4388,Spring_2026|MAE 300|02|4388,FALSE,\N,1,LAB,M,9-11:45AM,,ECS-108,Hoang H,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),01,3734,Spring_2026|MAE 305|01|3734,FALSE,\N,1,SEM,MW,11-12:15PM,,ECS-210,Esfandiari R,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),02,6586,Spring_2026|MAE 305|02|6586,FALSE,\N,"310,1",SEM,MW,5:30-6:45PM,available,SPA-108,Silverstein P,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),03,4296,Spring_2026|MAE 305|03|4296,FALSE,\N,1,SEM,TuTh,2-3:15PM,,VEC-112,Schmitz A,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),04,4297,Spring_2026|MAE 305|04|4297,FALSE,\N,1,SEM,TuTh,3:30-4:45PM,,VEC-202,Kim C,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),05,5164,Spring_2026|MAE 305|05|5164,FALSE,\N,1,SEM,TuTh,5-6:15PM,,VEC-202,Kim C,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),06,5796,Spring_2026|MAE 305|06|5796,FALSE,\N,1,SEM,TuTh,11-12:15PM,available,ECS-302,Khattab A,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),07,10580,Spring_2026|MAE 305|07|10580,FALSE,\N,1,SEM,MW,3:30-4:45PM,available,VEC-115,Silverstein P,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),09,12459,Spring_2026|MAE 305|09|12459,FALSE,\N,1,SEM,TuTh,7-8:15PM,,VEC-227,Kim C,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,322,MAE 322,ENGR MATERLS & MATERIALS PROC,3,,01,2284,Spring_2026|MAE 322|01|2284,FALSE,\N,1,SEM,TuTh,12:30-1:45PM,,VEC-202,Shariat P,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,322,MAE 322,ENGR MATERLS & MATERIALS PROC,3,,02,4374,Spring_2026|MAE 322|02|4374,FALSE,\N,"1,31,305",SEM,NA,NA,,ONLINE-ONLY,Yavari P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,MAE,322,MAE 322,ENGR MATERLS & MATERIALS PROC,3,,03,4375,Spring_2026|MAE 322|03|4375,FALSE,\N,"1,31,305",SEM,NA,NA,,ONLINE-ONLY,Yavari P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,MAE,322,MAE 322,ENGR MATERLS & MATERIALS PROC,3,,05,9565,Spring_2026|MAE 322|05|9565,FALSE,\N,1,SEM,TuTh,9:30-10:45AM,,ECS-210,Mirza S,Class instruction is: Face to Face - On Campus.
Spring_2026,MAE,322,MAE 322,ENGR MATERLS & MATERIALS PROC,3,,06,10583,Spring_2026|MAE 322|06|10583,FALSE,\N,1,SEM,MW,2-3:15PM,,VEC-113,Sandoval L,Class instruction is: Face to Face - On Campus.
