term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,AH,101,AH 101,INTRODUCTION TO VISUAL CULTURE,3,GE: 3A (C1),01,6663,Spring_2026|AH 101|01|6663,FALSE,\N,310,LEC,TuTh,2-3:15PM,available,HC-100,Burch K,Class instruction is: Face to Face - On Campus.
Spring_2026,AH,111A,AH 111A,FOUNDATION AH PREHISTORY-1500,3,GE: 3A (C1),01,1010,Spring_2026|AH 111A|01|1010,FALSE,\N,310,LEC,MW,9:30-10:45AM,available,UT-108,Proctor M,Class instruction is: Face to Face - On Campus.Some seats saved for School of Art majors and new transfer students.
Spring_2026,AH,111A,AH 111A,FOUNDATION AH PREHISTORY-1500,3,GE: 3A (C1),02,2706,Spring_2026|AH 111A|02|2706,FALSE,\N,310,LEC,TuTh,11-12:15PM,available,UT-108,Brott L,Class instruction is: Face to Face - On Campus.Some seats saved for School of Art majors and new transfer students.
Spring_2026,AH,111B,AH 111B,FOUNDATION AH 1300-PRESENT,3,GE: 3A (C1),01,1829,Spring_2026|AH 111B|01|1829,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,available,UT-108,Graham H,Class instruction is: Face to Face - On Campus.Some seats saved for School of Art majors and new transfer students.
Spring_2026,AH,111B,AH 111B,FOUNDATION AH 1300-PRESENT,3,GE: 3A (C1),02,4242,Spring_2026|AH 111B|02|4242,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,available,UT-108,Simms M,Class instruction is: Face to Face - On Campus.Some seats saved for School of Art majors and new transfer students.
Spring_2026,AH,111C,AH 111C,LATIN AMER ARTS & ARCHITECTURE,3,GE: 3A (C1),01,3315,Spring_2026|AH 111C|01|3315,FALSE,\N,310,LEC,TuTh,11-12:15PM,,HC-120,Pardo P,Class instruction is: Face to Face - On Campus.Some seats saved for School of Art majors and new transfer students.
Spring_2026,AH,111E,AH 111E,FNDTN AH ASIA LATER TRADITIONS,3,GE: 3A (C1),01,9965,Spring_2026|AH 111E|01|9965,FALSE,\N,310,LEC,MW,11-12:15PM,available,UT-108,Brown K,Class instruction is: Face to Face - On Campus.Some seats saved for School of Art majors and new transfer students.
Spring_2026,AH,300,AH 300,ART HISTORY CAREERS,3,,01,7335,Spring_2026|AH 300|01|7335,FALSE,\N,311,SEM,Tu,7-9:45PM,,FA4-311,Carnahan A,Class instruction is: Hybrid (Face to Face & Synch).Some seats saved for School of Art majors and new transfer students.
Spring_2026,AH,300,AH 300,ART HISTORY CAREERS,3,,01,\N,Spring_2026|AH 300|01|NOCLASS|05720d5d730813ec,FALSE,\N,,,Tu,7-9:45PM,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,AH,401,AH 401,AMERICAN ART TO 1900,3,,01,4910,Spring_2026|AH 401|01|4910,FALSE,\N,"1,310",SEM,Th,9-11:45AM,,FA4-307,Burch K,Class instruction is: Face to Face - On Campus.Some seats saved for School of Art majors and new transfer students.
