term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ART,101,ART 101,ARTISTS IN THEIR OWN WORDS,1,GE: E,01,4883,Spring_2026|ART 101|01|4883,FALSE,\N,310,ACT,Tu,5-6:50PM,available,UT-108,Preiss E,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,01,4352,Spring_2026|ART 121|01|4352,FALSE,\N,"12,116,310",ACT,M,4-5:50PM,,FA3-114,Krakowski M,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,02,4353,Spring_2026|ART 121|02|4353,FALSE,\N,"12,116,310",ACT,M,1-2:50PM,,FA3-114,Krakowski M,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,03,4354,Spring_2026|ART 121|03|4354,FALSE,\N,"12,116,310",ACT,M,9-10:50AM,,FA3-114,Parrott J,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,04,4355,Spring_2026|ART 121|04|4355,FALSE,\N,"12,116,310",ACT,Tu,7-8:50PM,available,FA3-114,Gilliland Swetland T,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,05,4356,Spring_2026|ART 121|05|4356,FALSE,\N,"12,116,310",ACT,W,4-5:50PM,,FA3-114,Gilliland Swetland T,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,06,4357,Spring_2026|ART 121|06|4357,FALSE,\N,"12,116,310",ACT,W,1-2:50PM,,FA3-114,Krakowski M,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,07,4358,Spring_2026|ART 121|07|4358,FALSE,\N,"12,116,310",ACT,F,9-10:50AM,,FA3-114,Barr-Jones L,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,08,4359,Spring_2026|ART 121|08|4359,FALSE,\N,"12,116,310",ACT,F,11-12:50PM,,FA3-114,Barr-Jones L,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,09,4360,Spring_2026|ART 121|09|4360,FALSE,\N,"12,116,310",ACT,Tu,3-4:50PM,,FA3-114,Krebs N,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,10,4532,Spring_2026|ART 121|10|4532,FALSE,\N,"12,116,310",ACT,Th,4-5:50PM,,FA3-114,Barr-Jones L,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,11,4533,Spring_2026|ART 121|11|4533,FALSE,\N,"12,116,310",ACT,Th,6-7:50PM,,FA3-114,Gilliland Swetland T,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,12,4534,Spring_2026|ART 121|12|4534,FALSE,\N,"12,116,310",ACT,W,9-10:50AM,,FA3-114,Krakowski M,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,13,4716,Spring_2026|ART 121|13|4716,FALSE,\N,"12,116,310",ACT,Tu,9-10:50AM,,FA3-114,Nannery M,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,14,4717,Spring_2026|ART 121|14|4717,FALSE,\N,"12,116,310",ACT,Tu,1-2:50PM,,FA3-114,Krebs N,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,15,4807,Spring_2026|ART 121|15|4807,FALSE,\N,"12,116,310",ACT,M,7-8:50PM,,FA3-114,Taber R,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,16,4815,Spring_2026|ART 121|16|4815,FALSE,\N,"12,116,310",ACT,Th,1-2:50PM,,FA3-114,Parrott J,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,17,8075,Spring_2026|ART 121|17|8075,FALSE,\N,"12,116,310",ACT,Sa,9-10:50AM,available,FA3-114,Joven C,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,18,8119,Spring_2026|ART 121|18|8119,FALSE,\N,"12,116,310",ACT,F,1:30-3:20PM,,FA3-114,Barr-Jones L,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,121,ART 121,SAFETY AND SUSTAINABLE PRACTIC,1,GE: E,19,9610,Spring_2026|ART 121|19|9610,FALSE,\N,"12,116",ACT,Sa,11-12:50PM,available,FA3-114,Joven C,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,130,ART 130,FOUNDATION TWO-DIMENSIONAL,3,,01,2642,Spring_2026|ART 130|01|2642,FALSE,\N,"116,310",ACT,TuTh,9-11:45AM,available,FA4-222,Familton K,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,130,ART 130,FOUNDATION TWO-DIMENSIONAL,3,,02,3462,Spring_2026|ART 130|02|3462,FALSE,\N,"116,310",ACT,MW,9-11:45AM,available,FA4-222,Atherton J,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,130,ART 130,FOUNDATION TWO-DIMENSIONAL,3,,03,5569,Spring_2026|ART 130|03|5569,FALSE,\N,"116,310",ACT,MW,4-6:45PM,available,FA4-222,Case C,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,131,ART 131,FOUNDATION THREE DIMENSIONAL,3,,01,1019,Spring_2026|ART 131|01|1019,FALSE,\N,"116,310",ACT,MW,9-11:45AM,,FA3-112,Gilliland Swetland T,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,131,ART 131,FOUNDATION THREE DIMENSIONAL,3,,02,2477,Spring_2026|ART 131|02|2477,FALSE,\N,"116,310",ACT,TuTh,9-11:45AM,,FA3-112,Crockett B,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,131,ART 131,FOUNDATION THREE DIMENSIONAL,3,,03,5033,Spring_2026|ART 131|03|5033,FALSE,\N,"116,310",ACT,TuTh,4-6:45PM,available,FA3-112,Lee N,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,131,ART 131,FOUNDATION THREE DIMENSIONAL,3,,04,6368,Spring_2026|ART 131|04|6368,FALSE,\N,"116,310",ACT,MW,4-6:45PM,,FA3-112,Porte R,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,131,ART 131,FOUNDATION THREE DIMENSIONAL,3,,05,6369,Spring_2026|ART 131|05|6369,FALSE,\N,"116,310",ACT,MW,1-3:45PM,,FA3-112,Goodall M,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,131,ART 131,FOUNDATION THREE DIMENSIONAL,3,,06,9038,Spring_2026|ART 131|06|9038,FALSE,\N,"116,310,115",ACT,F,9-3:45PM,available,FA3-112,Barton S,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,132,ART 132,FOUNDATION COLOR THEORY,3,,01,2550,Spring_2026|ART 132|01|2550,FALSE,\N,"1,116,310",ACT,MW,1-3:45PM,,FA4-222,Atherton J,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,132,ART 132,FOUNDATION COLOR THEORY,3,,02,7336,Spring_2026|ART 132|02|7336,FALSE,\N,"1,116,310",ACT,TuTh,4-6:45PM,available,FA4-222,Nannery M,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,181,ART 181,FOUNDATION DRAWING,3,,01,1021,Spring_2026|ART 181|01|1021,FALSE,\N,"116,310",ACT,MW,1-3:45PM,,FA4-113,Norcliffe H,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,181,ART 181,FOUNDATION DRAWING,3,,02,5780,Spring_2026|ART 181|02|5780,FALSE,\N,"116,310",ACT,MW,9-11:45AM,,FA4-113,Ceravolo T,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,181,ART 181,FOUNDATION DRAWING,3,,03,6845,Spring_2026|ART 181|03|6845,FALSE,\N,"116,310",ACT,TuTh,9-11:45AM,,FA4-215,Bond K,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,181,ART 181,FOUNDATION DRAWING,3,,04,6846,Spring_2026|ART 181|04|6846,FALSE,\N,"116,310",ACT,TuTh,9-11:45AM,,FA4-212,Evans K,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,181,ART 181,FOUNDATION DRAWING,3,,05,6847,Spring_2026|ART 181|05|6847,FALSE,\N,"116,310",ACT,TuTh,1-3:45PM,,FA4-212,Evans K,Class instruction is: Face to Face - On Campus.
Spring_2026,ART,184,ART 184,FOUNDATION LIFE DRAWING,3,,01,1022,Spring_2026|ART 184|01|1022,FALSE,\N,"116,310,1",ACT,MW,9-11:45AM,available,FA4-215,Stewart M,"Class instruction is: Face to Face - On Campus.Drawing from live, completely unclothed human figure.Some seats saved for New School of Art Transfer students."
Spring_2026,ART,184,ART 184,FOUNDATION LIFE DRAWING,3,,02,1023,Spring_2026|ART 184|02|1023,FALSE,\N,"116,310,1",ACT,TuTh,9-11:45AM,available,FA4-204,Lopez J,"Class instruction is: Face to Face - On Campus.Drawing from live, completely unclothed human figure.Some seats saved for New School of Art Transfer students."
