term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CINE,101,CINE 101,UNDERSTANDING CINEMA,3,GE: 3A (C1),01,10469,Spring_2026|CINE 101|01|10469,FALSE,\N,,LEC,M,4-6:45PM,,CINE-127,Vafaeisefat E,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,170,CINE 170,ON-SET SAFETY & BEST PRACTICES,3,,01,8256,Spring_2026|CINE 170|01|8256,FALSE,\N,,LEC,W,9-11:45AM,,CINE-207,Russo C,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,170,CINE 170,ON-SET SAFETY & BEST PRACTICES,3,,03,8258,Spring_2026|CINE 170|03|8258,FALSE,\N,,LEC,W,12-2:45PM,,CINE-207,Russo C,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,170,CINE 170,ON-SET SAFETY & BEST PRACTICES,3,,05,9896,Spring_2026|CINE 170|05|9896,FALSE,\N,,LEC,Tu,9:30-12:15PM,,CINE-207,Gurzi J,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,170,CINE 170,ON-SET SAFETY & BEST PRACTICES,3,,06,9897,Spring_2026|CINE 170|06|9897,FALSE,\N,,LEC,Tu,12:30-3:15PM,,CINE-207,Gurzi J,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,170,CINE 170,ON-SET SAFETY & BEST PRACTICES,3,,07,8262,Spring_2026|CINE 170|07|8262,FALSE,\N,,LEC,Th,9:30-12:15PM,,CINE-201,Ketcham K,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,170,CINE 170,ON-SET SAFETY & BEST PRACTICES,3,,08,8263,Spring_2026|CINE 170|08|8263,FALSE,\N,,LEC,Th,12:30-3:15PM,,CINE-201,Ketcham K,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,170,CINE 170,ON-SET SAFETY & BEST PRACTICES,3,,09,9952,Spring_2026|CINE 170|09|9952,FALSE,\N,,LEC,M,9-11:45AM,,CINE-109,Mahoney T,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,170,CINE 170,ON-SET SAFETY & BEST PRACTICES,3,,10,10442,Spring_2026|CINE 170|10|10442,FALSE,\N,,LEC,Tu,12:30-3:15PM,,CINE-101,Hayward K,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,201,CINE 201,FILM HISTORY I: ORIGINS-1960,3,,01,10470,Spring_2026|CINE 201|01|10470,FALSE,\N,,LEC,F,9-10:50AM,available,CINE-127,Gendler J,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,201,CINE 201,FILM HISTORY I: ORIGINS-1960,3,,02,10471,Spring_2026|CINE 201|02|10471,FALSE,\N,,ACT,F,11-12:50PM,available,CINE-127,Gendler J,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,202,CINE 202,FILM HISTORY II: 1960-PRESENT,3,,01,8264,Spring_2026|CINE 202|01|8264,FALSE,\N,,LEC,M,12-1:50PM,,CINE-127,Wagner P,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,202,CINE 202,FILM HISTORY II: 1960-PRESENT,3,,02,8265,Spring_2026|CINE 202|02|8265,FALSE,\N,,ACT,M,2-3:50PM,,CINE-127,Wagner P,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,207,CINE 207,INTRODUCTION TO SCREENWRITING,3,,01,8274,Spring_2026|CINE 207|01|8274,FALSE,\N,,SEM,Th,9:30-12:15PM,,CINE-101,Geib G,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,207,CINE 207,INTRODUCTION TO SCREENWRITING,3,,02,8275,Spring_2026|CINE 207|02|8275,FALSE,\N,,SEM,Tu,12:30-3:15PM,,CINE-201,Blackburn B,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,207,CINE 207,INTRODUCTION TO SCREENWRITING,3,,05,9953,Spring_2026|CINE 207|05|9953,FALSE,\N,,SEM,Tu,9:30-12:15PM,,CINE-109,Reyes Loo E,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,207,CINE 207,INTRODUCTION TO SCREENWRITING,3,,06,8278,Spring_2026|CINE 207|06|8278,FALSE,\N,,SEM,W,3-5:45PM,available,CINE-203,Blackburn B,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,207,CINE 207,INTRODUCTION TO SCREENWRITING,3,,07,8279,Spring_2026|CINE 207|07|8279,FALSE,\N,,SEM,W,6-8:45PM,available,CINE-203,Jackson Q,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,207,CINE 207,INTRODUCTION TO SCREENWRITING,3,,09,8281,Spring_2026|CINE 207|09|8281,FALSE,\N,,SEM,F,1-3:45PM,,CINE-203,Vafaeisefat E,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,207,CINE 207,INTRODUCTION TO SCREENWRITING,3,,10,9954,Spring_2026|CINE 207|10|9954,FALSE,\N,,SEM,W,9-11:45AM,,CINE-109,Vafaeisefat E,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,207,CINE 207,INTRODUCTION TO SCREENWRITING,3,,11,11012,Spring_2026|CINE 207|11|11012,FALSE,\N,310,SEM,Th,5-7:45PM,available,CINE-207,Reyes Loo E,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,220,CINE 220,THE VISUAL STORY,3,,01,9141,Spring_2026|CINE 220|01|9141,FALSE,\N,,LEC,M,12-2:45PM,,CINE-109,Winchell Q,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,220,CINE 220,THE VISUAL STORY,3,,02,9142,Spring_2026|CINE 220|02|9142,FALSE,\N,,LEC,M,3-5:45PM,,CINE-109,Winchell Q,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,220,CINE 220,THE VISUAL STORY,3,,03,10404,Spring_2026|CINE 220|03|10404,FALSE,\N,,LEC,Tu,4-6:45PM,,CINE-109,Kelly A,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,220,CINE 220,THE VISUAL STORY,3,,04,9143,Spring_2026|CINE 220|04|9143,FALSE,\N,,LEC,Tu,3:30-6:15PM,,CINE-207,Corbin N,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,220,CINE 220,THE VISUAL STORY,3,,05,9144,Spring_2026|CINE 220|05|9144,FALSE,\N,,LEC,W,12-2:45PM,,CINE-109,Boyd-Batstone K,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,220,CINE 220,THE VISUAL STORY,3,,08,9146,Spring_2026|CINE 220|08|9146,FALSE,\N,,LEC,Th,12:30-3:15PM,,CINE-109,Corbin N,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,220,CINE 220,THE VISUAL STORY,3,,09,9147,Spring_2026|CINE 220|09|9147,FALSE,\N,,LEC,Th,3:30-6:15PM,,CINE-109,Corbin N,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,220,CINE 220,THE VISUAL STORY,3,,11,10466,Spring_2026|CINE 220|11|10466,FALSE,\N,310,LEC,Tu,3:30-6:15PM,,CINE-201,Sullivan L,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,272,CINE 272,EDITING I LAB,1,,01,9215,Spring_2026|CINE 272|01|9215,FALSE,\N,,ACT,Tu,9:30-11:20AM,available,SSC-060,Winiemko G,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,300,CINE 300,ORIENTATION TO CINEMATIC ARTS,2,,02,12627,Spring_2026|CINE 300|02|12627,FALSE,\N,310,SEM,W,1-2:50PM,available,CINE-203,Vafaeisefat E,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,301,CINE 301,CRITICAL DEBATES FILM & MEDIA,3,GE: 3UD (UDC),01,8282,Spring_2026|CINE 301|01|8282,FALSE,\N,,LEC,M,9-11:45AM,,CINE-127,Aquino R,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,301,CINE 301,CRITICAL DEBATES FILM & MEDIA,3,GE: 3UD (UDC),02,8283,Spring_2026|CINE 301|02|8283,FALSE,\N,,LEC,Tu,7-9:45PM,,CINE-127,Tsai B,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,301,CINE 301,CRITICAL DEBATES FILM & MEDIA,3,GE: 3UD (UDC),03,8284,Spring_2026|CINE 301|03|8284,FALSE,\N,,LEC,M,7-9:45PM,,CINE-127,Wagner P,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,301,CINE 301,CRITICAL DEBATES FILM & MEDIA,3,GE: 3UD (UDC),06,9658,Spring_2026|CINE 301|06|9658,FALSE,\N,310,LEC,Th,6:30-9:15PM,,CINE-127,Jeong S,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,307,CINE 307,PRODUCTION SOUND,3,,01,8285,Spring_2026|CINE 307|01|8285,FALSE,\N,,ACT,F,12-3:45PM,available,SSC-060,Tomlinson J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CINE,307,CINE 307,PRODUCTION SOUND,3,,01,\N,Spring_2026|CINE 307|01|NOCLASS|3f4b4f04eb9dea72,FALSE,\N,,,F,12-3:45PM,,CINE-109,Tomlinson J,additional meeting detail
Spring_2026,CINE,307,CINE 307,PRODUCTION SOUND,3,,01,\N,Spring_2026|CINE 307|01|NOCLASS|21e1277e30a6b608,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Tomlinson J,additional meeting detail
Spring_2026,CINE,307,CINE 307,PRODUCTION SOUND,3,,02,9762,Spring_2026|CINE 307|02|9762,FALSE,\N,310,ACT,Tu,12:30-4:15PM,,SSC-060,Tomlinson J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CINE,307,CINE 307,PRODUCTION SOUND,3,,02,\N,Spring_2026|CINE 307|02|NOCLASS|ab150f0556ced8fb,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Tomlinson J,additional meeting detail
Spring_2026,CINE,310,CINE 310,WORLD AND CULTURE THRU FILM,3,GE: 3UD (UDC),03,9070,Spring_2026|CINE 310|03|9070,FALSE,\N,,LEC,M,6-8:45PM,,CINE-201,Smith L,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,310,CINE 310,WORLD AND CULTURE THRU FILM,3,GE: 3UD (UDC),04,9071,Spring_2026|CINE 310|04|9071,FALSE,\N,,LEC,Th,7-9:45PM,available,CINE-203,Guerra K,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,310,CINE 310,WORLD AND CULTURE THRU FILM,3,GE: 3UD (UDC),05,9072,Spring_2026|CINE 310|05|9072,FALSE,\N,,LEC,Tu,7-9:45PM,available,CINE-203,Guerra K,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,310,CINE 310,WORLD AND CULTURE THRU FILM,3,GE: 3UD (UDC),07,10465,Spring_2026|CINE 310|07|10465,FALSE,\N,310,LEC,M,3-5:45PM,,CINE-101,Li Z,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,310,CINE 310,WORLD AND CULTURE THRU FILM,3,GE: 3UD (UDC),08,11005,Spring_2026|CINE 310|08|11005,FALSE,\N,"34,34",LEC,Tu,4-6:45PM,available,CINE-203,Guerra K,Honors SectionClass instruction is: Face to Face - On Campus.
Spring_2026,CINE,313,CINE 313,SUSTAINABILITY AND FILM,3,,01,9867,Spring_2026|CINE 313|01|9867,FALSE,\N,,LEC,W,1-3:45PM,available,CINE-101,Hayward K,Class instruction is: Face to Face - On Campus.
Spring_2026,CINE,316,CINE 316,POPULAR CULTURE AND MEDIA,3,GE: 3UD (UDC),01,8287,Spring_2026|CINE 316|01|8287,FALSE,\N,,LEC,M,3-5:45PM,,CINE-203,Jeong S,Class instruction is: Face to Face - On Campus.
