term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,DANC,101,DANC 101,INTRODUCTION TO MODERN DANCE,3,GE: 3A (C1),01,1825,Spring_2026|DANC 101|01|1825,FALSE,\N,"5,310",LEC,MW,2-3:15PM,available,DC-S124,Ernst A,Class instruction is: Face to Face - On Campus.
Spring_2026,DANC,101,DANC 101,INTRODUCTION TO MODERN DANCE,3,GE: 3A (C1),02,8828,Spring_2026|DANC 101|02|8828,FALSE,\N,"5,310",LEC,MW,3:30-4:45PM,available,DC-S316,Linggi-Perez S,Class instruction is: Face to Face - On Campus.
Spring_2026,DANC,101,DANC 101,INTRODUCTION TO MODERN DANCE,3,GE: 3A (C1),04,8829,Spring_2026|DANC 101|04|8829,FALSE,\N,"5,310",LEC,TuTh,3:30-4:45PM,available,DC-S125,Ogle M,Class instruction is: Face to Face - On Campus.
Spring_2026,DANC,102,DANC 102,INTRODUCTION TO BALLET,3,GE: 3A (C1),02,6866,Spring_2026|DANC 102|02|6866,FALSE,\N,"5,305",LEC,NA,NA,,ONLINE-ONLY,Johnson L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,DANC,103,DANC 103,INTRODUCTION TO JAZZ,3,GE: 3A (C1),01,4472,Spring_2026|DANC 103|01|4472,FALSE,\N,"5,310",LEC,MW,5:30-6:45PM,available,DC-S124,Atkinson Z,Class instruction is: Face to Face - On Campus.
Spring_2026,DANC,103,DANC 103,INTRODUCTION TO JAZZ,3,GE: 3A (C1),02,8922,Spring_2026|DANC 103|02|8922,FALSE,\N,"5,305",LEC,NA,NA,,ONLINE-ONLY,Jankovic T,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,DANC,104,DANC 104,INTRODUCTION TO TAP,3,GE: 3A (C1),01,5113,Spring_2026|DANC 104|01|5113,FALSE,\N,"5,307",LEC,Tu,9:30-10:45AM,,DC-S317,Zee S,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,DANC,104,DANC 104,INTRODUCTION TO TAP,3,GE: 3A (C1),01,\N,Spring_2026|DANC 104|01|NOCLASS|4a5613bb67c45a12,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,DANC,104,DANC 104,INTRODUCTION TO TAP,3,GE: 3A (C1),02,8834,Spring_2026|DANC 104|02|8834,FALSE,\N,"5,307",LEC,Th,9:30-10:45AM,available,DC-S317,Zee S,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,DANC,104,DANC 104,INTRODUCTION TO TAP,3,GE: 3A (C1),02,\N,Spring_2026|DANC 104|02|NOCLASS|c347c255fb65d2ec,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Zee S,additional meeting detail
Spring_2026,DANC,107,DANC 107,INTRO STREET AND CLUB DANCES,3,GE: 3A (C1),01,5645,Spring_2026|DANC 107|01|5645,FALSE,\N,"5,310",LEC,MW,9:30-10:45AM,available,DC-S317,Kao C,Class instruction is: Face to Face - On Campus.
Spring_2026,DANC,107,DANC 107,INTRO STREET AND CLUB DANCES,3,GE: 3A (C1),03,8837,Spring_2026|DANC 107|03|8837,FALSE,\N,"5,305",LEC,NA,NA,,ONLINE-ONLY,Campion A,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,DANC,107,DANC 107,INTRO STREET AND CLUB DANCES,3,GE: 3A (C1),04,12348,Spring_2026|DANC 107|04|12348,FALSE,\N,"5,310",LEC,TuTh,2-3:15PM,,DC-S320,Akuchu T,Class instruction is: Face to Face - On Campus.
Spring_2026,DANC,109A,DANC 109A,STREET AND CLUB DANCES I,2,,01,8877,Spring_2026|DANC 109A|01|8877,FALSE,\N,"5,310",LAB,TuThF,11-12:40PM,,DC-S320,Medina R,Class instruction is: Face to Face - On Campus.Some seats are reserved for dance majors/pre-majors only
Spring_2026,DANC,110,DANC 110,VIEWING DANCE,3,GE: 3A (C1),01,1192,Spring_2026|DANC 110|01|1192,FALSE,\N,"5,305",LEC,NA,NA,,ONLINE-ONLY,Jandasek F,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,DANC,114B,DANC 114B,INTERMEDIATE BALLET,2,,01,5644,Spring_2026|DANC 114B|01|5644,FALSE,\N,"5,310",ACT,TuTh,9-10:40AM,available,DC-S123,Berthiaume K,Class instruction is: Face to Face - On Campus.
Spring_2026,DANC,116B,DANC 116B,JAZZ TECHNIQUE I,2,,01,10629,Spring_2026|DANC 116B|01|10629,FALSE,\N,"304,310",ACT,MW,11-12:40PM,,DC-S316,Wolff M,Class instruction is: Face to Face - On Campus.Seats are reserved for dance majors/pre-majors
Spring_2026,DANC,117,DANC 117,BEGINNING TAP TECHNIQUE,2,,01,6867,Spring_2026|DANC 117|01|6867,FALSE,\N,"5,310",ACT,TuTh,1-2:40PM,available,DC-S317,Zee S,Class instruction is: Face to Face - On Campus.
