term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,DESN,110,DESN 110,FOUNDATION DESIGN HISTORY,3,GE: 3A (C1),01,8125,Spring_2026|DESN 110|01|8125,FALSE,\N,306,LEC,TuTh,2-3:15PM,,ONLINE-ONLY,Tredway T,"Class instruction is: Synch. Online - Meet Times.Seats are reserved for pre Design and Design Majors in the Design Department (BFA, BA and BS) only from 10/06/25-2/3/26."
Spring_2026,DESN,120A,DESN 120A,FUNDAMENTALS OF DESIGN,3,,01,9327,Spring_2026|DESN 120A|01|9327,FALSE,\N,"310,17",ACT,MW,4-6:45PM,available,HSD-105,Luddy B,Class instruction is: Face to Face - On Campus.
Spring_2026,DESN,120B,DESN 120B,FUNDAMENTALS OF DESIGN,3,,01,7722,Spring_2026|DESN 120B|01|7722,FALSE,\N,310,ACT,TuTh,1-3:45PM,available,DESN-105,LaForte M,Class instruction is: Face to Face - On Campus.
Spring_2026,DESN,120B,DESN 120B,FUNDAMENTALS OF DESIGN,3,,03,7004,Spring_2026|DESN 120B|03|7004,FALSE,\N,310,ACT,MW,9-11:45AM,available,DESN-105,Luddy B,Class instruction is: Face to Face - On Campus.
Spring_2026,DESN,120B,DESN 120B,FUNDAMENTALS OF DESIGN,3,,04,7952,Spring_2026|DESN 120B|04|7952,FALSE,\N,310,ACT,MW,1-3:45PM,,DESN-115,Perez E,Class instruction is: Face to Face - On Campus.
Spring_2026,DESN,120B,DESN 120B,FUNDAMENTALS OF DESIGN,3,,05,8801,Spring_2026|DESN 120B|05|8801,FALSE,\N,310,ACT,TuTh,9-11:45AM,,HSD-105,Menard D,Class instruction is: Face to Face - On Campus.
Spring_2026,DESN,120B,DESN 120B,FUNDAMENTALS OF DESIGN,3,,07,9397,Spring_2026|DESN 120B|07|9397,FALSE,\N,"1,17,310",ACT,MW,8-10:45AM,available,DESN-115,Reed J,Class instruction is: Face to Face - On Campus.
Spring_2026,DESN,130,DESN 130,PERSPECTIVE RENDERNG INTERIORS,3,,01,4765,Spring_2026|DESN 130|01|4765,FALSE,\N,311,ACT,TuTh,1-3:45PM,available,DESN-111,Adair J,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,DESN,130,DESN 130,PERSPECTIVE RENDERNG INTERIORS,3,,01,\N,Spring_2026|DESN 130|01|NOCLASS|6d5c67f8e27d3c95,FALSE,\N,,,TuTh,1-3:45PM,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,DESN,132A,DESN 132A,PERSPECTIVE & RENDER SYSTEMS,3,,01,2910,Spring_2026|DESN 132A|01|2910,FALSE,\N,,ACT,MW,9-11:45AM,available,HSD-105,LaForte M,Class instruction is: Face to Face - On Campus.
