term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,MUS,100A,MUS 100A,CONCERT BAND,1,,01,7079,Spring_2026|MUS 100A|01|7079,FALSE,\N,5,ACT,Tu,7-9:45PM,available,UMC-A311,Garza M,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100B,MUS 100B,SYMPHONIC BAND,1,,01,1434,Spring_2026|MUS 100B|01|1434,FALSE,\N,110,ACT,TuTh,1-3:15PM,available,UMC-A100,Friedrich A,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100C,MUS 100C,WIND SYMPHONY,1,,01,1435,Spring_2026|MUS 100C|01|1435,FALSE,\N,110,ACT,TuTh,1-3:15PM,available,UMC-A311,Arnold J,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100D,MUS 100D,BEL CANTO,1,,01,10496,Spring_2026|MUS 100D|01|10496,FALSE,\N,,ACT,TuTh,3-4:50PM,available,UMC-A301,Sokolov Z,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100D,MUS 100D,BEL CANTO,1,,01,\N,Spring_2026|MUS 100D|01|NOCLASS|7635b4f9defde8e1,FALSE,\N,,,F,1-1:50PM,,UMC-A100,Sokolov Z,additional meeting detail
Spring_2026,MUS,100E,MUS 100E,CONCHORD CHOIR,1,,01,6530,Spring_2026|MUS 100E|01|6530,FALSE,\N,"310,5",ACT,Tu,7-9:45PM,available,UMC-A301,Mitton A,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100F,MUS 100F,UNIVERSITY CHOIR,1,,01,1436,Spring_2026|MUS 100F|01|1436,FALSE,\N,110,ACT,TuTh,1-2:50PM,available,UMC-A301,Talberg J,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100F,MUS 100F,UNIVERSITY CHOIR,1,,01,\N,Spring_2026|MUS 100F|01|NOCLASS|0df8844f2cf74268,FALSE,\N,,,F,1-1:50PM,,UMC-A301,Talberg J,additional meeting detail
Spring_2026,MUS,100G,MUS 100G,CHAMBER CHOIR,1,,01,1437,Spring_2026|MUS 100G|01|1437,FALSE,\N,110,ACT,MW,1-2:50PM,available,UMC-A301,Talberg J,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100G,MUS 100G,CHAMBER CHOIR,1,,01,\N,Spring_2026|MUS 100G|01|NOCLASS|c3a3e94e0c68ab58,FALSE,\N,,,F,2-2:50PM,,UMC-A301,Talberg J,additional meeting detail
Spring_2026,MUS,100H,MUS 100H,CHAMBER ORCHESTRA,1,,01,8953,Spring_2026|MUS 100H|01|8953,FALSE,\N,,ACT,MW,1-2:50PM,,UMC-A311,Stosch J,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100H,MUS 100H,CHAMBER ORCHESTRA,1,,02,10498,Spring_2026|MUS 100H|02|10498,FALSE,\N,,ACT,MW,3-4:50PM,,UMC-A311,Stosch J,Class instruction is: Face to Face - On Campus.
Spring_2026,MUS,100I,MUS 100I,ORCHESTRA AT THE BEACH,1,,01,7082,Spring_2026|MUS 100I|01|7082,FALSE,\N,,ACT,Th,7-9:45PM,available,UMC-A311,Jalo R,Class instruction is: Face to Face - On Campus.
