term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,THEA,103,THEA 103,TEXT ANALYSIS,3,,02,8797,Spring_2026|THEA 103|02|8797,FALSE,\N,,LEC,TuTh,2-3:15PM,,TA-133,Nathan J,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,110B,THEA 110B,THEA ARTS ACTIVITY-CAST,1,,01,3342,Spring_2026|THEA 110B|01|3342,FALSE,\N,,ACT,NA,NA,available,TA-120,Hayter K,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,111,THEA 111,THEATRE ARTS SHOWCASE,1,,01,4056,Spring_2026|THEA 111|01|4056,FALSE,\N,,ACT,NA,NA,available,TA-131,Loughrey P,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,112,THEA 112,BEGINNING VOICE AND SPEECH,3,,01,7111,Spring_2026|THEA 112|01|7111,FALSE,\N,,LEC,M,3-4:50PM,available,TA-241,Seiple T,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,112,THEA 112,BEGINNING VOICE AND SPEECH,3,,02,7112,Spring_2026|THEA 112|02|7112,FALSE,\N,,ACT,W,3-4:50PM,available,TA-241,Seiple T,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),01,1758,Spring_2026|THEA 113|01|1758,FALSE,\N,"6,10",SEM,MW,8-9:15AM,available,TA-038,Trudgeon T,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),02,1759,Spring_2026|THEA 113|02|1759,FALSE,\N,"6,10",SEM,MW,9:30-10:45AM,,TA-131,Trudgeon T,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),04,8854,Spring_2026|THEA 113|04|8854,FALSE,\N,,SEM,MW,11-12:15PM,available,TA-038,Bange C,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),05,8855,Spring_2026|THEA 113|05|8855,FALSE,\N,,SEM,MW,11-12:15PM,available,TA-131,Hutchman R,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),06,8856,Spring_2026|THEA 113|06|8856,FALSE,\N,,SEM,MW,12:30-1:45PM,,TA-037,Dietze A,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),07,8857,Spring_2026|THEA 113|07|8857,FALSE,\N,,SEM,MW,12:30-1:45PM,,TA-038,Richardson J,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),08,8858,Spring_2026|THEA 113|08|8858,FALSE,\N,,SEM,MW,2-3:15PM,,TA-037,Woollen J,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),09,8859,Spring_2026|THEA 113|09|8859,FALSE,\N,,SEM,MW,2-3:15PM,available,TA-133,Richardson J,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),10,8860,Spring_2026|THEA 113|10|8860,FALSE,\N,,SEM,MW,3:30-4:45PM,available,TA-037,Underwood S,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),11,8862,Spring_2026|THEA 113|11|8862,FALSE,\N,,SEM,MW,5-6:15PM,available,TA-037,Underwood S,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),13,8864,Spring_2026|THEA 113|13|8864,FALSE,\N,,SEM,TuTh,9:30-10:45AM,available,TA-241,Senghore M,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),14,8865,Spring_2026|THEA 113|14|8865,FALSE,\N,,SEM,TuTh,9:30-10:45AM,available,TA-037,Prior R,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),16,8848,Spring_2026|THEA 113|16|8848,FALSE,\N,,SEM,TuTh,11-12:15PM,available,TA-241,Prior R,Class instruction is: Face to Face - On Campus.
Spring_2026,THEA,113,THEA 113,INTRO TO ACTING,3,GE: 3A (C1),17,8849,Spring_2026|THEA 113|17|8849,FALSE,\N,,SEM,TuTh,12:30-1:45PM,available,TA-038,Senghore M,Class instruction is: Face to Face - On Campus.
