term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,01,7806,Spring_2026|ES 100A|01|7806,FALSE,\N,,ACT,Tu,11-12:15PM,,AS-233,Flores Del Cid H,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,02,7807,Spring_2026|ES 100A|02|7807,FALSE,\N,,ACT,M,11-12:15PM,,AS-233,Flores Del Cid H,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,03,7808,Spring_2026|ES 100A|03|7808,FALSE,\N,,ACT,M,12-12:50PM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,04,7809,Spring_2026|ES 100A|04|7809,FALSE,\N,,ACT,Tu,10-10:50AM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,05,7810,Spring_2026|ES 100A|05|7810,FALSE,\N,,ACT,M,12-12:50PM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,06,7811,Spring_2026|ES 100A|06|7811,FALSE,\N,,ACT,Tu,10-10:50AM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,07,7812,Spring_2026|ES 100A|07|7812,FALSE,\N,,ACT,M,2-2:50PM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,08,7813,Spring_2026|ES 100A|08|7813,FALSE,\N,,ACT,M,2-2:50PM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,09,7814,Spring_2026|ES 100A|09|7814,FALSE,\N,,ACT,M,11-11:50AM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,10,7815,Spring_2026|ES 100A|10|7815,FALSE,\N,,ACT,Th,10-10:50AM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,11,7925,Spring_2026|ES 100A|11|7925,FALSE,\N,,ACT,M,11-11:50AM,,VEC-501,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,12,7816,Spring_2026|ES 100A|12|7816,FALSE,\N,,ACT,Th,10-10:50AM,,CPCE-208,Reyes A,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,13,7924,Spring_2026|ES 100A|13|7924,FALSE,\N,,ACT,W,8:30-9:20AM,,CPCE-307,Zuniga C,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,14,7817,Spring_2026|ES 100A|14|7817,FALSE,\N,,ACT,W,10-10:50AM,,CPCE-308,Zuniga C,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,15,7818,Spring_2026|ES 100A|15|7818,FALSE,\N,,ACT,W,1-1:50PM,,CPCE-307,Zuniga C,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,16,7819,Spring_2026|ES 100A|16|7819,FALSE,\N,,ACT,Tu,8:30-9:20AM,,CPCE-307,Zuniga C,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,17,7820,Spring_2026|ES 100A|17|7820,FALSE,\N,,ACT,Tu,10-10:50AM,,CPCE-308,Zuniga C,Class instruction is: Face to Face - On Campus.
Spring_2026,ES,100A,ES 100A,BEACH XP ACTIVITY I,0,,18,7821,Spring_2026|ES 100A|18|7821,FALSE,\N,,ACT,Tu,1-1:50PM,,CPCE-307,Saruwatari T,Class instruction is: Face to Face - On Campus.
