course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
A/ST 290,Selected Topics in Asian Studies,3,,,Consent of instructor,
A/ST 299,Directed Studies,,,,Consent of instructor,
A/ST 306,Traditional Asia,3,,,GE Foundation complete or sophomore standing for UD GE,
A/ST 307,Modern Asia,3,,,GE Foundation complete or sophomore standing for UD GE,
A/ST 309,Asia and Globalization,3,,,GE Foundation complete or sophomore standing for UD GE,
A/ST 311,Statistics and Asian Societies,3,,,GE Foundation complete or sophomore standing for UD GE,
A/ST 315,Modern Korea,3,,,GE Foundation complete or sophomore standing for UD GE,
A/ST 320,Asian Films: Culture and Identity,3,,,Students must have scored 11 or higher on the GWAR Placement Examination or,
A/ST 336,Politics and Literature in Southeast Asia,3,,,"GE Foundation requirements, one or more Explorations courses, and upper-division",
A/ST 393,Japan: Continuities and Transformations,3,,,GE Foundation complete or sophomore standing for UD GE,
A/ST 428,Korean Cinema,3,,,Completion of GE Foundation courses with “C” or better,
A/ST 429,Japanese Cinema,3,,,Completion of GE Foundation courses with “C” or better,
A/ST 462,East Asian Cinemas,3,,,Completion of GE Foundation requirements; upper-division standing,Completion of GE Foundation requirements; upper-division standing
A/ST 463,Southeast Asian Cinemas,3,,,Completion of GE Foundation requirements; upper-division standing,Completion of GE Foundation requirements; upper-division standing
A/ST 499,Directed Studies,,,,Consent of instructor,
A/ST 600,Asian Studies and Languages: Research and Methodologies,3,,,Graduate standing in Asian Studies or consent of instructor,
A/ST 620,Comparative Traditional Cultures of Asia,3,,,Graduate standing in Asian Studies or consent of instructor,
A/ST 630,Asia and Globalization,3,,,Graduate standing in Asian Studies or consent of instructor,
A/ST 692,Directed Research for Comprehensive Examination,3,,,Graduate Standing and Consent of Instructor,
A/ST 695,Directed Readings,,,,Graduate standing in Asian Studies and consent of graduate advisor,
A/ST 697,Research Capstone and Practicum,3,,,A/ST 600,
AAAS 492,Senior Research Seminar,3,,,"Upper-division standing in Asian Studies, Japanese, Chinese Studies, Asian American Studies, or consent of the instructor",
ACCT 202,Managerial Accounting,3,,,ACCT 201 with a “C” or better and Pre-Business and Business majors only.,
ACCT 300A,Intermediate Accounting,4,,,ACCT 201 with a grade of “C” or better. Accounting and Pre-Accounting majors only. Exclude freshmen.,ACCT 202
ACCT 300B,Intermediate Accounting,4,,,ACCT 300A with a grade of “C” or better. Accounting majors only. Exclude Freshmen.,
ACCT 320,Cost Accounting,4,,,ACCT 201 and ACCT 202 with a grade of “C” or better. Accounting and Pre-Accounting majors only. Freshmen excluded.,
ACCT 351,Federal Tax Law,4,,,ACCT 201 with a grade of “C” or better. Accounting majors only. Exclude freshman.,
ACCT 352,Voluntary Income Tax Assistance (VITA),1-4,,,ACCT 351,
ACCT 400,Advanced Accounting,4,,,ACCT 300B with grade of “C” or better,
ACCT 460,Accountants’ Professional Responsibilities and Ethics,3,,,"ACCT 300B with a grade of “C” or better, I S 301",
ACCT 465,International Accounting,3,,,ACCT 201,
ACCT 470,Auditing,4,,,ACCT 300B and ACCT 320 with grades of “C” or better; I S 301,
ACCT 480,Accounting Systems and Data Processing,4,,,ACCT 300B and ACCT 320 with grades of “C” or better; I S 300,
ACCT 493,Accounting Internships,3,,,ACCT 300A,
ACCT 495,Selected Topics in Accountancy,3,,,Consent of department chair. ACCT majors only. Freshmen excluded.,
ACCT 497,Directed Studies in Accountancy,1-4,,,Consent of department chair.,
ACCT 500,Financial Accounting,3,,,MBA Standing Required,
ACCT 601,Corporate Governance and Financial Reporting,4,,,MSA majors only.,
ACCT 603,Financial Statement Analysis,4,,,MSA majors only.,
ACCT 604,Forensic Accounting,2,,,MSA majors only.,
ACCT 605,Seminar in Accounting Information Systems,4,,,MSA majors only.,
ACCT 610,Managerial Accounting and Control,3,,,ACCT 500 and MBA majors only.,
ACCT 611,Seminar in Auditing and Assurance Services,4,,,MSA majors only.,
ACCT 612,Governmental and Non-Profit Accounting & Taxation,4,,,MSA majors only.,
ACCT 622,Taxation of Partnerships & S Corporations,4,,,MSA majors only.,
ACCT 623,Taxation of C Corporations and Shareholders,4,,,MSA majors only.,
ACCT 633,Accounting Database Systems,4,,,MSA standing.,
ACCT 695,Selected Topics in Accountancy,3,,,ACCT 500 and MBA majors only.,
ACCT 697,Directed Studies in Accountancy,1-4,,,ACCT 500,
ACCT 699,Accountant’s Professional Responsibilities and Ethics,4,,,ACCT 611,
AFRS 100A,Composition I,3,,,CSU General Education Written Communication Placement. Directed Self-Placement must be completed prior to enrollment.,
AFRS 100B,Composition II,3,,,CSU General Education Written Communication Placement; credit in ENGL 100A,
AFRS 110,Introduction to Africana Studies,3,,,One GE Foundation course,One GE Foundation course
AFRS 119,Introduction to Racial and Ethnic Studies,3,,,One GE Foundation course,One GE Foundation course
AFRS 120,African American History to 1865,3,,,One GE Foundation course,One GE Foundation course
AFRS 121,African American History Since 1865-Present,3,,,One GE Foundation course,One GE Foundation course
AFRS 140,Introduction to African American Literature,3,,,One GE Foundation course,One GE Foundation course
AFRS 154,Introduction to Africana Women’s Studies,3,,,One GE Foundation course,One GE Foundation course
AFRS 155,African American Music,3,,,One GE Foundation course,One GE Foundation course
AFRS 160,Introduction to Africana Arts,3,,,One GE Foundation course,One GE Foundation course
AFRS 170A,Elementary Swahili,4,,,Any Foundation course,Any Foundation course
AFRS 319,Racial and Ethnic Experience in the United States,3,,,"Completion of at least 60 units, completion of the entire Foundation, and completion of at least one GE Course from the Explorations stage.",
AFRS 325,Africana Psychology,3,,,AFRS 110 or PSY 100,
AFRS 330,Politics of the African American Community,3,,,AFRS 110 and AFRS 121,
AFRS 332,Civil Rights and the Law,3,,,GE Foundation requirements.,
AFRS 335,Economic Development in the African American Community,3,,,AFRS 110 and AFRS 121,
AFRS 343A,African Literature,3,,,GE Foundation requirements and one or more Exploration courses.,
AFRS 346,Africana Theatre,3,,,GE Foundation requirements.,
AFRS 353,Religions of African Peoples,3,,,"GE Foundation requirements, one or more Exploration courses and upper division standing.",
AFRS 354,African American Women and the Civil Rights Movement,3,,,GE Foundation requirements.,
AFRS 400,African American Social Thought,3,,,"GE Foundation requirements, one or more Exploration courses, and upper division standing.",
AFRS 410,The African American Family,3,,,GE Foundation requirements. AFRS 325 or consent of instructor.,
AFRS 440,Black Los Angeles,3,,,Completion of at least 60 units.,
AFRS 445,Africana Women’s Literary Tradition: Toni Morrison,3,,,GE Foundation Requirements.,
AFRS 454,Africana Womanism: An Intellectual History,3,,,"GE Foundation requirements, one or more exploration courses and upper division standing.",
AFRS 475,Racism and Sexism: An Analytical Approach,3,,,AFRS 332,
AFRS 490,Selected Topics in Africana Studies,3,,,Consent of instructor.,
AFRS 495,Research Methods in Africana Studies,3,,,AFRS 110 and 6 units upper-division work in Africana Studies. For Department majors.,
AFRS 498,Ancient Egyptian Ethical Thought,3,,,"GE Foundation requirements, one or more Exploration courses, and upper division standing.",
AFRS 499,Directed Studies,1 -3,,,Consent of instructor.,
AH 101,Introduction to Visual Culture,3,,,One GE Foundation course.,One GE Foundation course.
AH 111A,"Foundation Art History: Prehistory-c. 1500, Middle East, North",3,,,One GE Foundation course,One GE Foundation course
AH 111B,"Foundation Art History: c.1300-present, Europe and the United",3,,,One GE Foundation course,One GE Foundation course
AH 111C,Foundation Art History: Latin American Arts and Architecture,3,,,,One GE Foundation course
AH 111D,"Foundation Art History: Asia, Early Sacred Cultures",3,,,One GE Foundation course,One GE Foundation course
AH 111E,"Foundation Art History: Asia, Later Traditions",3,,,One GE Foundation course,One GE Foundation course
AH 111F,"Foundation Art History: Arts of Africa, Oceania, and Indigenous",3,,,,One GE Foundation course
AH 111G,Foundation Art History: Arts of Islamic Regions,3,,,,One GE Foundation course
AH 300,Art History Careers,3,,,"Any two courses from: AH 111A, AH 111B, AH 111C, AH 111D, AH 111E, AH 111F, AH",
AH 365,History of Prints and Drawings,3,,,AH 111A,
AH 400,19th Century Photography,3,,,AH 111A or AH 111B,
AH 401,American Art to 1900,3,,,AH 111A and AH 111B,
AH 408,Early Christian and Byzantine Art,3,,,AH 111A,
AH 409,Romanesque Art,3,,,AH 111A,
AH 410,Gothic Art,3,,,AH 111A or AH 111B,
AH 411,20th Century Photography to the Present,3,,,AH 111A,
AH 416,Greek Art,3,,,AH 111A,
AH 417,Roman Art,3,,,School of Art majors and Art History minors only. AH 111A and AH 111B,
AH 423,Early Renaissance Art in Italy,3,,,"School of Art majors, Pre-Art majors and Art History minors only. Exclude Freshmen.",
AH 424,High Renaissance Art in Italy,3,,,Two of the following courses: AH 111A,
AH 425,Northern Renaissance Art,3,,,AH 111A and AH 111B,
AH 426,Northern Baroque Art,3,,,AH 111A and AH 111B,
AH 427,Southern Baroque Art,3,,,AH 111A,
AH 430,Introduction to Curatorial Practices,3,,,AH 111A and AH 111B,
AH 431,History of Museums and Exhibitions,3,,,School of Art majors and Art History minors only. AH 111A,
AH 432,Introduction to Working in the Arts and Cultural Sector,3,,,One GE foundation course. Completion of at least 60 units.,
AH 433,Exhibition and Display Practices,3,,,GE Foundation completed. AH 111B or consent of instructor. GE Advanced Skills Capstone.,
AH 436,"Neo-Classicism to Romanticism, 1789-1850",3,,,AH 111A,
AH 437,"Impressionism to Post-Impressionism, 1850-1900",3,,,AH 111A and AH 111B,
AH 438,Art of Early to Mid-Twentieth Century,3,,,AH 111A and AH 111B,
AH 439,Art of Mid to Late Twentieth Century,3,,,AH 111A,
AH 440,"Public Art, Monuments and Memorials",3,,,One GE Foundation course completed. Completion of at least 60 units.,
AH 441,Contemporary Art in Context,3,,,AH 111A,
AH 444,History of Graphic Design,3,,,AH 111A,
AH 446,Art History Methodologies and Writing,3,,,"Art history majors and minors; other majors should have taken at least one upper- division Art History course, or permission of instructor. Completion of at least 60 units. GWAR portfolio course or score of 11 or higher on the",
AH 447,Historiography of Art History,3,,,Undergraduate Art History major with senior standing or consent of instructor.,
AH 450,Art Theory and Criticism,3,,,AH 111A and AH 111B,
AH 453,Arts of the African Diaspora,3,,,Art History minors. GE Foundation completed. Students must have scored 11 or higher on the GWAR Placement Examination or successfully completed the necessary portfolio course that is a prerequisite for a GWAR Writing AH 111A,
AH 454,Contemporary Indigenous Arts in the United States and American,3,,,GE Foundation completed. Art History minors.,
AH 455,Traditional Art of Africa: A Thematic Approach,3,,,AH 111A and AH 111B,
AH 456,Native American Art,3,,,AH 111A and AH 111B,
AH 457A,Pre-Columbian Art: Mesoamerica,3,,,Three units from AH 111A,
AH 457B,Pre-Columbian Art: The Andes,3,,,Three units from AH 111A,
AH 457C,Pre-Columbian Art,3,,,Three units from AH 111A,
AH 458,Art of Latin America: 1800-1940,3,,,,One of the following courses: AH 111A
AH 459,Art of Latin America: 1940-Present,3,,,Three units from AH 111A,
AH 460,Art of Mexico,3,,,Three units from AH 111A,
AH 465,Ancient Art of the Near East,3,,,Three units from AH 111A,
AH 466,Buddhist Art of India and S.E. Asia,3,,,Three units from AH 111A,
AH 467,Hindu and Islamic Art of India,3,,,Three units from AH 111A,
AH 468,Early Chinese Art,3,,,Three units from AH 111A,
AH 469,Later Chinese Art,3,,,Three units from AH 111A,
AH 470A,Japanese Buddhist Art to 1500,3,,,Three units from AH 111A,
AH 470B,Japanese Art 1500-1868,3,,,"AH 111A or AH 111B or AH 111D or AH 111E, or A/ST 393",
AH 471A,Modern Japanese Graphic Art,3,,,School of Art and Liberal Studies track I majors and Art History minors. Freshmen excluded.,
AH 471B,Modern Japanese Plastic Art,3,,,One of the following: AH 111A,
AH 471C,Modern Japanese Architecture,3,,,Three units from AH 111A,
AH 496,Special Studies in Art History,3,,,AH 447,
AH 497,Seminar in Art History,3,,,ART 311 or AH 446 or AH 453 or consent of instructor.,
AH 498,Selected Topics in Art History,3,,,Consent of instructor.,
AH 499Q,Special Studies in Museum Studies,3,,,AH 431 or consent of instructor.,
AH 500,19th Century Photography,3,,,"AH or ART graduate student, or consent of instructor.",
AH 501,American Art to 1900,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 508,Early Christian and Byzantine Art,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 509,Romanesque Art,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 510,Gothic Art,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 511,20th Century Photography to the Present,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 516,Greek Art,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 517,Roman Art,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 523,Early Renaissance Art in Italy,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 524,High Renaissance Art in Italy,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 525,Northern Renaissance Art,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 526,Northern Baroque Art,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 527,Southern Baroque Art,3,,,"Graduate standing in Art or Art History, or consent of instructor.",
AH 530,Introduction to Curatorial Practices,3,,,Graduate Standing in School of Art or consent of instructor.,
