term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,UHP,100,UHP 100,ANGLES OF VISION-HONORS,3,GE: 1B (A3),02,6801,Spring_2026|UHP 100|02|6801,FALSE,\N,34,SEM,MW,11-12:15PM,,VEC-516A,Walters K,Class instruction is: Face to Face - On Campus.
Spring_2026,UHP,100,UHP 100,ANGLES OF VISION-HONORS,3,GE: 1B (A3),03,12290,Spring_2026|UHP 100|03|12290,FALSE,\N,310,SEM,TuTh,12:30-1:45PM,,LA1-302,High J,Class instruction is: Face to Face - On Campus.
Spring_2026,UHP,201,UHP 201,SUSTNABILITY TECH IN LA HONORS,3,GE: 5A-WL (B1/B3),03,9744,Spring_2026|UHP 201|03|9744,FALSE,\N,"34,309",SEM,M,1-2:50PM,,ONLINE-ONLY,Najera C,Class instruction is: Online - Mixed Meet Times.
Spring_2026,UHP,201,UHP 201,SUSTNABILITY TECH IN LA HONORS,3,GE: 5A-WL (B1/B3),03,\N,Spring_2026|UHP 201|03|NOCLASS|9abed322899259c4,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Najera C,additional meeting detail
Spring_2026,UHP,201,UHP 201,SUSTNABILITY TECH IN LA HONORS,3,GE: 5A-WL (B1/B3),04,9745,Spring_2026|UHP 201|04|9745,FALSE,\N,"34,310",ACT,W,1-2:50PM,available,ET-105,Najera C,Class instruction is: Face to Face - On Campus.
Spring_2026,UHP,401,UHP 401,HIST LA INVENTION CITY HONORS,3,GE: 4UD (UDD),01,6550,Spring_2026|UHP 401|01|6550,FALSE,\N,34,SEM,TuTh,11-12:15PM,,SPA-111,Smith S,Class instruction is: Face to Face - On Campus.
Spring_2026,UHP,496A,UHP 496A,RSCH PARTICIPATION - HONORS I,1,,01,7922,Spring_2026|UHP 496A|01|7922,FALSE,\N,"34,179",SUP,M,2-2:50PM,,LA3-203,Wang O,"Class instruction is: Hybrid(Face to Face & Async).Meeting Dates: 01/26, 02/09, 02/23, 03/09, 03/23, 04/13, 04/27, 05/11"
Spring_2026,UHP,496A,UHP 496A,RSCH PARTICIPATION - HONORS I,1,,01,\N,Spring_2026|UHP 496A|01|NOCLASS|aa452c66dad0a010,FALSE,\N,,,TBA,NA,,ONLINE-ONLY,Wang O,additional meeting detail
Spring_2026,UHP,496A,UHP 496A,RSCH PARTICIPATION - HONORS I,1,,02,7923,Spring_2026|UHP 496A|02|7923,FALSE,\N,"34,179",SUP,Th,4-4:50PM,,LA2-206,Heidbrink L,"Class instruction is: Hybrid(Face to Face & Async).Meeting Dates: 01/22, 02/05, 02/19, 03/05, 03/19, 04/09, 04/23"
Spring_2026,UHP,496A,UHP 496A,RSCH PARTICIPATION - HONORS I,1,,02,\N,Spring_2026|UHP 496A|02|NOCLASS|de5d5c0d2d8375e6,FALSE,\N,,,TBA,NA,,ONLINE-ONLY,Heidbrink L,additional meeting detail
Spring_2026,UHP,496A,UHP 496A,RSCH PARTICIPATION - HONORS I,1,,03,12339,Spring_2026|UHP 496A|03|12339,FALSE,\N,"307,34",SUP,Tu,4-4:50PM,,LA3-203,Fouratt C,"Class instruction is: Hybrid(Face to Face & Async).Meeting Dates: 01/20, 02/03, 02/17, 03/03, 03/17, 04/07, 04/21, 05/05."
