course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
ACCT 300A,Intermediate Accounting,4,,,ACCT 201 with a grade of “C” or better. Accounting and Pre-Accounting majors only. Exclude freshmen.,ACCT 202
AH 458,Art of Latin America: 1800-1940,3,,,,One of the following courses: AH 111A
ANTH 329,Cultural Diversity in California,3,,,GE Foundation requirement. Students must have scored 11 or higher on the GWAR Placement Examination or successfully completed the necessary portfolio course that is a prerequisite for a GWAR Writing Completion of 60 Units.,Completion of 60 Units.
ANTH 405,Principles of Archaeology,3,,,ANTH 140 or Consent of Instructor Completion of 60 Units.,Completion of 60 Units.
ARAB 101B,Elementary Arabic 2,4,,,ARAB 101A,ARAB 101A
ART 132,Foundation Color Theory,3,,,ART 130,ART 130
ART 318,Advanced Studio: Graphic Design - TYPE II: Intermediate,3,,,For Art Majors and Pre-Art majors: ART 130,"For Art Majors and Pre-Art Majors: ART 184; ART 132, ART 241, ART 270 or"
ART 321,Graphic Design I: Introduction to Graphic Design,3,,,For Art Majors and Pre-Art Majors: ART 130,"For Art Majors and Pre-Art majors: ART 184; and ART 132, or ART 241, or"
ART 340,Core Studio: Photography - Darkroom,3,,,ART 130,ART 181
ART 342A,Core Studio: Photography - Color,3,,,ART 340,ART 340
ART 371B,Core Studio: Illustration - 2,3,,,ART 371A,ART 223
ART 388,Core Studio: Painting - Color Theory,3,,,ART 130,ART 130
ART 390,Drawing: Figures in Context,3,,,ART 184 or consent of instructor,"ART 371A or ART 291, or consent of instructor"
ART 393,Core Studio: Animation - Design 1,3,,,ART 184 or consent of instructor,ART 291 or ART 371A or consent of instructor
ART 394,Professional Practices in Illustration/Animation,3,,,ART 391,ART 391
ART 402,Core Studio: Animation - Story Art,3,,,ART 391,ART 311 or consent of instructor
ART 417,Advanced Animation Practices,3,,,ART 494A,ART 494A
ART 418,Advanced Studio: Animation - Design 2,3,,,BFA Illustration/Animation/Pre-production major,ART 271
ART 491C,Photography - Senior Project,1,,,For students in the last semester of the BFA Option in Photography,ART 499C
