row_index,course_label,row_subject,valid_subjects_count,source,prereq_codes,coreq_codes,prereq_snip,coreq_snip,prereq_text_snip,coreq_text_snip
0,A/ST 290,,0,,,,,,,
1,A/ST 299,,0,,,,,,,
2,A/ST 306,,0,,,,,,,
3,A/ST 307,,0,,,,,,,
4,A/ST 309,,0,,,,,,,
5,A/ST 311,,0,,,,,,,
6,A/ST 315,,0,,,,,,,
7,A/ST 320,,0,,,,,,,
8,A/ST 336,,0,,,,,,,
9,A/ST 393,,0,,,,,,,
10,A/ST 428,,0,,,,,,,
11,A/ST 429,,0,,,,,,,
12,A/ST 462,,0,,,,,Completion of GE Foundation requirements; upper-division standing,,
13,A/ST 463,,0,,,,,Completion of GE Foundation requirements; upper-division standing,,
14,A/ST 499,,0,,,,,,,
15,A/ST 600,,0,,,,,,,
16,A/ST 620,,0,,,,,,,
17,A/ST 630,,0,,,,,,,
18,A/ST 692,,0,,,,,,,
19,A/ST 695,,0,,,,,,,
20,A/ST 697,,0,,,,,,,
21,AAAS 492,,0,,,,,,,
22,ACCT 202,,0,,,,,,,
23,ACCT 300A,,0,structured,,ACCT202,,ACCT 202,,
24,ACCT 300B,,0,,,,,,,
25,ACCT 320,,0,,,,,,,
26,ACCT 351,,0,,,,,,,
27,ACCT 352,,0,,,,,,,
28,ACCT 400,,0,,,,,,,
29,ACCT 460,,0,,,,,,,
30,ACCT 465,,0,,,,,,,
31,ACCT 470,,0,,,,,,,
32,ACCT 480,,0,,,,,,,
33,ACCT 493,,0,,,,,,,
34,ACCT 495,,0,,,,,,,
35,ACCT 497,,0,,,,,,,
36,ACCT 500,,0,,,,,,,
37,ACCT 601,,0,,,,,,,
38,ACCT 603,,0,,,,,,,
39,ACCT 604,,0,,,,,,,
40,ACCT 605,,0,,,,,,,
41,ACCT 610,,0,,,,,,,
42,ACCT 611,,0,,,,,,,
43,ACCT 612,,0,,,,,,,
44,ACCT 622,,0,,,,,,,
45,ACCT 623,,0,,,,,,,
46,ACCT 633,,0,,,,,,,
47,ACCT 695,,0,,,,,,,
48,ACCT 697,,0,,,,,,,
49,ACCT 699,,0,,,,,,,
50,AFRS 100A,,0,,,,,,,
51,AFRS 100B,,0,,,,,,,
52,AFRS 110,,0,,,,,One GE Foundation course,,
53,AFRS 119,,0,,,,,One GE Foundation course,,
54,AFRS 120,,0,,,,,One GE Foundation course,,
55,AFRS 121,,0,,,,,One GE Foundation course,,
56,AFRS 140,,0,,,,,One GE Foundation course,,
57,AFRS 154,,0,,,,,One GE Foundation course,,
58,AFRS 155,,0,,,,,One GE Foundation course,,
59,AFRS 160,,0,,,,,One GE Foundation course,,
60,AFRS 170A,,0,,,,,Any Foundation course,,
61,AFRS 319,,0,,,,,,,
62,AFRS 325,,0,,,,,,,
63,AFRS 330,,0,,,,,,,
64,AFRS 332,,0,,,,,,,
65,AFRS 335,,0,,,,,,,
66,AFRS 343A,,0,,,,,,,
67,AFRS 346,,0,,,,,,,
68,AFRS 353,,0,,,,,,,
69,AFRS 354,,0,,,,,,,
70,AFRS 400,,0,,,,,,,
71,AFRS 410,,0,,,,,,,
72,AFRS 440,,0,,,,,,,
73,AFRS 445,,0,,,,,,,
74,AFRS 454,,0,,,,,,,
75,AFRS 475,,0,,,,,,,
76,AFRS 490,,0,,,,,,,
77,AFRS 495,,0,,,,,,,
78,AFRS 498,,0,,,,,,,
79,AFRS 499,,0,,,,,,,
80,AH 101,,0,,,,,One GE Foundation course.,,
81,AH 111A,,0,,,,,One GE Foundation course,,
82,AH 111B,,0,,,,,One GE Foundation course,,
83,AH 111C,,0,,,,,One GE Foundation course,,
84,AH 111D,,0,,,,,One GE Foundation course,,
85,AH 111E,,0,,,,,One GE Foundation course,,
86,AH 111F,,0,,,,,One GE Foundation course,,
87,AH 111G,,0,,,,,One GE Foundation course,,
88,AH 300,,0,,,,,,,
89,AH 365,,0,,,,,,,
90,AH 400,,0,,,,,,,
91,AH 401,,0,,,,,,,
92,AH 408,,0,,,,,,,
93,AH 409,,0,,,,,,,
94,AH 410,,0,,,,,,,
95,AH 411,,0,,,,,,,
96,AH 416,,0,,,,,,,
97,AH 417,,0,,,,,,,
98,AH 423,,0,,,,,,,
99,AH 424,,0,,,,,,,
100,AH 425,,0,,,,,,,
101,AH 426,,0,,,,,,,
102,AH 427,,0,,,,,,,
103,AH 430,,0,,,,,,,
104,AH 431,,0,,,,,,,
105,AH 432,,0,,,,,,,
106,AH 433,,0,,,,,,,
107,AH 436,,0,,,,,,,
108,AH 437,,0,,,,,,,
109,AH 438,,0,,,,,,,
110,AH 439,,0,,,,,,,
